name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,12/31/2005,
Iowa,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ROA1,-0.334510344,-0.237905573,-0.357271897,-0.23346085,-0.074467481,-0.014006486,-0.008946632,0.0064711,-0.00147011,-0.028200767,0.052462484,-0.049502513,-0.048402319,-0.146896937,0.016700786,
ROA2,-0.330472194,-0.17974199,-0.407463927,-0.125624395,-0.070270111,-0.013466628,-0.008571524,0.007025047,-0.001598824,-0.02632496,0.055756143,-0.047493659,-0.043172047,-0.155854572,,
Operating Margin,-1.209072039,-0.609433146,-2.747659937,#DIV/0!,-0.182871938,0.003561462,-0.059001039,0.037706511,-0.006286779,0.022228136,0.105977499,0.077125092,-0.082525463,-0.310912401,0.084167088,#DIV/0!
Net Margin,-1.209072039,-0.609433146,-2.747659937,#DIV/0!,-0.182871938,0.003561462,-0.059001039,0.037706511,-0.006286779,0.022228136,0.105977499,0.077125092,-0.082525463,-0.310912401,0.084167088,#DIV/0!
Return On Equity,1.104560176,2.738494093,6.218404759,-0.673801743,-0.363740238,-0.057248522,-0.03721528,0.028168485,-0.005493264,-0.08909538,0.180418192,-0.180340472,-0.163947217,-0.549648555,0.035840281,0
Current Ratio,0.363953883,0.279343992,0.497205967,0.664103979,0.778033269,0.85747469,0.886944711,0.910321845,0.92373863,0.959154742,1.113390467,0.938676571,1.159905328,1.590723485,1.409793095,0
Quick ratio,0.287272522,0.164223856,0.307588894,0.654984191,0.179034405,0.164312297,0.15410347,0.28422507,0.456874231,0.563290153,0.638752889,0.313665141,0.364677507,0.691134622,0.735598846,0
ROC,-1.851047933,-0.718247117,-2.368557218,-0.293918312,-0.100641028,0.002755102,-0.035776737,0.02779414,0.006012668,0.005930133,0.178008969,0.010386987,-0.01473433,-0.162058454,0.022146618,0
D/E ratio,-1.610774379,-5.079870759,-3.35082234,1.024902703,1.084348427,0.980032877,0.94880599,0.906271761,0.236095868,0.069976313,0.26111486,0.713612893,0.759028914,1.284232785,0.54043138,0
EPS,-15.41360438,-12.76447186,-47.1192244,-31.37300099,-27.1531471,-5.731562947,-3.966912279,3.120400231,-0.600460772,-9.663901086,20.6183097,-17.35967275,-18.40975071,-71.03666963,6.995936592,0
