name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"3,054,493,000","3,470,601,000","3,894,108,000","2,958,465,000","3,214,395,000","3,598,140,000","3,723,445,000","3,387,678,000","3,070,977,000","3,048,113,000","2,244,220,000","2,128,090,000","2,228,836,000","1,786,560,000","1,762,149,000","1,522,339,000","1,139,240,000","1,028,292,000","867,802,000","643,034,000","606,626,000","489,500,000","416,300,000","336,600,000","235,000,000","111,200,000","113,700,000","68,500,000"
	CurrentAssets,"261,562,000","368,275,000","515,394,000","360,499,000","301,242,000","332,560,000","598,518,000","595,067,000","532,713,000","561,734,000","488,508,000","445,339,000","518,255,000","395,780,000","467,883,000","492,097,000","329,872,000","287,314,000","224,798,000","209,723,000","220,062,000","152,300,000","104,800,000","156,300,000","92,600,000","48,300,000","51,200,000","31,200,000"
		CashCashEquivalentsAndShortTermInvestments,"44,198,000","28,408,000","84,823,000","32,374,000","29,837,000","40,386,000","53,997,000","78,858,000","33,208,000","2,613,000","89,520,000","135,153,000","95,905,000","1,940,000","14,570,000","31,993,000","15,711,000","21,664,000","22,860,000","49,273,000","10,722,000","17,500,000","19,200,000","2,900,000","1,900,000","100,000","700,000","700,000"
			CashAndCashEquivalents,"44,198,000","28,408,000","84,823,000","32,374,000","29,837,000","40,386,000","53,997,000","78,858,000","33,208,000","2,613,000","89,520,000","135,153,000","95,905,000","1,940,000","14,570,000","31,993,000","15,711,000","21,664,000","22,860,000","49,273,000","10,722,000","17,500,000","19,200,000","2,900,000","1,900,000","100,000","700,000","700,000"
				CashFinancial,"44,198,000","28,408,000","75,709,000","32,374,000","24,500,000","33,902,000","31,097,000","64,634,000","25,690,000",,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,"9,114,000","0","5,337,000","6,484,000","22,900,000","14,224,000","7,518,000",,,,,,,,,,,,,,,,,,,
		Receivables,"164,685,000","273,769,000","353,590,000","235,701,000","222,555,000","220,368,000","479,659,000","449,362,000","423,160,000","477,143,000","331,137,000","248,778,000","360,486,000","301,721,000","365,075,000","387,106,000","261,812,000","226,662,000","165,154,000","132,140,000","177,441,000","121,100,000","73,200,000","148,600,000","85,800,000","44,400,000","47,500,000","28,400,000"
			AccountsReceivable,"122,638,000","220,655,000","351,596,000","232,155,000","205,347,000","215,421,000","463,818,000","440,790,000","423,160,000","477,143,000","331,137,000","242,352,000","360,486,000","301,721,000","365,075,000","387,106,000","261,812,000","226,662,000","165,154,000","132,140,000","177,441,000","121,100,000","73,200,000","148,600,000","85,800,000","44,400,000","47,500,000","28,400,000"
				GrossAccountsReceivable,"139,204,000","235,280,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-16,566,000","-14,625,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"290,000","1,515,000","1,994,000","3,546,000","17,208,000","4,947,000","15,841,000","8,572,000",,,,"6,426,000",,,,,,,,,,,,,,,,
			OtherReceivables,"41,757,000","51,599,000",,"0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0"
		Inventory,"52,679,000","47,292,000","58,175,000","92,424,000","48,850,000","71,806,000","64,862,000","66,847,000","76,345,000","42,109,000","67,851,000","61,031,000","60,824,000","89,752,000","77,228,000","52,464,000","44,527,000","38,988,000","36,784,000","28,310,000","31,899,000","13,700,000","12,400,000","4,900,000","4,900,000","3,800,000","3,000,000","2,100,000"
		RestrictedCash,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,"0","377,000","1,040,000","2,367,000","11,010,000","20,534,000","7,822,000",,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,"0","377,000","1,040,000","2,367,000","11,010,000","20,534,000","7,822,000",,,,,,,,,,,
		AssetsHeldForSaleCurrent,"0","18,806,000","18,806,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,"39,869,000",,,,,,,,,,,,,,"-100,000",,,,
	TotalNonCurrentAssets,"2,792,931,000","3,102,326,000","3,378,714,000","2,597,966,000","2,913,153,000","3,265,580,000","3,124,927,000","2,792,611,000","2,538,264,000","2,486,379,000","1,755,712,000","1,682,751,000","1,710,581,000","1,390,780,000","1,294,266,000","1,030,242,000","809,368,000","740,978,000","643,004,000","433,311,000","386,564,000","337,200,000","311,500,000","180,300,000","142,400,000","62,900,000","62,500,000","37,300,000"
		NetPPE,"2,649,702,000","2,855,223,000","3,201,704,000","2,597,966,000","2,913,153,000","3,265,580,000","3,124,927,000","2,788,331,000","2,533,243,000","2,479,618,000","1,749,121,000","1,675,144,000","1,710,581,000","1,390,780,000","1,294,266,000","1,030,242,000","809,368,000","740,978,000","643,004,000","432,637,000","385,636,000","336,100,000","310,200,000","177,600,000","138,900,000","62,100,000","61,600,000","36,500,000"
			GrossPPE,"6,048,232,000","5,954,326,000","6,214,538,000","5,100,844,000","5,166,561,000","5,368,712,000","4,724,824,000","4,118,184,000","3,606,503,000","3,378,433,000","2,480,408,000","2,305,715,000","2,284,498,000","1,854,460,000","1,684,831,000","1,363,317,000","1,079,457,000","978,024,000","853,644,000","607,757,000","530,307,000","420,500,000","384,500,000","233,200,000","182,600,000","99,500,000","94,700,000","66,400,000"
				Properties,"5,921,783,000","5,827,063,000","6,074,384,000","4,971,986,000","5,043,858,000","5,222,019,000","4,591,833,000","3,997,414,000","3,488,887,000","0","0","0","36,186,000","29,209,000","28,709,000","22,677,000","14,151,000","12,988,000","9,825,000","6,466,000",,,,,,,,
				LandAndImprovements,,,,"69,467,000","72,045,000","73,831,000","65,981,000","56,095,000","44,188,000","42,833,000","35,708,000","36,746,000",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"126,449,000","127,263,000","140,154,000","128,858,000","122,703,000","146,693,000","132,991,000","120,770,000","117,616,000","3,335,600,000","2,444,700,000","2,268,969,000","2,248,312,000","1,825,251,000","1,656,122,000","1,340,640,000","1,065,306,000","965,036,000","843,819,000","567,803,000",,,,,,,,
				OtherProperties,,,,,,,,,,,,,,,,,,,,"33,488,000",,,,,,,,
			AccumulatedDepreciation,"-3,398,530,000","-3,099,103,000","-3,012,834,000","-2,502,878,000","-2,253,408,000","-2,103,132,000","-1,599,897,000","-1,329,853,000","-1,073,260,000","-898,815,000","-731,287,000","-630,571,000","-573,917,000","-463,680,000","-390,565,000","-333,075,000","-270,089,000","-237,046,000","-210,640,000","-175,120,000","-144,671,000","-84,400,000","-74,300,000","-55,600,000","-43,700,000","-37,400,000","-33,100,000","-29,900,000"
		InvestmentsAndAdvances,"0","125,355,000","177,010,000",,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"0","125,355,000","177,010,000",,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"0","125,355,000","177,010,000",,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,"0","4,280,000","5,021,000","6,761,000","6,591,000","7,607,000",,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"143,229,000","121,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"143,229,000","121,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,,,,"0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","674,000","928,000","1,100,000","1,300,000","2,700,000","3,500,000","800,000","900,000","800,000"
TotalLiabilitiesNetMinorityInterest,"1,689,469,000","2,007,579,000","2,103,425,000","1,269,089,000","1,381,906,000","1,511,544,000","1,678,208,000","1,425,109,000","1,213,019,000","1,324,691,000","673,380,000","597,293,000","677,685,000","542,354,000","654,544,000","750,437,000","489,500,000","464,633,000","392,326,000","210,975,000","267,972,000","232,700,000","154,400,000","188,000,000","150,300,000","49,200,000","66,900,000","40,800,000"
	CurrentLiabilities,"162,950,000","241,288,000","671,617,000","702,698,000","312,395,000","188,321,000","408,820,000","666,213,000","518,852,000","571,967,000","392,579,000","337,445,000","411,231,000","335,508,000","404,721,000","503,975,000","315,663,000","307,025,000","258,396,000","123,235,000","168,245,000","114,600,000","61,200,000","127,100,000","96,800,000","33,900,000","52,300,000","30,100,000"
		PayablesAndAccruedExpenses,"133,448,000","220,741,000","270,647,000","189,833,000","146,594,000","161,587,000","374,040,000","305,440,000","269,921,000","317,122,000","233,210,000","168,441,000","236,084,000","177,595,000","241,976,000","246,684,000","170,496,000","174,524,000","130,030,000","88,982,000","148,745,000","74,500,000","43,600,000","105,300,000","54,400,000","23,300,000","42,600,000","18,700,000"
			Payables,"43,899,000","81,796,000","140,439,000","133,057,000","77,582,000","82,105,000","182,512,000","171,687,000","152,752,000","317,122,000","233,210,000","167,063,000","236,084,000","177,595,000","241,976,000","246,684,000","170,496,000","174,524,000","130,030,000","88,982,000","148,745,000","74,500,000","43,600,000","105,300,000","54,400,000","23,300,000","42,600,000","18,700,000"
				AccountsPayable,"35,470,000","67,520,000","117,783,000","110,789,000","58,705,000","63,738,000","164,145,000","153,668,000","124,702,000","289,541,000","212,865,000","153,660,000","236,084,000","177,595,000","241,976,000","246,684,000","170,496,000","174,524,000","130,030,000","88,982,000","148,745,000","74,500,000","43,600,000","105,300,000","54,400,000","23,300,000","42,600,000","18,700,000"
				TotalTaxPayable,"8,429,000","4,489,000","3,807,000","3,419,000",,,,"0","11,197,000","11,494,000","5,798,000",,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"8,429,000","4,489,000","3,807,000","3,419,000",,,,"0","11,197,000","11,494,000","5,798,000",,,,,,,,,,,,,,,,,
				DividendsPayable,"0","9,787,000","18,849,000","18,849,000","18,877,000","18,367,000","18,367,000","18,019,000","16,853,000","16,087,000","14,547,000","13,403,000",,,,,,,,,,,,,,,,
				OtherPayable,,,,"8,008,000","1,860,000","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0"
			CurrentAccruedExpenses,"89,549,000","138,945,000","130,208,000","56,776,000","69,012,000","79,482,000","191,528,000","133,753,000","117,169,000",,,"1,378,000",,,,,,,,,,,,,,,,
				InterestPayable,"14,169,000","16,094,000","24,383,000","892,000","1,362,000","1,377,000","1,154,000","1,058,000","990,000",,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"251,000","297,000","975,000","3,021,000","5,943,000","2,073,000","1,895,000","14,522,000","14,200,000","16,405,000",,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"8,259,000","9,996,000","376,612,000","487,257,000","134,190,000",,,"326,525,000","231,990,000","238,440,000","159,335,000","169,004,000","169,443,000","117,969,000","69,989,000","165,779,000","96,937,000","121,911,000","121,927,000","15,443,000","19,500,000",,"17,600,000","21,900,000","42,400,000","10,600,000","9,600,000","11,400,000"
			CurrentDebt,,,"376,612,000","487,257,000","134,190,000",,"0","326,525,000","231,990,000","238,440,000","159,335,000","169,004,000","169,443,000","117,969,000","69,989,000","165,779,000","96,937,000","121,911,000","121,927,000","15,443,000","19,500,000",,"17,600,000","21,900,000","42,400,000","10,600,000","9,600,000","11,400,000"
				LineOfCredit,,,,,,,"0","326,525,000","231,990,000","238,440,000","159,335,000","169,004,000",,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,,,,,,,"326,525,000","231,990,000",,"0","0",,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"8,259,000","9,996,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"9,092,000","8,718,000","16,859,000","14,579,000","23,808,000","21,699,000","28,634,000",,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"9,092,000","8,718,000","16,859,000","14,579,000","23,808,000","21,699,000","28,634,000",,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"11,900,000","1,536,000","6,524,000","8,008,000","1,860,000","2,962,000","4,251,000","19,726,000","2,741,000",,"34,000","169,004,000","5,704,000","39,944,000","92,756,000","91,512,000","48,230,000","10,590,000","6,439,000","18,810,000","19,500,000","40,100,000","17,600,000","-100,000","42,400,000","10,600,000","100,000","11,400,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,526,519,000","1,766,291,000","1,431,808,000","566,391,000","1,069,511,000","1,323,223,000","1,269,388,000","758,896,000","694,167,000","752,724,000","280,801,000","259,848,000","266,454,000","206,846,000","249,823,000","246,462,000","173,837,000","157,608,000","133,930,000","87,740,000","99,727,000","118,100,000","93,200,000","60,900,000","53,500,000","15,300,000","14,600,000","10,700,000"
		LongTermDebtAndCapitalLeaseObligation,"1,390,647,000","1,591,047,000","1,350,041,000","252,676,000","583,269,000","794,109,000","786,327,000","317,407,000","296,589,000","405,953,000",,"0","20,000,000",,,,,,"7,689,000",,"14,938,000","29,800,000","44,800,000","26,500,000","36,100,000","4,000,000","6,900,000","6,100,000"
			LongTermDebt,"1,384,605,000","1,581,529,000","1,350,041,000","252,676,000","583,269,000","794,109,000","786,327,000","317,407,000","296,589,000","405,953,000",,"0","20,000,000",,,,,,"7,689,000",,"14,938,000","29,800,000","44,800,000","26,500,000","36,100,000","4,000,000","6,900,000","6,100,000"
			LongTermCapitalLeaseObligation,"6,042,000","9,518,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"128,276,000","163,781,000","72,727,000","311,007,000","483,703,000","528,179,000","482,384,000","438,496,000","393,459,000","341,467,000","280,691,000","259,457,000","245,351,000","202,123,000","231,824,000","200,328,000","157,278,000","143,995,000","126,241,000","87,740,000","84,789,000","88,300,000","48,400,000","34,300,000","17,400,000","11,400,000","7,700,000","4,500,000"
			NonCurrentDeferredTaxesLiabilities,"128,276,000","163,781,000","72,727,000","311,007,000","483,703,000","528,179,000","482,384,000","438,496,000","393,459,000","341,467,000","280,691,000","259,457,000","245,351,000","202,123,000","231,824,000","200,328,000","157,278,000","143,995,000","126,241,000","87,740,000","84,789,000","88,300,000","48,400,000","34,300,000","17,400,000","11,400,000","7,700,000","4,500,000"
		EmployeeBenefits,"2,743,000","6,325,000","3,033,000","2,708,000","2,539,000","935,000","677,000","2,993,000","4,119,000","5,304,000","110,000","391,000",,,,,,,,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,"2,708,000","2,539,000","935,000","677,000","2,993,000","4,119,000","5,304,000","110,000","391,000",,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"4,853,000","5,138,000","6,007,000","0","0","0","0","0","0",,"0","0","1,103,000","4,723,000","17,999,000","46,134,000","16,559,000","13,613,000","0","0","0",,"0","100,000","0","-100,000","0","100,000"
TotalEquityGrossMinorityInterest,"1,365,024,000","1,463,022,000","1,790,683,000","1,689,376,000","1,832,489,000","2,086,596,000","2,045,237,000","1,962,569,000","1,857,958,000","1,723,422,000","1,570,840,000","1,530,797,000","1,551,151,000","1,244,206,000","1,107,605,000","771,902,000","649,740,000","563,659,000","475,476,000","432,059,000","338,654,000","256,800,000","261,900,000","148,600,000","84,700,000","62,000,000","46,800,000","27,700,000"
	StockholdersEquity,"1,365,024,000","1,463,022,000","1,718,605,000","1,689,376,000","1,832,489,000","2,086,596,000","2,045,237,000","1,962,569,000","1,857,958,000","1,723,422,000","1,570,840,000","1,530,797,000","1,551,151,000","1,244,206,000","1,107,605,000","771,902,000","649,740,000","563,659,000","475,476,000","432,059,000","338,654,000","256,800,000","261,900,000","148,600,000","84,700,000","62,000,000","46,800,000","27,700,000"
