name,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"390,375","2,980,654","2,705,615","2,840,655","2,952,193","2,879,705","1,179,636","1,832,464","4,370,000","25,683,000","15,400,000","1,200,000"
	CurrentAssets,"265,574","568,355","142,235","389,930","293,325","37,188","671,035","1,337,343","2,409,000","10,809,000","13,300,000","900,000"
		CashCashEquivalentsAndShortTermInvestments,"236,402","398,261","38,260","171,738","167,223","18,410","598,467","1,312,343","2,333,000","8,471,000","12,300,000","800,000"
			CashAndCashEquivalents,"236,402","398,261","38,260","171,738","167,223","18,410","598,467","1,312,343","2,333,000","8,471,000","12,300,000","800,000"
		Receivables,"29,172","170,094","103,975","218,192","126,102","18,778",,,,"1,119,000","200,000","100,000"
			AccountsReceivable,"29,172","170,094","103,975","218,192","126,102","18,778",,,,,,
			OtherReceivables,"0","0","0","0","0","0",,,,,,
		Inventory,,,,,,,,,,"282,000","400,000",
		PrepaidAssets,,,,,,,"72,568","25,000",,,,
		OtherCurrentAssets,"0","0","0","0","0","0","0","0","76,000","937,000","400,000",
	TotalNonCurrentAssets,"124,801","2,412,299","2,563,380","2,450,725","2,658,868","2,842,517","508,601","495,121","1,961,000","14,874,000","2,100,000","300,000"
		NetPPE,"124,800","45,578","196,659","84,004","8,424","10,374","183,622","344,522","509,000","1,032,000","1,900,000","100,000"
			GrossPPE,"3,284,690","1,022,803","1,285,744","991,891","916,311","1,091,509","1,091,509","1,091,509","1,109,000","1,387,000","2,300,000","300,000"
				Properties,"0","0","0","0",,"0","0","0",,,,
				LandAndImprovements,"3,284,690","1,022,803","194,235","78,580",,,,,,,,
				BuildingsAndImprovements,,,,,,"355,273","355,273","355,273",,,,
				MachineryFurnitureEquipment,,,,,,"736,236","736,236","736,236",,,,
				OtherProperties,,,"1,091,509","913,311",,,,,,,,
			AccumulatedDepreciation,"-3,159,890","-977,225","-1,089,085","-907,887","-907,887","-1,081,135","-907,887","-746,987","-600,000","-355,000","-400,000","-200,000"
		GoodwillAndOtherIntangibleAssets,,,,,,,,,,"13,137,000",,
			OtherIntangibleAssets,,,,,,,,,,"13,137,000",,
		InvestmentsAndAdvances,"0",,,,,,,,,,,
		OtherNonCurrentAssets,"1","2,366,721","2,366,721","2,366,721","2,650,444","2,832,143","324,979","150,599","1,452,000","705,000","200,000","200,000"
TotalLiabilitiesNetMinorityInterest,"772,194","1,062,530","943,541","945,961","900,496","441,806","192,572","178,625","606,000","5,401,000","4,500,000","1,200,000"
	CurrentLiabilities,"772,194","884,405","743,541","389,712","900,496","441,806","192,572","178,625","564,000","5,317,000","4,400,000","1,200,000"
		PayablesAndAccruedExpenses,"219,830","326,281","181,359","155,661","309,834","241,806","77,522","86,575","493,000","4,383,000","2,400,000","700,000"
			Payables,"129,148","98,030","95,998","107,237","291,834","241,806","77,522","86,575","493,000","4,383,000","2,400,000","700,000"
				AccountsPayable,"129,148","98,030","95,998","107,237","291,834","241,806","77,522","86,575","493,000","4,383,000","2,400,000","700,000"
				OtherPayable,"0","0","0","0","0","0","0","0","0",,"0",
			CurrentAccruedExpenses,"90,682","228,251","85,361","48,424","18,000",,,,,,,
				InterestPayable,"90,682",,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"521,551","558,125","556,249","200,000","450,000","200,000",,,"71,000","74,000",,
			CurrentDebt,"521,551","558,125","556,249","200,000","450,000","200,000",,,"71,000","74,000",,
				CurrentNotesPayable,,,"556,249","200,000","450,000","200,000",,,,,,
				OtherCurrentBorrowings,,,"0","0","0","0",,,,,,
		OtherCurrentLiabilities,"30,813","-1","5,933","34,051","140,662","0","115,050","92,050","0","860,000","2,000,000","500,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"0","178,125","200,000","556,249",,,,,"42,000","84,000","100,000",
		LongTermDebtAndCapitalLeaseObligation,"0","178,125","200,000","556,249",,,,,,,,
			LongTermDebt,"0","178,125","200,000","556,249",,,,,,,,
		OtherNonCurrentLiabilities,,"0","0","0",,,,,,,,
TotalEquityGrossMinorityInterest,"-381,819","1,918,124","1,762,074","1,894,694","2,051,697","2,437,899","987,064","1,653,839","3,764,000","20,282,000","10,900,000","0"
	StockholdersEquity,"-381,819","1,918,124","1,762,074","1,894,694","2,051,697","2,437,899","987,064","1,653,839","3,764,000","20,282,000","10,900,000",
		CapitalStock,"9,371","9,371","9,371","9,141","9,141","8,922","382,809","381,959","2,000","10,000",,
			PreferredStock,"1,700","1,700","1,700","1,500","1,500","1,500","380,000","380,000",,,,
			CommonStock,"7,671","7,671","7,671","7,641","7,641","7,422","2,809","1,959","2,000","10,000",,
			OtherCapitalStock,"0","0","0","0","0","0","0","0","0",,,
		AdditionalPaidInCapital,"41,048,955","41,048,955","41,048,955","41,016,185","41,016,185","-37,879,922","38,220,679","38,009,029","38,008,000","37,878,000",,
		RetainedEarnings,"-40,881,147","-38,581,204","-38,737,254","-38,571,634","-38,414,631","40,867,897","-37,057,426","-36,178,151","-33,734,000","-17,606,000","-7,300,000",
		TreasuryStock,"558,998","558,998","558,998","558,998","558,998","558,998","558,998","558,998","512,000",,,
		OtherEquityInterest,,,,,,,,,,,"18,200,000",
TotalCapitalization,"-381,819","2,096,249","1,962,074","2,450,943","2,051,697","2,437,899","987,064","1,653,839","3,764,000","20,282,000","10,900,000",
PreferredStockEquity,"1,700","1,700","1,700","1,500","1,500","1,500","380,000","380,000",,,,
CommonStockEquity,"-383,519","1,916,424","1,760,374","1,893,194","2,050,197","2,436,399","607,064","1,273,839","3,764,000","20,282,000","10,900,000",
NetTangibleAssets,"-381,819","1,918,124","1,762,074","1,894,694","2,051,697","2,437,899","987,064","1,653,839","3,764,000","7,145,000","10,900,000",
WorkingCapital,"-506,620","-316,050","-601,306","218","-607,171","-404,618","478,463","1,158,718","1,845,000","5,492,000","8,900,000","-300,000"
InvestedCapital,"138,032","2,652,674","2,516,623","2,649,443","2,500,197","2,636,399","607,064","1,273,839","3,835,000","20,356,000","10,900,000",
TangibleBookValue,"-383,519","1,916,424","1,760,374","1,893,194","2,050,197","2,436,399","607,064","1,273,839","3,764,000","7,145,000","10,900,000",
TotalDebt,"521,551","736,250","756,249","756,249","450,000","200,000",,,"71,000","74,000",,
NetDebt,"285,149","337,989","717,989","584,511","282,777","181,590",,,,,,
ShareIssued,"7,671,303","7,502,703","7,472,695","7,472,703","7,472,703","7,253,416","2,640,090","1,796,690","1,866,036","2,137,845","1,448,600","7,502,703"
OrdinarySharesNumber,"7,502,703","7,502,703","7,472,695","7,472,703","7,472,703","7,253,416","2,640,090","1,796,690","1,866,036","2,137,845","1,448,600","7,502,703"
PreferredSharesNumber,"1,700,000","1,700,000","1,700,000",,,,,,,,,
TreasurySharesNumber,"168,600",,,,,,,,,,,
