name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"21,804,000,000","24,105,000,000","25,665,000,000","22,410,000,000","26,889,000,000","26,329,000,000","28,413,000,000","32,546,000,000","34,255,000,000","35,088,000,000","36,811,000,000","36,436,000,000","35,171,000,000","34,364,000,000","11,476,000,000","10,457,200,000","10,758,300,000","11,662,600,000","12,665,100,000","17,019,800,000","6,358,764,000","6,140,170,000","3,250,900,000","4,431,500,000","2,443,214,000","3,511,400,000","493,500,000","472,000,000","426,200,000"
	CurrentAssets,"2,740,000,000","3,640,000,000","3,948,000,000","4,606,000,000","5,098,000,000","4,785,000,000","6,001,000,000","6,772,000,000","8,647,000,000","7,609,000,000","6,195,000,000","4,476,000,000","5,349,000,000","4,296,000,000","1,656,000,000","1,279,100,000","1,109,100,000","1,178,900,000","1,911,700,000","1,736,800,000","448,132,000","558,866,000","361,600,000","937,700,000","252,246,000","494,400,000","127,700,000","143,700,000","90,200,000"
		CashCashEquivalentsAndShortTermInvestments,"1,154,000,000","1,790,000,000","2,160,000,000","2,969,000,000","3,052,000,000","2,339,000,000","2,635,000,000","3,243,000,000","5,134,000,000","4,017,000,000","3,394,000,000","1,168,000,000","1,296,000,000","1,241,000,000","467,000,000","445,400,000","451,300,000","474,000,000","1,214,200,000","853,400,000","34,539,000","165,673,000","69,500,000","13,500,000","24,154,000","37,300,000","46,800,000","21,600,000","17,400,000"
			CashAndCashEquivalents,"1,154,000,000","1,790,000,000","2,160,000,000","2,519,000,000","3,052,000,000","2,339,000,000","2,635,000,000","3,243,000,000","5,134,000,000","4,017,000,000","3,394,000,000","1,130,000,000","963,000,000","1,241,000,000","467,000,000","445,400,000","451,300,000","474,000,000","1,214,200,000","853,400,000","34,539,000","165,673,000","69,500,000","13,500,000","24,154,000","37,300,000","46,800,000","21,600,000","17,400,000"
			OtherShortTermInvestments,,,"0","450,000,000",,,,,,,,"38,000,000","333,000,000",,,,,,,,,,,,,,,,
		Receivables,"583,000,000","654,000,000","604,000,000","641,000,000","898,000,000","1,379,000,000","2,120,000,000","2,162,000,000","2,200,000,000","2,176,000,000","2,000,000,000","2,385,000,000","2,864,000,000","2,370,000,000","946,000,000","599,700,000","442,000,000","480,300,000","499,300,000","675,700,000","295,965,000","292,628,000","217,500,000","611,600,000","168,573,000","366,000,000","48,100,000","87,900,000","39,500,000"
			AccountsReceivable,"583,000,000","654,000,000","604,000,000","597,000,000","833,000,000","1,343,000,000","2,084,000,000","2,112,000,000","1,940,000,000","2,049,000,000","2,000,000,000","2,385,000,000","2,798,000,000","2,209,000,000","946,000,000","599,700,000","442,000,000","480,300,000","437,600,000","602,900,000",,,"217,500,000","611,600,000","150,546,000","366,000,000","48,100,000",,
				GrossAccountsReceivable,"585,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,"44,000,000","65,000,000","36,000,000","36,000,000","50,000,000","260,000,000","127,000,000",,,"66,000,000","161,000,000",,,,,"61,700,000","72,800,000",,,,,"18,027,000",,,,
		Inventory,"434,000,000","479,000,000","474,000,000","418,000,000","561,000,000","635,000,000","818,000,000","743,000,000","610,000,000","627,000,000","517,000,000","462,000,000","432,000,000","333,000,000","160,000,000","156,200,000","144,700,000","152,000,000","155,800,000","158,800,000","89,522,000","77,058,000","33,900,000","61,700,000","26,556,000","24,000,000","10,000,000","5,200,000","4,600,000"
			RawMaterials,"434,000,000","479,000,000","474,000,000","418,000,000","561,000,000","635,000,000","818,000,000","743,000,000","610,000,000","627,000,000","517,000,000","462,000,000",,,,,"144,700,000","152,000,000","155,800,000","158,800,000",,,,,"26,556,000",,,,
		PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,"8,913,000",,,,
		RestrictedCash,"406,000,000","558,000,000","551,000,000","466,000,000","466,000,000","340,000,000",,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,"161,000,000","151,000,000","142,000,000","142,000,000","115,000,000","104,000,000","63,000,000","119,000,000","16,000,000","23,400,000","19,000,000","41,000,000","21,900,000","21,000,000",,,,,"17,207,000",,,,
			CurrentDeferredTaxesAssets,,,,,,,"161,000,000","151,000,000","142,000,000","142,000,000","115,000,000","104,000,000","63,000,000","119,000,000","16,000,000","23,400,000","19,000,000","41,000,000","21,900,000","21,000,000",,,,,"17,207,000",,,,
		AssetsHeldForSaleCurrent,,,,,,"8,000,000","25,000,000","148,000,000","179,000,000","26,000,000","0",,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"163,000,000","159,000,000","159,000,000","112,000,000","121,000,000","84,000,000","242,000,000","325,000,000","382,000,000","621,000,000","169,000,000","357,000,000","694,000,000","233,000,000","67,000,000","54,400,000","52,100,000","31,600,000","20,500,000","27,900,000","28,106,000","23,507,000","40,700,000","250,900,000","6,843,000","67,100,000","22,800,000","29,000,000","28,700,000"
	TotalNonCurrentAssets,"19,064,000,000","20,465,000,000","21,717,000,000","17,804,000,000","21,791,000,000","21,544,000,000","22,412,000,000","25,774,000,000","25,608,000,000","27,479,000,000","30,616,000,000","31,960,000,000","29,822,000,000","30,068,000,000","9,820,000,000","9,178,100,000","9,649,200,000","10,483,700,000","10,753,400,000","15,283,000,000","5,910,632,000","5,581,304,000","2,889,300,000","3,493,800,000","2,190,968,000","3,017,000,000","365,800,000","328,300,000","336,000,000"
