name,12/31/2020,12/31/2019,12/31/2018,12/31/2017
TotalAssets,"3,961,000,000","9,279,000,000","10,848,000,000","17,982,000,000"
	CurrentAssets,"1,062,000,000","1,773,000,000","2,767,000,000","2,252,000,000"
		CashCashEquivalentsAndShortTermInvestments,"534,000,000","1,126,000,000","1,599,000,000","1,379,000,000"
			CashAndCashEquivalents,"526,000,000","1,115,000,000","1,542,000,000","1,255,000,000"
			OtherShortTermInvestments,"8,000,000","11,000,000","57,000,000","124,000,000"
		Receivables,"210,000,000","354,000,000","385,000,000","512,000,000"
			AccountsReceivable,"125,000,000","173,000,000","208,000,000","295,000,000"
			DuefromRelatedPartiesCurrent,"85,000,000","181,000,000","177,000,000","217,000,000"
		RestrictedCash,"132,000,000","135,000,000","461,000,000","104,000,000"
		OtherCurrentAssets,"186,000,000","158,000,000","322,000,000","257,000,000"
	TotalNonCurrentAssets,"2,899,000,000","7,506,000,000","8,081,000,000","15,730,000,000"
		NetPPE,"2,139,000,000","6,424,000,000","6,688,000,000","13,493,000,000"
			GrossPPE,"2,159,000,000","6,439,000,000","6,693,000,000","13,548,000,000"
				BuildingsAndImprovements,,,"0","248,000,000"
				MachineryFurnitureEquipment,"39,000,000","38,000,000","34,000,000","84,000,000"
				OtherProperties,"2,120,000,000","6,401,000,000","6,659,000,000","13,216,000,000"
			AccumulatedDepreciation,"-20,000,000","-15,000,000","-5,000,000","-55,000,000"
		InvestmentsAndAdvances,"248,000,000","389,000,000","800,000,000","1,473,000,000"
			LongTermEquityInvestment,"248,000,000","389,000,000","800,000,000","1,473,000,000"
				InvestmentsinAssociatesatCost,"248,000,000","389,000,000","800,000,000","1,473,000,000"
		NonCurrentAccountsReceivable,"392,000,000","523,000,000","539,000,000","547,000,000"
		DuefromRelatedPartiesNonCurrent,"392,000,000","523,000,000","539,000,000","547,000,000"
		NonCurrentDeferredAssets,"9,000,000","4,000,000","18,000,000","10,000,000"
			NonCurrentDeferredTaxesAssets,"9,000,000","4,000,000","18,000,000","10,000,000"
		OtherNonCurrentAssets,"111,000,000","166,000,000","36,000,000","207,000,000"
TotalLiabilitiesNetMinorityInterest,"7,101,000,000","7,486,000,000","7,813,000,000","11,023,000,000"
	CurrentLiabilities,"6,545,000,000","770,000,000","464,000,000","859,000,000"
		PayablesAndAccruedExpenses,"52,000,000","105,000,000","121,000,000","82,000,000"
			Payables,"52,000,000","105,000,000","121,000,000","82,000,000"
				AccountsPayable,"45,000,000","86,000,000","82,000,000","72,000,000"
				DuetoRelatedPartiesCurrent,"7,000,000","19,000,000","39,000,000","10,000,000"
		CurrentDebtAndCapitalLeaseObligation,"6,177,000,000","343,000,000","33,000,000","509,000,000"
			CurrentDebt,"6,177,000,000","343,000,000","33,000,000","509,000,000"
				CurrentNotesPayable,"515,000,000",,,
				LineOfCredit,"5,662,000,000",,,
				OtherCurrentBorrowings,,"362,000,000","72,000,000","519,000,000"
		OtherCurrentLiabilities,"316,000,000","322,000,000","310,000,000","268,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"556,000,000","6,716,000,000","7,349,000,000","10,164,000,000"
		LongTermDebtAndCapitalLeaseObligation,"426,000,000","6,519,000,000","7,103,000,000","799,000,000"
			LongTermDebt,"426,000,000","6,519,000,000","7,103,000,000","799,000,000"
		NonCurrentDeferredLiabilities,"10,000,000","12,000,000","87,000,000","107,000,000"
			NonCurrentDeferredTaxesLiabilities,"10,000,000","12,000,000","87,000,000","107,000,000"
		PreferredSecuritiesOutsideStockEquity,"0","57,000,000","38,000,000","0"
		OtherNonCurrentLiabilities,"120,000,000","128,000,000","121,000,000","9,258,000,000"
TotalEquityGrossMinorityInterest,"-3,140,000,000","1,793,000,000","3,035,000,000","6,959,000,000"
	StockholdersEquity,"-3,140,000,000","1,642,000,000","2,883,000,000","6,560,000,000"
		CapitalStock,"10,000,000","10,000,000","10,000,000","1,008,000,000"
			CommonStock,"10,000,000","10,000,000","10,000,000","1,008,000,000"
		RetainedEarnings,"-6,628,000,000","-1,851,000,000","-611,000,000","225,000,000"
		AdditionalPaidInCapital,"3,504,000,000","3,496,000,000","3,491,000,000","5,269,000,000"
		GainsLossesNotAffectingRetainedEarnings,"-26,000,000","-13,000,000","-7,000,000","58,000,000"
	MinorityInterest,"0","151,000,000","152,000,000","399,000,000"
TotalCapitalization,"-2,714,000,000","8,161,000,000","9,986,000,000","7,359,000,000"
CommonStockEquity,"-3,140,000,000","1,642,000,000","2,883,000,000","6,560,000,000"
NetTangibleAssets,"-3,140,000,000","1,642,000,000","2,883,000,000","6,560,000,000"
WorkingCapital,"-5,483,000,000","1,003,000,000","2,303,000,000","1,393,000,000"
InvestedCapital,"3,463,000,000","8,504,000,000","10,019,000,000","7,868,000,000"
TangibleBookValue,"-3,140,000,000","1,642,000,000","2,883,000,000","6,560,000,000"
TotalDebt,"6,603,000,000","6,862,000,000","7,136,000,000","1,308,000,000"
NetDebt,"6,077,000,000","5,747,000,000","5,594,000,000","53,000,000"
ShareIssued,"100,384,435","100,234,973","100,000,000","100,000,000"
OrdinarySharesNumber,"100,384,435","100,234,973","100,000,000","100,000,000"
