,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,ttm
0,TotalAssets,"845,400,000","930,000,000","910,600,000","1,042,900,000","1,060,300,000","1,267,400,000","1,800,600,000","1,794,900,000","2,587,300,000","2,814,700,000","973,498,443.586","576,329,390.245","494,381,313.493","369,404,630.65","293,943,775.1",
1,	CurrentAssets,"245,000,000","266,100,000","243,900,000","302,000,000","287,100,000","362,900,000","634,600,000","599,800,000","642,300,000","638,400,000","401,979,962.238","177,723,707.711","170,009,005.96","132,616,685.042","98,072,289.157",
2,		CashCashEquivalentsAndShortTermInvestments,"41,200,000","31,400,000","20,200,000","59,000,000","27,300,000","20,500,000","28,900,000","49,500,000","58,200,000","37,300,000","174,114,205.038","40,845,908.938","32,137,510.11","33,535,464.903","12,674,698.795",
3,			CashAndCashEquivalents,"41,200,000","31,400,000","20,200,000","59,000,000","27,300,000","20,500,000","28,900,000","49,500,000","58,200,000","37,300,000","174,114,205.038","40,845,908.938","32,137,510.11","33,535,464.903","12,674,698.795",
4,		Inventory,"54,200,000","53,000,000","51,900,000","58,000,000","61,800,000","83,500,000","97,500,000","65,200,000","64,300,000",,,,,,,
5,			RawMaterials,"15,400,000","19,700,000","15,800,000","14,200,000","24,400,000","29,500,000","39,300,000","33,000,000","31,800,000",,,,,,,
6,			WorkInProcess,"400,000","200,000","4,900,000","1,800,000","1,200,000","800,000","4,600,000","1,400,000","3,600,000",,,,,,,
7,			FinishedGoods,"9,800,000","8,000,000","3,400,000","16,500,000","16,600,000","22,800,000","12,300,000","3,800,000","6,800,000",,,,,,,
8,			OtherInventories,"28,600,000","25,100,000","27,800,000","25,500,000","19,600,000","30,400,000","41,300,000","27,000,000","22,100,000",,,,,,,
9,		PrepaidAssets,"13,300,000","6,100,000","7,600,000","10,700,000","6,600,000","20,700,000","39,600,000","33,700,000","41,700,000",,,,,,,
10,		RestrictedCash,"12,400,000","12,700,000","11,300,000","8,700,000","7,600,000","8,000,000","15,800,000","16,500,000","11,900,000",,,"8,938,817.419",,,,
11,		CurrentDeferredAssets,,,,,,,"3,200,000","6,400,000","1,000,000",,,,,,,
12,			CurrentDeferredTaxesAssets,,,,,,,"9,200,000","5,600,000","8,400,000",,,,,,,
13,		OtherCurrentAssets,,,,,"47,500,000","65,600,000","112,800,000","93,400,000","92,900,000","601,100,000","76,561,941.86","32,959,732.181","55,900,051.053","26,185,226.02","20,160,642.57",
14,	TotalNonCurrentAssets,"600,400,000","663,900,000","666,700,000","740,900,000","773,200,000","904,500,000","1,166,000,000","1,195,100,000","1,945,000,000","2,176,300,000","571,518,481.349","398,605,682.534","324,372,307.533","236,787,945.608","195,871,485.944",
15,		NetPPE,"385,100,000","416,700,000","392,500,000","432,200,000","476,400,000","554,500,000","870,300,000","800,000,000","1,059,400,000","1,044,100,000","142,050,383.575","98,689,376.095","68,003,602.384","43,642,043.366","31,293,172.691",
16,			GrossPPE,"974,500,000","953,500,000","885,000,000","916,700,000","903,500,000","1,064,200,000","1,544,000,000","1,376,100,000","1,597,200,000","1,283,800,000","265,883,073.364","68,180,053.322",,,,
17,				MachineryFurnitureEquipment,,"868,100,000","851,000,000","878,900,000","867,400,000","1,007,600,000","1,443,600,000","1,296,700,000","1,459,200,000","1,053,100,000","173,467,825.614","107,438,373.066",,,,
18,				OtherProperties,"965,900,000","942,800,000","882,000,000","911,900,000","899,800,000","1,038,200,000","1,484,500,000","1,355,000,000","1,528,400,000","230,700,000","92,415,247.75","-68,076,514.897",,,,
19,				ConstructionInProgress,"8,600,000","10,700,000","3,000,000","4,800,000","3,700,000","26,000,000","59,500,000","21,100,000","68,800,000",,,"28,818,195.153",,,,
20,			AccumulatedDepreciation,"-589,400,000","-536,800,000","-492,500,000","-484,500,000","-427,100,000","-509,700,000","-673,700,000","-576,100,000","-537,800,000","-239,700,000","-123,832,689.789","30,509,322.772",,,,
