,name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
0,TotalAssets,"4,829,621,000","5,839,515,000","6,214,867,000","6,439,988,000","6,832,019,000","7,152,012,000","6,721,861,000","6,264,827,000","5,721,085,000","5,003,891,000","4,265,370,000","4,161,024,000","3,588,045,000","2,885,369,000","2,134,712,000","1,663,350,000","1,406,844,000","1,415,835,000","1,227,313,000","1,364,507,000","1,259,492,000","1,109,700,000","1,090,400,000","1,033,600,000","821,900,000","710,200,000","624,800,000","610,900,000","585,500,000","575,200,000","582,900,000","591,200,000","576,500,000","571,300,000","563,200,000","616,000,000"
1,"	CurrentAssets","963,327,000","1,115,086,000","1,115,550,000","1,235,267,000","1,572,686,000","1,439,007,000","1,277,366,000","1,258,211,000","895,228,000","956,313,000","652,804,000","522,932,000","690,647,000","498,964,000","428,691,000","499,797,000","245,886,000","197,531,000","178,751,000","331,412,000","265,144,000","160,600,000","184,300,000","158,000,000","114,400,000","115,000,000","122,900,000","150,500,000","133,100,000","142,200,000","200,700,000","168,300,000","161,800,000","158,900,000","131,800,000","151,400,000"
2,"		CashCashEquivalentsAndShortTermInvestments","577,219,000","400,903,000","325,816,000","565,866,000","949,709,000","763,520,000","360,909,000","447,868,000","96,095,000","364,246,000","63,020,000","153,986,000","121,513,000","89,567,000","82,526,000","288,752,000","65,296,000","38,189,000","46,883,000","122,962,000","108,087,000","21,800,000","24,500,000","28,000,000","16,900,000","19,700,000","29,400,000","61,700,000","37,600,000","41,500,000","89,000,000","91,700,000","116,900,000","118,000,000","97,900,000","94,500,000"
3,"			CashAndCashEquivalents","487,884,000","347,943,000","284,355,000","521,375,000","905,561,000","717,977,000","360,909,000","447,868,000","96,095,000","364,246,000","63,020,000","141,486,000","121,513,000","89,215,000","33,853,000","288,752,000","65,296,000","38,189,000","46,883,000","122,962,000","108,087,000","21,800,000","24,500,000","28,000,000","16,900,000","19,700,000","29,400,000","61,700,000","37,600,000","41,500,000","89,000,000","91,700,000","116,900,000","118,000,000","97,900,000","94,500,000"
4,"				CashFinancial","487,884,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"			OtherShortTermInvestments","89,335,000","52,960,000","41,461,000","44,491,000","44,148,000","45,543,000",,,,,,"12,500,000",,"352,000","48,673,000",,,,,,,,,,,,,,,,,,,,,
6,"		Receivables","194,990,000","497,753,000","565,202,000","477,074,000","375,169,000","449,344,000","705,214,000","621,420,000","620,489,000","460,540,000","457,659,000","246,790,000","462,833,000","339,819,000","289,479,000","162,646,000","133,262,000","91,088,000","92,604,000","147,235,000","106,630,000","99,600,000","119,400,000","98,700,000","75,400,000","59,300,000","68,900,000","56,300,000","55,900,000","37,500,000","37,800,000","31,300,000","29,500,000","29,000,000","23,500,000","39,300,000"
7,"			AccountsReceivable","150,249,000","461,774,000","530,859,000","398,348,000","286,998,000","449,344,000","705,214,000","621,420,000","620,489,000","460,540,000","409,920,000","246,790,000","462,833,000","337,829,000","289,479,000","162,646,000","133,262,000","91,088,000","92,604,000","147,235,000","106,630,000",,"119,400,000",,"75,400,000",,,,,,,,,,,
8,"				GrossAccountsReceivable",,,,,,"455,525,000","709,811,000","626,215,000","621,431,000","461,316,000",,,,,,,,,,,,,,,,,,,,,,,,,,
9,"				AllowanceForDoubtfulAccountsReceivable",,,,,,"-6,181,000","-4,597,000","-4,795,000","-942,000","-776,000",,,,,,,,,,,,,,,,,,,,,,,,,,
10,"			TaxesReceivable","42,374,000","33,828,000","34,343,000","78,726,000","37,971,000",,,,,,"47,739,000",,,,,,,,,,,,,,,,,,,,,,,,,
11,"			OtherReceivables","2,367,000","2,151,000",,,"50,200,000",,,,"942,000",,,,,"1,990,000",,,,,,,,,,,,,,,,,,,,,,
12,"			ReceivablesAdjustmentsAllowances",,,,,,,,,"-942,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
