,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,ttm
0,TotalAssets,"413,209,000","517,001,000","584,862,000","304,645,000","302,107,000","314,789,000","289,547,000","184,968,000","167,436,000",
1,	CurrentAssets,"27,442,000","56,745,000","85,568,000","30,893,000","27,892,000","29,337,000","36,300,000","21,157,000","47,858,000",
2,		CashCashEquivalentsAndShortTermInvestments,"12,279,000","5,206,000","12,247,000","2,533,000","7,071,000","5,344,000","10,757,000","2,730,000","37,407,000",
3,			CashAndCashEquivalents,"12,279,000","5,206,000","12,247,000","2,533,000","7,071,000","5,344,000","10,757,000","2,730,000","37,407,000",
4,		Receivables,"10,050,000","35,834,000","41,987,000","18,056,000","11,468,000","18,240,000","19,127,000","9,089,000","5,968,000",
5,			AccountsReceivable,"10,023,000","35,834,000","41,987,000","18,056,000","11,468,000","18,240,000","19,127,000","9,089,000","5,382,000",
6,				GrossAccountsReceivable,"10,523,000",,,,,,,,,
7,				AllowanceForDoubtfulAccountsReceivable,"-500,000",,,,,,,,,
8,			NotesReceivable,0,,,,,,,,,
9,			DuefromRelatedPartiesCurrent,,,,,,,,0,"586,000",
10,			OtherReceivables,"27,000",,,0,0,0,0,0,0,
11,		Inventory,"1,038,000","2,325,000","2,693,000","2,710,000","2,336,000","2,317,000","2,124,000","1,128,000","889,000",
12,			RawMaterials,"1,038,000",,,"2,710,000","2,336,000","2,317,000","2,124,000","1,128,000","889,000",
13,			OtherInventories,,,,0,0,0,0,0,0,
14,		PrepaidAssets,"3,982,000","4,640,000","8,930,000","2,957,000","3,102,000","3,436,000","3,969,000","8,210,000","3,406,000",
15,		CurrentDeferredAssets,"89,000",,,,,,"323,000",0,"188,000",
16,			CurrentDeferredTaxesAssets,,,,,,,"323,000",0,"188,000",
17,		AssetsHeldForSaleCurrent,0,"8,740,000","19,711,000","4,637,000","3,915,000",,,,,
18,		OtherCurrentAssets,"4,000",,,"4,637,000","3,915,000",0,0,0,0,
19,	TotalNonCurrentAssets,"385,767,000","460,256,000","499,294,000","273,752,000","274,215,000","285,452,000","253,247,000","163,811,000","119,578,000",
20,		NetPPE,"382,239,000","457,530,000","496,197,000","272,388,000","273,188,000","283,378,000","250,498,000","129,488,000","83,476,000",
21,			GrossPPE,"564,778,000","610,956,000","609,664,000","357,449,000","335,437,000","324,426,000","272,368,000","138,959,000","85,587,000",
22,				Properties,0,0,0,0,0,0,0,0,0,
23,				LandAndImprovements,"487,000","487,000","487,000",0,"1,344,000","1,344,000","1,344,000","1,344,000","1,344,000",
24,				BuildingsAndImprovements,"3,189,000","3,408,000","3,317,000",0,"4,206,000","4,115,000","2,025,000","1,723,000","1,516,000",
25,				MachineryFurnitureEquipment,"1,593,000","1,751,000","1,226,000","2,619,000","2,782,000","2,560,000","2,267,000","2,712,000","1,857,000",
26,				OtherProperties,"525,933,000","568,675,000","594,871,000","332,338,000","294,002,000","288,094,000","227,758,000","132,226,000","50,863,000",
27,				ConstructionInProgress,"19,876,000","22,260,000","7,736,000","20,706,000","31,974,000","28,313,000","38,974,000","954,000","30,007,000",
28,				Leases,"13,700,000","14,375,000","2,027,000","1,786,000","1,129,000",,,,,
