,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
0,TotalAssets,"4,263,937,000","8,284,498,000","9,264,923,000","10,794,659,000","11,440,117,000","12,891,984,000","13,286,822,000","16,217,957,000","14,607,774,000","13,495,159,000","11,221,321,000","8,396,896,000","7,102,331,000","5,876,006,000","4,585,914,000","4,346,367,000","3,307,973,000","3,189,633,000","3,065,714,000","2,750,740,000","2,595,531,000","2,432,300,000","2,178,600,000","1,505,800,000","1,367,400,000","741,400,000","739,900,000","499,700,000","310,100,000","377,000,000","271,400,000","176,600,000","175,300,000","103,700,000","115,600,000","201,600,000"
1,"	CurrentAssets","602,284,000","422,107,000","659,056,000","1,038,975,000","1,192,614,000","1,240,618,000","928,562,000","1,390,935,000","1,305,325,000","1,059,612,000","830,728,000","1,483,190,000","1,240,341,000","860,191,000","569,980,000","522,455,000","425,283,000","421,959,000","465,643,000","494,049,000","379,132,000","290,600,000","438,200,000","265,000,000","388,500,000","188,000,000","240,200,000","116,700,000","79,500,000","117,700,000","82,100,000","42,900,000","24,500,000","10,100,000","12,400,000","21,700,000"
2,"		CashCashEquivalentsAndShortTermInvestments","343,332,000","104,621,000","375,232,000","662,829,000","725,722,000","512,245,000","68,510,000","114,458,000","282,092,000","239,196,000","337,871,000","735,493,000","513,311,000","161,058,000","61,710,000","166,302,000","191,578,000","237,843,000","265,466,000","278,306,000","173,235,000","132,800,000","211,000,000","49,900,000","149,600,000","41,300,000","95,200,000","4,900,000","3,100,000","56,100,000","48,800,000","7,100,000","1,400,000","2,100,000","7,700,000","10,900,000"
3,"			CashAndCashEquivalents","343,332,000","104,621,000","375,232,000","662,829,000","725,722,000","512,245,000","68,510,000","114,458,000","282,092,000","239,196,000","337,871,000","735,493,000","513,311,000","161,058,000","61,710,000","121,845,000","58,790,000","139,467,000","192,509,000","236,709,000","173,235,000","132,800,000","211,000,000","49,900,000","149,600,000","41,300,000","95,200,000","4,900,000","3,100,000","56,100,000","48,800,000","7,100,000","1,400,000","2,100,000","7,700,000","10,900,000"
4,"			OtherShortTermInvestments",,,,,,,,,,,,,,,,"44,457,000","132,788,000","98,376,000","72,957,000","41,597,000",,,,,,,,,,,,,,,,
5,"		Receivables","178,630,000","258,436,000","221,220,000","310,041,000","374,632,000","554,456,000","676,586,000","1,089,338,000","856,096,000","662,447,000","387,414,000","654,425,000","658,356,000","652,181,000","462,432,000","328,253,000","205,023,000","149,235,000","164,613,000","169,008,000","175,394,000","123,200,000","149,100,000","136,700,000","101,600,000","60,300,000","112,500,000","79,500,000","58,100,000","37,500,000","26,300,000","26,000,000","15,800,000","6,100,000","3,600,000","9,400,000"
6,"			AccountsReceivable","147,863,000","198,665,000","200,722,000","204,696,000","319,152,000","498,931,000","569,096,000","949,069,000","743,673,000","587,163,000","387,414,000","647,454,000","644,840,000","613,115,000","408,241,000","276,688,000","205,023,000","149,235,000","164,613,000","169,008,000",,"123,200,000",,,,,,,,,,,,,,
7,"			TaxesReceivable","30,767,000","59,771,000","20,498,000","105,345,000","55,480,000","55,525,000","107,490,000","140,269,000","112,423,000","75,284,000",,,,,,,,,,,,,,,,,,,,,,,,,,
8,"			OtherReceivables",,,,,,,,,,,,"6,971,000","13,516,000","39,066,000","54,191,000","51,565,000",,,,,,,,,,,,,,,,,,,,
9,"		Inventory",,,,,,,,,,,,,,"3,814,000","4,461,000","3,940,000","4,013,000","4,086,000","3,628,000","3,626,000","3,870,000","4,300,000","5,100,000","4,600,000","3,300,000","19,800,000","14,000,000",,,,,,,,,
10,"		PrepaidAssets","80,322,000","59,050,000","62,604,000","66,105,000","92,260,000","173,917,000","183,466,000","187,139,000","43,962,000","57,254,000","35,502,000","26,938,000","21,207,000","20,721,000","20,491,000","10,064,000","12,454,000","11,809,000","6,595,000","5,314,000",,,,,,,,,,,,,,,,
11,"		RestrictedCash",,,,,,,,,,,,,,,,,,,"8,668,000","9,366,000",,,,,,,,,,,,,,,,
12,"		OtherCurrentAssets",,,,,,,,,"123,175,000","100,715,000","69,941,000","66,334,000","47,467,000","22,417,000","20,886,000","13,896,000","12,215,000","18,986,000","16,673,000","28,429,000","26,633,000","30,300,000","73,000,000","73,800,000","134,000,000","66,600,000","18,500,000","32,300,000","18,300,000","24,100,000","7,000,000","9,800,000","7,300,000","1,900,000","1,100,000","1,400,000"
