,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017
0,TotalAssets,"3,961,000,000","9,279,000,000","10,848,000,000","17,982,000,000"
1,"	CurrentAssets","1,062,000,000","1,773,000,000","2,767,000,000","2,252,000,000"
2,"		CashCashEquivalentsAndShortTermInvestments","534,000,000","1,126,000,000","1,599,000,000","1,379,000,000"
3,"			CashAndCashEquivalents","526,000,000","1,115,000,000","1,542,000,000","1,255,000,000"
4,"			OtherShortTermInvestments","8,000,000","11,000,000","57,000,000","124,000,000"
5,"		Receivables","210,000,000","354,000,000","385,000,000","512,000,000"
6,"			AccountsReceivable","125,000,000","173,000,000","208,000,000","295,000,000"
7,"			DuefromRelatedPartiesCurrent","85,000,000","181,000,000","177,000,000","217,000,000"
8,"		RestrictedCash","132,000,000","135,000,000","461,000,000","104,000,000"
9,"		OtherCurrentAssets","186,000,000","158,000,000","322,000,000","257,000,000"
10,"	TotalNonCurrentAssets","2,899,000,000","7,506,000,000","8,081,000,000","15,730,000,000"
11,"		NetPPE","2,139,000,000","6,424,000,000","6,688,000,000","13,493,000,000"
12,"			GrossPPE","2,159,000,000","6,439,000,000","6,693,000,000","13,548,000,000"
13,"				BuildingsAndImprovements",,,0,"248,000,000"
14,"				MachineryFurnitureEquipment","39,000,000","38,000,000","34,000,000","84,000,000"
15,"				OtherProperties","2,120,000,000","6,401,000,000","6,659,000,000","13,216,000,000"
16,"			AccumulatedDepreciation","-20,000,000","-15,000,000","-5,000,000","-55,000,000"
17,"		InvestmentsAndAdvances","248,000,000","389,000,000","800,000,000","1,473,000,000"
18,"			LongTermEquityInvestment","248,000,000","389,000,000","800,000,000","1,473,000,000"
19,"				InvestmentsinAssociatesatCost","248,000,000","389,000,000","800,000,000","1,473,000,000"
20,"		NonCurrentAccountsReceivable","392,000,000","523,000,000","539,000,000","547,000,000"
21,"		DuefromRelatedPartiesNonCurrent","392,000,000","523,000,000","539,000,000","547,000,000"
22,"		NonCurrentDeferredAssets","9,000,000","4,000,000","18,000,000","10,000,000"
23,"			NonCurrentDeferredTaxesAssets","9,000,000","4,000,000","18,000,000","10,000,000"
24,"		OtherNonCurrentAssets","111,000,000","166,000,000","36,000,000","207,000,000"
25,TotalLiabilitiesNetMinorityInterest,"7,101,000,000","7,486,000,000","7,813,000,000","11,023,000,000"
26,"	CurrentLiabilities","6,545,000,000","770,000,000","464,000,000","859,000,000"
27,"		PayablesAndAccruedExpenses","52,000,000","105,000,000","121,000,000","82,000,000"
28,"			Payables","52,000,000","105,000,000","121,000,000","82,000,000"
29,"				AccountsPayable","45,000,000","86,000,000","82,000,000","72,000,000"
30,"				DuetoRelatedPartiesCurrent","7,000,000","19,000,000","39,000,000","10,000,000"
31,"		CurrentDebtAndCapitalLeaseObligation","6,177,000,000","343,000,000","33,000,000","509,000,000"
32,"			CurrentDebt","6,177,000,000","343,000,000","33,000,000","509,000,000"
33,"				CurrentNotesPayable","515,000,000",,,
34,"				LineOfCredit","5,662,000,000",,,
35,"				OtherCurrentBorrowings",,"362,000,000","72,000,000","519,000,000"
36,"		OtherCurrentLiabilities","316,000,000","322,000,000","310,000,000","268,000,000"
37,"	TotalNonCurrentLiabilitiesNetMinorityInterest","556,000,000","6,716,000,000","7,349,000,000","10,164,000,000"
38,"		LongTermDebtAndCapitalLeaseObligation","426,000,000","6,519,000,000","7,103,000,000","799,000,000"
39,"			LongTermDebt","426,000,000","6,519,000,000","7,103,000,000","799,000,000"
40,"		NonCurrentDeferredLiabilities","10,000,000","12,000,000","87,000,000","107,000,000"
41,"			NonCurrentDeferredTaxesLiabilities","10,000,000","12,000,000","87,000,000","107,000,000"
42,"		PreferredSecuritiesOutsideStockEquity",0,"57,000,000","38,000,000",0
43,"		OtherNonCurrentLiabilities","120,000,000","128,000,000","121,000,000","9,258,000,000"
44,TotalEquityGrossMinorityInterest,"-3,140,000,000","1,793,000,000","3,035,000,000","6,959,000,000"
45,"	StockholdersEquity","-3,140,000,000","1,642,000,000","2,883,000,000","6,560,000,000"
46,"		CapitalStock","10,000,000","10,000,000","10,000,000","1,008,000,000"
47,"			CommonStock","10,000,000","10,000,000","10,000,000","1,008,000,000"
48,"		RetainedEarnings","-6,628,000,000","-1,851,000,000","-611,000,000","225,000,000"
49,"		AdditionalPaidInCapital","3,504,000,000","3,496,000,000","3,491,000,000","5,269,000,000"
50,"		GainsLossesNotAffectingRetainedEarnings","-26,000,000","-13,000,000","-7,000,000","58,000,000"
51,"	MinorityInterest",0,"151,000,000","152,000,000","399,000,000"
52,TotalCapitalization,"-2,714,000,000","8,161,000,000","9,986,000,000","7,359,000,000"
53,CommonStockEquity,"-3,140,000,000","1,642,000,000","2,883,000,000","6,560,000,000"
54,NetTangibleAssets,"-3,140,000,000","1,642,000,000","2,883,000,000","6,560,000,000"
55,WorkingCapital,"-5,483,000,000","1,003,000,000","2,303,000,000","1,393,000,000"
56,InvestedCapital,"3,463,000,000","8,504,000,000","10,019,000,000","7,868,000,000"
57,TangibleBookValue,"-3,140,000,000","1,642,000,000","2,883,000,000","6,560,000,000"
58,TotalDebt,"6,603,000,000","6,862,000,000","7,136,000,000","1,308,000,000"
59,NetDebt,"6,077,000,000","5,747,000,000","5,594,000,000","53,000,000"
60,ShareIssued,"100,384,435","100,234,973","100,000,000","100,000,000"
61,OrdinarySharesNumber,"100,384,435","100,234,973","100,000,000","100,000,000"
0,TotalRevenue,"1,059,000,000","1,388,000,000",,"2,088,000,000"
1,"	OperatingRevenue","1,029,000,000","1,261,000,000",,"1,926,000,000"
2,CostOfRevenue,"1,377,000,000","1,592,000,000",,"1,625,000,000"
3,GrossProfit,"-318,000,000","-204,000,000",,"463,000,000"
4,OperatingExpense,"80,000,000","101,000,000",,"277,000,000"
5,"	SellingGeneralAndAdministration","80,000,000","130,000,000",,"277,000,000"
6,"		GeneralAndAdministrativeExpense",,,,"277,000,000"
7,"			OtherGandA",,,,"277,000,000"
8,"	OtherOperatingExpenses","-9,000,000","-29,000,000",,"-27,000,000"
9,OperatingIncome,"-398,000,000","-305,000,000",,"186,000,000"
10,NetNonOperatingInterestIncomeExpense,"-419,000,000","-422,000,000",,"-269,000,000"
11,"	InterestIncomeNonOperating","34,000,000","69,000,000",,"60,000,000"
12,"	InterestExpenseNonOperating","382,000,000","487,000,000",,"285,000,000"
13,"	TotalOtherFinanceCost","71,000,000","4,000,000",,"44,000,000"
14,OtherIncomeExpense,"-3,841,000,000","-534,000,000",,"-2,953,000,000"
15,"	GainOnSaleOfSecurity","483,000,000","-94,000,000",,"-54,000,000"
16,"	EarningsFromEquityInterest","-77,000,000","-115,000,000",,"174,000,000"
17,"	SpecialIncomeCharges","-4,247,000,000","-325,000,000",,"-3,100,000,000"
18,"		RestructuringAndMergernAcquisition",0,0,,"1,337,000,000"
19,"		ImpairmentOfCapitalAssets","4,108,000,000",0,,"696,000,000"
20,"		WriteOff","47,000,000","302,000,000",,"841,000,000"
21,"		OtherSpecialCharges","107,000,000","23,000,000",,"-19,000,000"
22,"		GainOnSaleOfPPE","15,000,000",0,,"-245,000,000"
23,"	OtherNonOperatingIncomeExpenses","-29,000,000","-11,000,000",,"27,000,000"
24,PretaxIncome,"-4,658,000,000","-1,261,000,000",,"-3,036,000,000"
25,TaxProvision,"5,000,000","-39,000,000",,"66,000,000"
26,NetIncomeCommonStockholders,"-4,659,000,000","-1,219,000,000",,"-2,973,000,000"
27,"	NetIncome","-4,659,000,000","-1,219,000,000",,"-2,973,000,000"
28,"		NetIncomeIncludingNoncontrollingInterests","-4,663,000,000","-1,222,000,000",,"-3,102,000,000"
29,"			NetIncomeContinuousOperations","-4,663,000,000","-1,222,000,000",,"-3,102,000,000"
30,"		MinorityInterests","4,000,000","3,000,000",,"129,000,000"
31,"	OtherunderPreferredStockDividend",0,,,
32,AverageDilutionEarnings,0,,,
33,DilutedNIAvailtoComStockholders,"-4,659,000,000","-1,219,000,000",,"-2,973,000,000"
34,BasicEPS,,-12.18,-14.758,-5.89
35,DilutedEPS,,-12.18,-14.758,-5.89
36,BasicAverageShares,,"100,082,102","100,000,000","505,000,000"
37,DilutedAverageShares,,"100,082,102","100,000,000","505,000,000"
38,TotalOperatingIncomeAsReported,"-4,482,000,000","-295,000,000",,"-728,000,000"
39,TotalExpenses,"1,457,000,000","1,693,000,000",,"1,902,000,000"
40,NetIncomeFromContinuingAndDiscontinuedOperation,"-4,659,000,000","-1,219,000,000",,"-2,973,000,000"
41,NormalizedIncome,"-1,723,080,000","-812,989,000",,"-575,960,000"
42,InterestIncome,"34,000,000","69,000,000",,"60,000,000"
43,InterestExpense,"382,000,000","487,000,000",,"285,000,000"
44,NetInterestIncome,"-419,000,000","-422,000,000",,"-269,000,000"
45,EBIT,"-4,276,000,000","-774,000,000",,"-2,751,000,000"
46,EBITDA,,,,
47,ReconciledCostOfRevenue,"1,377,000,000","1,592,000,000",,"1,625,000,000"
48,ReconciledDepreciation,"346,000,000","426,000,000",,"798,000,000"
49,NetIncomeFromContinuingOperationNetMinorityInterest,"-4,659,000,000","-1,219,000,000",,"-2,973,000,000"
50,TotalUnusualItemsExcludingGoodwill,"-3,764,000,000","-419,000,000",,"-3,154,000,000"
51,TotalUnusualItems,"-3,764,000,000","-419,000,000",,"-3,154,000,000"
52,NormalizedEBITDA,"-166,000,000","71,000,000",,"1,201,000,000"
53,TaxRateForCalcs,0.22,0.031,,0.24
54,TaxEffectOfUnusualItems,"-828,080,000","-12,989,000",,"-756,960,000"
,,,,,
1,ROA1,-1.176218,-0.131372,0,-0.165332
2,ROA2,-0.703776435,-0.121130819,0,#REF!
3,ROE,1.483758,-0.679866,0,-0.427217
