name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"93,263,000","119,664,000","175,890,000","118,361,000","71,198,000","61,061,000","112,488,000","165,274,000","167,533,000","239,654,000","199,934,000","111,131,000","106,263,000","137,246,000","142,944,682","174,543,336","162,109,548","135,747,000","124,078,000","102,895,000","110,844,000","88,441,000","61,300,000","75,500,000","89,100,000","63,300,000","57,400,000","61,500,000","44,100,000"
	OperatingRevenue,"93,263,000","119,664,000","175,890,000","118,361,000","71,198,000","61,061,000","112,488,000","165,274,000","167,533,000","239,654,000","199,934,000","111,131,000","106,263,000","137,246,000","142,944,682","174,543,336","162,109,548","135,747,000","124,078,000","102,895,000","110,844,000","88,441,000","61,300,000","75,500,000","89,100,000","63,300,000","57,400,000","61,500,000","44,100,000"
CostOfRevenue,"30,075,000","32,681,000","36,763,000","26,614,000","27,126,000","23,959,000","36,748,000","30,200,000","26,825,000","24,342,000","132,520,000","69,162,000","67,649,000","87,123,000","85,107,756","99,969,711","92,575,881","79,563,000","74,811,000","59,929,000","63,584,000","55,875,000","41,800,000","48,200,000","58,200,000","44,500,000","40,900,000","44,500,000","35,500,000"
GrossProfit,"63,188,000","86,983,000","139,127,000","91,747,000","44,072,000","37,102,000","75,740,000","135,074,000","140,708,000","215,312,000","67,414,000","41,969,000","38,614,000","50,123,000","57,836,926","74,573,625","69,533,667","56,184,000","49,267,000","42,966,000","47,260,000","32,566,000","19,500,000","27,300,000","30,900,000","18,800,000","16,500,000","17,000,000","8,600,000"
OperatingExpense,"85,114,000","104,541,000","157,825,000","109,186,000","75,815,000","36,671,000","89,159,000","130,726,000","124,546,000","178,470,000","37,050,000","34,337,000","27,418,000","33,003,000","31,176,880","29,398,882","26,831,027","24,768,000","20,979,000","18,820,000","18,383,000","14,341,000","11,700,000","12,500,000","10,900,000","7,700,000","6,600,000","5,800,000","4,500,000"
	SellingGeneralAndAdministration,"14,439,000","12,686,000","36,237,000","22,611,000","13,659,000","12,502,000","15,128,000","18,136,000","18,265,000","19,012,000","16,117,000","13,464,000","9,942,000","16,336,000","15,774,158","15,187,558","14,140,016","13,505,000","11,547,000","10,001,000","10,620,000","7,790,000","6,100,000","7,500,000","6,700,000","5,200,000","4,400,000","3,800,000","3,200,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,"27,126,000","23,959,000","36,748,000","30,200,000","26,825,000","24,342,000","20,933,000","20,873,000","17,476,000","16,667,000","15,402,721","14,211,323","12,691,011","11,263,000","9,432,000","8,819,000","7,763,000","6,551,000","5,600,000","5,000,000","4,200,000","2,500,000","2,200,000","2,000,000","1,300,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,"27,126,000","23,959,000","36,748,000","30,200,000","26,825,000","24,342,000","20,933,000","20,873,000","17,476,000","16,667,000","15,402,721","14,211,323","12,691,011","11,263,000","9,432,000","8,819,000","7,763,000","6,551,000","5,600,000","5,000,000","4,200,000","2,500,000","2,200,000","2,000,000","1,300,000"
			DepreciationIncomeStatement,,,,,,,,,,,"20,933,000","20,873,000","17,476,000","16,667,000",,,,,,,,,,,,,,,
	OtherOperatingExpenses,"70,675,000","91,855,000","121,588,000","86,575,000","62,156,000","24,169,000","74,031,000","112,590,000","106,281,000","159,458,000",,,,,"1","1",,,,,,,,,,,,,
