name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"771,501,000","936,818,000","1,592,247,000","1,156,357,000","1,000,650,000","859,702,000","1,390,978,000","2,321,765,000","2,098,011,000","2,197,321,000","1,890,372,000","1,355,683,000","1,137,575,000","1,705,579,000","1,577,601,000","1,807,230,000","1,520,724,000","1,059,494,000","928,960,000","651,768,000","767,669,000","672,041,000","372,300,000","418,900,000","517,500,000","245,400,000","180,700,000","174,900,000","92,700,000"
	OperatingRevenue,"771,501,000","936,818,000","1,592,247,000","1,156,357,000","1,000,650,000","859,702,000","1,390,978,000","2,321,765,000","2,098,011,000","2,197,321,000","1,890,372,000","1,355,683,000","1,137,575,000","1,705,579,000","1,577,601,000","1,807,230,000","1,520,724,000","1,059,494,000","928,960,000","651,768,000","767,669,000","672,041,000","372,300,000","418,900,000","517,500,000","245,400,000","180,700,000","174,900,000","92,700,000"
CostOfRevenue,"890,719,000","1,032,906,000","1,504,083,000","1,270,860,000","1,085,511,000","971,973,000","1,330,538,000","1,985,249,000","1,772,199,000","1,775,736,000","1,322,926,000","991,977,000","781,021,000","1,145,884,000","1,054,334,000","1,161,213,000","1,031,412,000","776,688,000","683,878,000","498,325,000","546,350,000","486,024,000","274,100,000","290,900,000","359,300,000","177,500,000","134,400,000","128,300,000","73,800,000"
GrossProfit,"-119,218,000","-96,088,000","88,164,000","-114,503,000","-84,861,000","-112,271,000","60,440,000","336,516,000","325,812,000","421,585,000","567,446,000","363,706,000","356,554,000","559,695,000","523,267,000","646,017,000","489,312,000","282,806,000","245,082,000","153,443,000","221,319,000","186,017,000","98,200,000","128,000,000","158,200,000","67,900,000","46,300,000","46,600,000","18,900,000"
OperatingExpense,"44,347,000","41,446,000","59,111,000","47,144,000","39,822,000","62,790,000","103,176,000","173,779,000","90,175,000","77,440,000","254,740,000","174,388,000","167,419,000","189,570,000","140,342,000","127,554,000","211,481,000","108,139,000","107,259,000","68,825,000","55,427,000","53,465,000","42,000,000","38,500,000","31,700,000","20,000,000","13,700,000","10,500,000","6,500,000"
	SellingGeneralAndAdministration,"44,347,000","41,446,000","59,111,000","47,144,000","39,822,000","62,790,000","74,895,000","84,284,000","90,175,000","77,440,000","76,813,000","54,195,000","59,688,000","63,761,000","47,706,000","46,633,000","136,564,000","57,183,000","63,050,000","29,655,000","26,243,000","26,940,000","19,300,000","18,000,000","19,200,000","13,600,000","8,700,000","7,100,000","4,300,000"
		GeneralAndAdministrativeExpense,"44,347,000","41,446,000","59,111,000","47,144,000","39,822,000","62,790,000","74,895,000","84,284,000","90,175,000","77,440,000","76,813,000","54,195,000","59,688,000",,,,,,,,,,,,,,,,
			SalariesAndWages,"3,381,000","-2,121,000","4,047,000","707,000","656,000","10,287,000","37,000","-13,573,000","2,049,000","-3,397,000","6,555,000","1,366,000","8,804,000",,,,,,,,,,,,,,,,
			OtherGandA,"40,966,000","43,567,000","55,064,000","46,437,000","39,166,000","52,503,000","74,858,000","97,857,000","88,126,000","80,837,000","70,258,000","52,829,000","50,884,000",,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,"349,947,000","335,513,000","298,854,000","248,026,000","220,227,000","177,927,000","135,799,000","111,015,000","125,809,000","92,636,000","80,921,000","74,917,000","50,956,000","44,209,000","39,170,000","29,184,000","26,525,000","22,700,000","20,500,000","12,500,000","6,400,000","5,000,000","3,400,000","2,200,000"
