name,ttm,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"0","0","0","0","0","0","0"
	OperatingRevenue,"0","0","0","0","0","0","0"
CostOfRevenue,,"0","0","0","0","0","0"
GrossProfit,,"0","0","0","0","0","0"
OperatingExpense,"66,965","41,313","21,676","29,483","23,029","37,318","123,465"
	SellingGeneralAndAdministration,"66,965","41,313","21,676","29,483","23,029","37,318","123,465"
		GeneralAndAdministrativeExpense,"54,935","41,313",,"29,483","23,029","37,318","123,465"
OperatingIncome,"-66,965","-41,313","-21,676","-29,483","-23,029","-37,318","-123,465"
NetNonOperatingInterestIncomeExpense,,,,"0","0",,
	InterestExpenseNonOperating,,,,"0","0",,
OtherIncomeExpense,"0","0",,"0","133",,
	SpecialIncomeCharges,,,,"0","133",,
PretaxIncome,"-66,965","-41,313","-21,676","-29,483","-22,896",,
TaxProvision,"0","0","0","0","0",,
NetIncomeCommonStockholders,"-66,965","-41,313","-21,676","-29,483","-22,896","-37,318","-123,465"
	NetIncome,"-66,965","-41,313","-21,676","-29,483","-22,896","-37,318","-123,465"
		NetIncomeIncludingNoncontrollingInterests,"-66,965","-41,313","-21,676","-29,483","-22,896","-37,318","-123,465"
			NetIncomeContinuousOperations,"-66,965","-41,313","-21,676","-29,483","-22,896","-37,318","-123,465"
DilutedNIAvailtoComStockholders,"-66,965","-41,313","-21,676","-29,483","-22,896","-37,318","-123,465"
BasicEPS,,"-0","0","0","0","-0","-0.001"
DilutedEPS,,"-0","0","0","0","-0","-0.001"
BasicAverageShares,,"261,466,670","261,466,670","261,466,013","261,466,013","261,466,013","222,993,281"
DilutedAverageShares,,"261,466,670","261,466,670","261,466,013","261,466,013","261,466,013","222,993,281"
TotalOperatingIncomeAsReported,"-66,965","-41,313","-21,676","-29,483","-23,029","-37,318","-123,465"
TotalExpenses,"66,965","41,313","21,676","29,483","23,029","37,318","123,465"
NetIncomeFromContinuingAndDiscontinuedOperation,"-66,965","-41,313","-21,676","-29,483","-22,896","-37,318","-123,465"
NormalizedIncome,"-66,965","-41,313","-21,676","-29,483","-23,029","-37,318","-123,465"
InterestExpense,,,,"0","0",,
NetInterestIncome,,,,"0","0",,
EBIT,"-66,965","-41,313","-21,676","-29,483","-22,896","-37,318","-123,465"
EBITDA,"-66,965"
ReconciledCostOfRevenue,,"0","0","0","0","0","0"
NetIncomeFromContinuingOperationNetMinorityInterest,"-66,965","-41,313","-21,676","-29,483","-22,896","-37,318","-123,465"
TotalUnusualItemsExcludingGoodwill,,,,"0","133",,
TotalUnusualItems,,,,"0","133",,
NormalizedEBITDA,"-66,965","-41,313","-21,676","-29,483","-23,029","-37,318","-123,465"
TaxRateForCalcs,"0","0","0","0","0","0.35","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0"
