name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"60,466,000","83,418,000","203,602,000","142,609,000","90,007,000","70,062,000","88,418,000","70,347,000","42,786,000","15,123,000"
	OperatingRevenue,"52,996,000","74,232,000","189,739,000","135,378,000","90,007,000","70,062,000","88,418,000","70,347,000","42,786,000","15,123,000"
CostOfRevenue,"92,071,000","109,286,000","190,280,000","126,111,000","93,577,000","67,085,000","73,238,000","58,835,000","38,587,000","21,304,000"
GrossProfit,"-31,605,000","-25,868,000","13,322,000","16,498,000","-3,570,000","2,977,000","15,180,000","11,512,000","4,199,000","-6,181,000"
OperatingExpense,"13,409,000","13,484,000","16,428,000","15,907,000","13,213,000","16,144,000","14,483,000","12,222,000","8,911,000","7,813,000"
	SellingGeneralAndAdministration,"13,409,000","13,484,000","16,051,000","15,907,000","13,213,000","16,144,000","14,483,000","12,222,000","8,911,000","7,813,000"
		GeneralAndAdministrativeExpense,,,"16,051,000","15,907,000","13,213,000","16,144,000","14,483,000","12,222,000","8,911,000","7,813,000"
			OtherGandA,,,"16,051,000","15,907,000","13,213,000","16,144,000","14,483,000","12,222,000","8,911,000","7,813,000"
	DepreciationAmortizationDepletionIncomeStatement,,,"45,367,000","30,891,000","25,844,000","23,808,000","21,151,000","16,181,000","10,186,000","5,904,000"
		DepreciationAndAmortizationInIncomeStatement,,,"45,367,000","30,891,000","25,844,000","23,808,000","21,151,000","16,181,000","10,186,000","5,904,000"
	OtherOperatingExpenses,,,"377,000",,,,,,,
OperatingIncome,"-45,014,000","-39,352,000","-3,106,000","591,000","-16,783,000","-13,167,000","697,000","-710,000","-4,712,000","-13,994,000"
NetNonOperatingInterestIncomeExpense,"-14,732,000","-14,627,000","-14,415,000","-7,562,000","-2,983,000","-3,045,000","-3,254,000","-1,648,000","-257,000","-10,000"
	InterestExpenseNonOperating,"14,732,000","14,627,000","14,415,000","7,562,000","2,983,000","3,045,000","3,254,000","1,648,000","257,000","10,000"
	TotalOtherFinanceCost,,,,,,,,,"257,000",
OtherIncomeExpense,"-24,765,000","-42,806,000","-43,389,000","-12,931,000","-4,245,000","-5,764,000","-5,648,000","-29,168,000","1,090,000","3,655,000"
	GainOnSaleOfSecurity,,,,,,,,"3,189,000","1,035,000","3,655,000"
	SpecialIncomeCharges,"-24,765,000","-42,806,000","-43,389,000","-12,931,000","-4,245,000","-5,764,000","-5,648,000","-32,357,000","55,000","0"
		RestructuringAndMergernAcquisition,"0","1,076,000","2,698,000","13,646,000",,,,,,
		ImpairmentOfCapitalAssets,"50,349,000",,"35,748,000","25,000","2,568,000","3,822,000","2,708,000","30,627,000",,"0"
		WriteOff,"24,431,000","41,007,000","35,748,000","25,000","2,568,000","3,822,000","2,708,000","1,711,000",,"0"
		OtherSpecialCharges,,,,,,"1,942,000","2,940,000","19,000","-1,090,000","-3,655,000"
		GainOnSaleOfPPE,"-334,000","-723,000","-4,943,000","740,000","-1,677,000","-1,942,000","-2,940,000","-19,000","55,000","0"
	OtherNonOperatingIncomeExpenses,,,"-377,000",,,,,,,
PretaxIncome,"-84,511,000","-96,785,000","-60,910,000","-19,902,000","-24,011,000","-21,976,000","-8,205,000","-31,526,000","-3,879,000","-10,349,000"
TaxProvision,"-71,000","-147,000","-122,000","91,000","287,000","202,000","-325,000","-3,358,000","-1,882,000","-5,401,000"
NetIncomeCommonStockholders,"-84,440,000","-96,638,000","-60,788,000","-19,993,000","-24,298,000","-22,178,000","-7,880,000","-28,168,000","-1,997,000","-4,948,000"
	NetIncome,"-84,440,000","-96,638,000","-60,788,000","-19,993,000","-24,298,000","-22,178,000","-7,880,000","-28,168,000","-1,997,000","-4,948,000"
		NetIncomeIncludingNoncontrollingInterests,"-84,440,000","-96,638,000","-60,788,000","-19,993,000","-24,298,000","-22,178,000","-7,880,000","-28,168,000","-1,997,000","-4,948,000"
			NetIncomeContinuousOperations,"-84,440,000","-96,638,000","-60,788,000","-19,993,000","-24,298,000","-22,178,000","-7,880,000","-28,168,000","-1,997,000","-4,948,000"
DilutedNIAvailtoComStockholders,"-84,440,000","-96,638,000","-60,788,000","-19,993,000","-24,298,000","-22,178,000","-7,880,000","-28,168,000","-1,997,000","-4,948,000"
BasicEPS,,"-19.69","-16.2","-8.4","-12.8","-13.4","-6.6","-33","-1.8","-9.8"
DilutedEPS,,"-19.69","-16.2","-8.4","-12.8","-13.4","-6.6","-33","-1.8","-9.8"
BasicAverageShares,,"4,907,000","3,773,550","2,379,000","1,888,100","1,655,900","1,195,200","853,900","1,142,757","507,050"
DilutedAverageShares,,"4,907,000","3,773,550","2,379,000","1,888,100","1,655,900","1,195,200","853,900","1,142,757","507,050"
TotalOperatingIncomeAsReported,"-69,779,000","-82,158,000","-46,495,000","-12,340,000","-21,028,000","-18,931,000","-4,951,000","-33,067,000","-4,657,000","-13,994,000"
TotalExpenses,"105,480,000","122,770,000","206,708,000","142,018,000","106,790,000","83,229,000","87,721,000","71,057,000","47,498,000","29,117,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-84,440,000","-96,638,000","-60,788,000","-19,993,000","-24,298,000","-22,178,000","-7,880,000","-28,168,000","-1,997,000","-4,948,000"
NormalizedIncome,"-59,695,805.753","-53,917,612","-17,485,778","-10,553,370","-21,751,000","-18,719,600","-2,457,920","-2,120,976","-2,705,500","-7,323,750"
InterestExpense,"14,732,000","14,627,000","14,415,000","7,562,000","2,983,000","3,045,000","3,254,000","1,648,000","257,000","10,000"
