name,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007
TotalAssets,"10,226,284","10,147,846","5,831,724","2,587,028","2,898,084","7,099,333","4,492,898","4,589,778","462,647","4,544,825","15,405,745","8,228,292","15,981","36"
	CurrentAssets,"1,568,234","97,381","1,657,271","1,814,959","216,998","322,777","356,186","301,017","61,056","1,369,319","2,962,760","288,435","15,981","36"
		CashCashEquivalentsAndShortTermInvestments,"1,142,460","32,979","1,604,414","1,007,065","137,944","226,412","144,480","64,963","12,989","680,219","418,251","18,801","15,981","36"
			CashAndCashEquivalents,"162,506","32,979","1,604,414","1,007,065","137,944","226,412","144,480","64,963","12,989","680,219","418,251","18,801","15,981","36"
				CashFinancial,"162,506","32,979","1,604,414","1,007,065","137,944","226,412","117,818","36,351","12,989","419,817","211,905","18,801",,
				CashEquivalents,,,,,,,"26,662","28,612",,"260,402","206,346",,,
			OtherShortTermInvestments,"979,954",,,,,,,,,,,,,
		Receivables,"37,500",,"0","750,000","15,000","15,000","110,015","187,054","1,456","640,222","166,059","125,783",,
			AccountsReceivable,,,,,,"0","61,635","77,054","1,456","376,807","166,059","125,783",,
			NotesReceivable,"37,500",,"0","750,000","15,000","15,000",,,,,,,,
			OtherReceivables,,,,,,,"48,380","110,000",,"263,415",,,,
		PrepaidAssets,"388,274","64,402","52,857","42,894","50,848","68,159","101,691","49,000","0","48,878","2,378,450","15,612",,
		RestrictedCash,,,,"15,000","13,206","13,206",,,,,,,,
		OtherCurrentAssets,,,,,,,,,"46,611",,,"128,239",,
	TotalNonCurrentAssets,"8,658,050","10,050,465","4,174,453","772,069","2,681,086","6,776,556","4,136,712","4,288,761","401,591","3,175,506","12,442,985","7,939,857","0","0"
		NetPPE,"96,426",,,,,"0","55,385",,,,"0","190,765",,
			GrossPPE,"96,426",,,,,"65,030",,,,,"0","291,380",,
				Properties,,,,,,,,,,,"0",,,
				MachineryFurnitureEquipment,,,,,,"65,030",,,,,"0","198,823",,
				OtherProperties,"96,426",,,,,,,,,,,"92,557",,
				Leases,,,,,,,,,,,"0",,,
			AccumulatedDepreciation,,,,,,"-65,030",,,,,"0","-100,615",,
		GoodwillAndOtherIntangibleAssets,"6,712,547","1,941,816","1,274,453","772,069","2,625,086","189,235","4,081,327","4,288,761","96,591","3,175,506","12,099,652","7,052,964",,
			OtherIntangibleAssets,"6,712,547","1,941,816","1,274,453","772,069","2,625,086","189,235","4,081,327","4,288,761","96,591","3,175,506",,"7,052,964",,
		InvestmentsAndAdvances,"1,849,077","8,096,239",,"0","56,000","5,705,734",,,,,,,,
			LongTermEquityInvestment,"1,849,077","8,096,239",,"0","56,000",,,,,,,,,
				InvestmentsinAssociatesatCost,"1,849,077","8,096,239",,,,,,,,,,,,
		NonCurrentAccountsReceivable,,"12,410",,,,"881,587",,,,,,,,
		NonCurrentNoteReceivables,,"0","2,900,000",,,,,,,,,,,
		OtherNonCurrentAssets,,,,,,,,,"305,000",,"343,333","696,128",,
TotalLiabilitiesNetMinorityInterest,"4,078,849","2,280,199","4,627,324","3,018,467","3,035,694","13,134,079","13,905,982","13,709,052","14,696,097","14,810,964","11,597,412","2,571,662","50,937","43,860"
	CurrentLiabilities,"4,078,849","2,280,199","1,727,324","3,018,467","3,035,694","13,134,079","13,905,982","13,672,111","14,607,206","14,785,559","5,100,391","1,871,385","50,937","43,860"
		PayablesAndAccruedExpenses,"833,679","692,383","428,120","262,493","588,513","3,362,722","2,314,963","4,292,442","1,935,598","11,438,950","3,151,851","968,452","7,890","6,489"
			Payables,"833,679","692,383","428,120",,,"2,252,846","1,448,379","3,613,160","1,080,902","10,856,050","2,680,488",,"7,890","4,989"
				AccountsPayable,"833,679","692,383","428,120",,,"1,277,957","1,448,379","2,518,160","1,080,902","2,206,359","779,778",,"7,890","4,989"
				DuetoRelatedPartiesCurrent,,,,,,"974,889",,"1,095,000",,"8,649,691","1,900,710",,,
			CurrentAccruedExpenses,,,,,,"1,109,876","866,584","679,282","854,696","582,900","471,363",,,"1,500"
				InterestPayable,,,,,,"1,054,631","603,695","533,456","639,542","346,120","319,938",,,
		CurrentDebtAndCapitalLeaseObligation,"2,844,478","1,543,000","1,193,000","2,602,326","2,386,611","9,276,458","9,657,435","8,607,900","9,668,545","1,553,878","952,891","352,642",,
			CurrentDebt,"2,767,716","1,543,000","1,193,000","2,602,326","2,386,611","9,276,458","9,657,435","8,607,900","9,643,140","1,502,639","900,963","309,479",,
				CurrentNotesPayable,"1,575,000","350,000",,"0","2,386,611","8,897,458","8,628,435","8,607,900","1,030,681","1,502,639","900,963","309,479",,
				LineOfCredit,"1,192,716","1,193,000","1,193,000","1,193,000",,,,,,,,,,
				OtherCurrentBorrowings,,"350,000",,"1,409,326",,"379,000","1,029,000",,"8,612,459",,,,,
			CurrentCapitalLeaseObligation,"76,762",,,,,,,"0","25,405","51,239","51,928","43,163",,
		CurrentDeferredLiabilities,,,,,,,"453,868","76,891","1,414,908","95,579","178,450",,,
		OtherCurrentLiabilities,"400,692","44,816","106,204","153,648","60,570","494,899","1,479,716","694,878","1,588,155","1,697,152","817,199","550,291","43,047","37,371"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"0","0","2,900,000","0","0","0","0","36,941","88,891","25,405","6,497,021","700,277",,
		LongTermDebtAndCapitalLeaseObligation,,,,,,,,"36,941","88,891","25,405","6,497,021","700,277",,
			LongTermDebt,,,,,,,,"36,941","88,891",,"6,477,469","628,807",,
			LongTermCapitalLeaseObligation,,,,,,,,,"0","25,405","19,552","71,470",,
		NonCurrentDeferredLiabilities,,"0","2,900,000",,,,,,,,,,,
			NonCurrentDeferredRevenue,,"0","2,900,000",,,,,,,,,,,
TotalEquityGrossMinorityInterest,"6,147,435","7,867,647","1,204,400","-431,439","-137,610","-6,034,746","-9,413,084","-9,119,274","-14,233,450","-10,266,139","3,808,333","5,656,630","-34,956","-43,824"
	StockholdersEquity,"6,147,435","7,867,647","1,204,400","-431,439","-618,002","-6,034,746","-13,611,428","-9,078,485","-14,233,450","-10,266,139","3,808,333","5,656,630","-34,956","-43,824"
		CapitalStock,"131","96","80","18,807","18,766","22,384","22,348","23,805","18,108","7,181","6,126","5,295","55","50"
			PreferredStock,,"0","0","18,696","18,699","22,173","22,172","23,675","18,096","6,632","5,798","5,048",,
			CommonStock,"131","96","80","111","67","211","176","130","12","549","328","247","55","50"
		AdditionalPaidInCapital,"122,000,201","114,265,762","111,901,094","100,209,386","92,925,589","80,026,487","73,877,065","61,958,113","52,735,408","43,067,860","33,763,778","11,732,549","75,722","12,123"
		RetainedEarnings,"-115,852,897","-106,398,211","-110,696,774","-100,659,632","-93,562,357","-86,078,617","-87,625,076","-71,193,862","-66,983,176","-53,215,394","-29,961,571","-6,081,214","-110,733","-55,997"
		TreasuryStock,,,,,,,,,"0","125,786",,,,
