name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009
TotalAssets,"1,083,211,000","1,570,286,000","1,765,456,000","1,544,784,000","400,989,000","280,405,000","269,837,016","194,620,142","170,191,412","112,939,637","50,633,452","37,898,160"
	CurrentAssets,"279,022,000","440,645,000","540,586,000","263,189,000","282,001,000","213,867,000","133,337,468","141,901,958","138,522,761","101,929,930","43,028,110","24,228,462"
		CashCashEquivalentsAndShortTermInvestments,"167,704,000","311,984,000","389,817,000","177,215,000","201,989,000","142,485,000","67,525,368","83,705,195","43,798,230","67,965,368","22,517,441","13,757,559"
			CashAndCashEquivalents,"129,881,000","177,990,000","187,647,000","101,704,000","53,434,000","49,857,000","38,011,775","36,501,478","43,798,230","67,965,368","9,341,526","5,471,639"
				CashFinancial,"90,000","93,000","128,000","88,000","209,000","234,000","291,026","196,510",,,"116,799","68,461"
				CashEquivalents,"129,791,000","177,897,000","187,519,000","101,616,000","53,225,000","49,623,000","37,720,749","36,304,968",,"67,965,368","9,224,727","5,403,178"
			OtherShortTermInvestments,"37,823,000","133,994,000","202,170,000","75,511,000","148,555,000","92,628,000","29,513,593","47,203,717",,,"13,175,915","8,285,920"
		Receivables,"57,854,000","54,923,000","73,511,000","35,189,000","28,291,000","29,039,000","30,556,907","32,825,882","26,483,474","12,257,102","12,978,582","5,984,187"
			AccountsReceivable,"53,407,000","53,195,000","56,386,000","35,108,000","28,222,000","28,951,000","28,373,066","25,290,442","20,575,261","12,257,102","12,036,039","5,080,700"
			TaxesReceivable,"4,447,000","1,415,000","25,000","81,000","69,000","88,000","2,183,841","7,535,440","5,908,213",,"942,543","903,487"
			DuefromRelatedPartiesCurrent,,"0","17,100,000",,,,,,,,,
			OtherReceivables,,"313,000",,,,,,,,,,
		Inventory,"36,000","606,000","596,000","251,000","527,000","1,997,000","515,663","1,522,693","2,367,548",,"0","757,137"
		PrepaidAssets,"52,628,000","71,781,000","75,087,000","49,797,000","47,419,000","39,064,000","33,674,531","22,403,030","21,715,281",,"7,532,087","3,729,579"
		CurrentDeferredAssets,,,,,,,,,"5,908,213","3,855,431","942,543","903,487"
			CurrentDeferredTaxesAssets,,,,,,,,,"5,908,213","3,855,431","942,543","903,487"
		AssetsHeldForSaleCurrent,,"0","1,220,000","302,000",,,,"0","404,109",,,
		HedgingAssetsCurrent,,,,,,,"0","188,973",,,,
		OtherCurrentAssets,"800,000","1,351,000","355,000","435,000","3,775,000","1,282,000","1,064,999","1,256,185","43,754,119","21,707,460","13,175,915","12,015,499"
	TotalNonCurrentAssets,"804,189,000","1,129,641,000","1,224,870,000","1,281,595,000","118,988,000","66,538,000","136,499,548","52,718,184","31,668,651","11,009,707","7,605,342","13,669,698"
		NetPPE,"35,997,000","13,499,000","13,690,000","15,334,000","10,285,000","8,900,000","8,532,640","9,203,826","7,064,373","3,762,598","3,748,180","3,461,457"
			GrossPPE,"56,860,000","28,360,000","26,067,000","24,479,000","19,245,000","16,266,000","14,779,249","14,101,388","10,661,233","7,320,129","6,442,882","4,995,229"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"853,000","879,000","0","812,000","794,000","857,000","858,833","953,784",,,,
