name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"187,249,000,000","200,169,000,000","185,830,000,000","162,048,477,313","144,413,901,668","118,842,591,960","31,290,917,013","20,818,474,462","11,669,751,008","9,761,434,778","8,116,204,013","4,156,759,697","2,560,566,316","2,127,996,869.321","1,450,624,661.53","1,036,324,672.978","740,718,059.014","557,302,682.181","97,266,380.406","108,925,000","117,890,000"
	CurrentAssets,"58,011,000,000","67,955,000,000","79,394,000,000","59,226,820,149","45,911,441,840","40,600,868,431","17,076,682,924","14,365,719,868","7,643,219,513","6,398,542,515","4,570,908,450","2,306,295,816","1,631,307,004","1,549,864,970.55","1,052,576,337.625","851,662,736.878","670,866,623.685","509,281,638.999","59,518,103.82",,
		CashCashEquivalentsAndShortTermInvestments,"42,916,000,000","42,981,000,000","58,283,000,000","46,372,929,797","32,547,543,539","27,451,460,190","11,739,742,386","10,773,435,769","4,830,197,297","4,791,899,980","3,332,213,174","1,614,802,299","1,246,413,272","1,207,324,422.032","843,678,497.728","735,362,467.707","615,875,684.494","472,051,536.857","38,935,725.772",,"88,908,000"
			CashAndCashEquivalents,"18,096,000,000","19,923,000,000","21,530,000,000","18,242,991,687","18,434,681,251","19,215,674,674","5,300,887,799","7,138,344,814","3,421,532,962","3,503,428,418","2,153,935,111","1,434,618,382","1,069,827,364","1,065,947,506.708","843,678,497.728","735,362,467.707","615,875,684.494","472,051,536.857","38,935,725.772",,"88,908,000"
				CashFinancial,,,,,,,,,,,"2,153,935,111","1,434,618,382","1,069,827,364",,,,,,,,"88,908,000"
			OtherShortTermInvestments,"24,820,000,000","23,058,000,000","36,753,000,000","28,129,938,110","14,112,862,288","8,235,785,516","6,438,854,587","3,635,090,955","1,408,664,335","1,288,471,562","1,178,278,063","180,183,917","176,585,908","141,376,915.324",,,,,,,
		Receivables,"8,899,000,000","13,417,000,000","8,861,000,000","5,592,426,752","5,701,604,831","4,405,340,553","1,942,082,292","1,624,169,365","1,304,823,458","794,030,889","624,765,477","422,866,970","277,314,477","273,150,331.412","154,177,924.555","64,068,446.055","35,477,750.237","29,556,513.714","16,582,169.727",,
			AccountsReceivable,"4,119,000,000","7,661,000,000","5,668,000,000","4,559,052,701","4,624,818,322","3,150,768,364","1,826,765,949","1,518,230,029","983,804,403","789,036,329","621,548,849","420,579,005","274,302,454","261,058,290.928","136,572,760.245","63,466,154.881","35,418,495.239","28,944,766.707","13,971,056.343",,
				GrossAccountsReceivable,"4,678,000,000","7,917,000,000","5,824,000,000","4,688,052,701","4,683,618,322","3,188,968,364","1,841,473,133","1,524,130,029","988,204,403",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-559,000,000","-256,000,000","-156,000,000","-129,000,000","-58,800,000","-38,200,000","-14,707,184","-5,900,000","-4,400,000",,,,,,,,,,,,
			AccruedInterestReceivable,,,,,"81,999,660","71,558,995","39,436,993","55,861,029","36,543,547",,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"1,802,000,000","2,779,000,000","1,642,000,000","373,776,048","787,603,986","961,791,458","10,568,937","21,774,669","5,328,170","4,994,560",,,,,,,,,,,
			OtherReceivables,"2,978,000,000","2,977,000,000","1,551,000,000","659,598,003","207,182,863","221,221,736","65,310,413","28,303,638","279,147,338",,"3,216,628","2,287,965","3,012,023","12,092,040.483","17,605,164.31","602,291.174","59,254.998","611,747.007","2,611,113.384",,
		PrepaidAssets,"4,219,000,000","8,801,000,000","7,278,000,000","5,000,284,603","5,621,083,507","6,243,904,867","2,306,144,597","1,098,824,212","655,879,881","561,193,151","352,614,489","132,030,199","92,138,483","46,319,349.976","39,917,843.118","26,245,366.094","18,503,784.456","7,132,197.417","3,406,992.829",,
		RestrictedCash,"1,319,000,000","1,824,000,000","4,244,000,000","1,748,796,431","1,744,490,307","2,286,882,592","836,394,951","739,543,614","768,228,577","211,636,294","224,179,126","113,150,289","6,600,000","6,609,482.977","6,594,415.928","6,602,702.064",,,,,
		CurrentDeferredAssets,,,,,,,"193,503,366","96,979,500","61,840,526","39,782,201","37,136,184","23,446,059","8,840,772","11,291,966.207","2,913,684.028","2,136,046.263","1,009,404.498","541,391.01","593,215.491",,
			CurrentDeferredTaxesAssets,,,,,,,"193,503,366","96,979,500","61,840,526","39,782,201","37,136,184","23,446,059","8,840,772","11,291,966.207","2,913,684.028","2,136,046.263","1,009,404.498","541,391.01","593,215.491",,
		OtherCurrentAssets,"658,000,000","932,000,000","728,000,000","512,382,566","296,719,656","213,280,229","58,815,332","32,767,408","22,249,774",,,,,"5,169,417.947","5,293,972.27","17,247,708.696",,"0",,,
	TotalNonCurrentAssets,"129,238,000,000","132,214,000,000","106,436,000,000","102,821,657,164","98,502,459,828","78,241,723,529","14,214,234,089","6,452,754,594","4,026,531,495","3,362,892,263","3,545,295,563","1,850,463,881","929,259,312","578,131,898.771","398,048,323.905","184,661,936.1","69,851,435.329","48,021,043.183","37,748,276.586",,
		NetPPE,"6,767,000,000","7,342,000,000","5,872,000,000","5,615,500,429","5,591,960,081","5,555,959,499","5,220,626,461","1,412,943,693","1,123,937,191","683,903,870","653,678,980","550,506,595","346,117,083","267,578,659.235","153,560,502.91","53,574,147.447","31,897,665.593","23,283,331.644","18,709,404.501",,
			GrossPPE,"9,996,000,000","9,929,000,000","7,996,000,000","7,273,782,513","6,845,719,584","6,328,228,097","5,753,196,791","1,799,069,626","1,443,619,607","928,474,808","842,479,225","690,104,002","434,416,791","319,514,746.426","185,784,467.005","74,417,906.072","48,017,880.93","33,507,658.152","18,709,404.501",,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
				LandAndImprovements,,"94,000,000","97,000,000","99,761,364","102,544,772","104,528,181","107,468,868","110,659,284","113,460,899",,,,,,,,,,,,
				BuildingsAndImprovements,"5,424,000,000","5,423,000,000","5,418,000,000","5,162,445,022","5,148,644,010","5,048,349,531","1,928,090,705","1,050,102,815","892,430,743","535,764,434","509,340,453","147,248,314","147,248,314","154,813,448.476","13,577,389.078","11,731,982.305","13,994,113.237","10,975,841.8",,,
				MachineryFurnitureEquipment,"2,013,000,000","3,100,000,000","1,652,000,000","1,326,032,686","1,034,316,197","761,788,714","512,520,535","369,650,809","334,062,597","375,226,385","317,583,367","239,771,886","212,829,174","153,123,337.862","84,963,353.425","52,427,621.639","33,402,409.753","21,906,377.285",,,
				OtherProperties,"2,389,000,000","1,207,000,000","771,000,000","637,528,902","536,705,335","377,457,565","246,791,832","135,116,574","107,209,531",,,,,"11,106,928.53","5,318,347.255","5,159,418.616","621,357.939","625,439.067",,,
				ConstructionInProgress,"1,000,000","11,000,000","9,000,000","7,554,107","10,056,257","11,231,274","3,014,154,910","199,363,516","81,050,521","1,764,477","0","293,914,287","66,605,760","471,031.558","81,925,377.248","5,098,883.513",,,,,
				Leases,"169,000,000","188,000,000","146,000,000","140,221,796","115,997,785","129,401,013","51,638,809","44,835,912","28,866,215","15,719,512","15,555,405","9,169,515","7,733,543",,,,,,,,
			AccumulatedDepreciation,"-3,229,000,000","-2,587,000,000","-2,124,000,000","-1,658,282,084","-1,253,759,503","-772,268,598","-532,570,330","-386,125,933","-319,682,416","-244,570,938","-188,800,245","-139,597,407","-88,299,708","-51,936,087.192","-32,223,964.095","-20,843,758.625","-16,120,215.336","-10,224,326.509",,,
		GoodwillAndOtherIntangibleAssets,"72,697,000,000","71,572,000,000","71,843,000,000","70,093,128,577","70,039,500,293","56,800,684,255","2,665,278,947","1,436,661,000","1,254,728,045","1,218,482,858","1,161,529,338","498,710,810","199,698,730","82,717,144.839","84,032,402.103","10,323,116.187","10,738,209.226","11,233,068.755","10,503,227.904",,
			Goodwill,"59,353,000,000","58,308,000,000","58,026,000,000","56,246,051,292","56,015,185,590","45,690,440,903","1,892,507,708","972,531,184","822,585,341","798,601,767","758,231,441","322,936,838","63,689,736","14,616,822.233","14,583,508.3","9,519,738.349",,,,,
			OtherIntangibleAssets,"13,344,000,000","13,264,000,000","13,817,000,000","13,847,077,285","14,024,314,703","11,110,243,352","772,771,239","464,129,816","432,142,704","419,881,091","403,297,897","175,773,972","136,008,994","68,100,322.606","69,448,893.803","803,377.838","10,738,209.226","11,233,068.755","10,503,227.904",,
		InvestmentsAndAdvances,"47,943,000,000","51,278,000,000","26,874,000,000","25,573,785,268","20,532,822,365","13,870,523,498","5,318,756,447","2,857,213,480","1,437,247,949","1,305,145,043","1,730,087,245","801,246,476","383,443,499",,,,,,,,
		NonCurrentAccountsReceivable,"25,000,000","25,000,000","229,000,000","218,353,359","599,913,241","543,911,586","510,039,284","8,166,667",,,,,,,,,,,,,
		NonCurrentNoteReceivables,,"21,000,000","0","19,000,000","215,673,057","578,524,154","192,871,939","178,584,102",,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,"25,000,000","25,000,000","229,000,000","218,353,359","599,913,241","543,911,586","510,039,284","8,166,667",,,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,395,000,000","976,000,000","850,000,000","461,969,275","375,311,594","405,334,569",,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"1,395,000,000","976,000,000","850,000,000","461,969,275","375,311,594","405,334,569",,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,"288,000,000","333,000,000","477,000,000","350,851,966","397,966,906","303,689,728","188,893,749","144,224,741","144,714,091",,,,,,,,,,,,
