,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,ttm
0,TotalRevenue,"6,796,000,000","15,066,000,000","14,527,000,000","12,681,082,000","10,743,006,000","9,223,987,000","8,441,971,000","6,793,306,000","5,260,956,000","4,355,610,000","3,084,905,000","2,338,212,000","1,884,806,000","1,409,409,000","1,123,103,000","962,660,000","914,372,000","863,661,000","1,003,606,000","1,171,753,000","1,235,396,000","482,400,000","35,200,000","5,649,000,000"
1,	OperatingRevenue,"6,796,000,000","15,066,000,000","14,527,000,000","12,681,082,000","10,743,006,000","9,223,987,000","8,441,971,000","6,793,306,000","5,260,956,000","4,355,610,000","3,084,905,000","2,338,212,000","1,884,806,000","1,409,409,000","1,123,103,000","962,660,000","914,372,000","863,661,000","1,003,606,000","1,171,753,000","1,235,396,000","482,400,000","35,200,000","5,649,000,000"
2,CostOfRevenue,,,,"250,537,000","428,314,000","632,180,000","857,841,000","1,077,420,000","1,177,275,000","1,275,730,000","1,175,934,000","1,077,449,000","928,835,000","769,997,000","722,004,000","694,797,000","716,217,000","717,716,000","845,240,000","978,847,000","1,025,842,000","419,300,000","34,600,000",
3,GrossProfit,,,,"12,430,545,000","10,314,692,000","8,591,807,000","7,584,130,000","5,715,886,000","4,083,681,000","3,079,880,000","1,908,971,000","1,260,763,000","955,971,000","639,412,000","401,099,000","267,863,000","198,155,000","145,945,000","158,366,000","192,906,000","209,554,000","63,100,000","600,000",
4,OperatingExpense,"6,216,000,000","9,721,000,000","9,186,000,000","7,892,553,000","6,467,679,000","5,332,900,000","4,510,818,000","3,303,472,000","2,253,888,000","1,680,958,000","1,122,174,000","789,928,000","666,497,000","501,477,000","338,978,000","230,315,000","167,745,000","138,113,000","177,952,000","206,929,000","267,403,000","126,500,000","55,400,000","5,552,000,000"
5,	SellingGeneralAndAdministration,"5,758,000,000","9,252,000,000","8,760,000,000","7,529,779,000","6,158,544,000","5,060,406,000","4,302,998,000","3,185,497,000","2,188,747,000","1,593,321,000","1,055,413,000","731,596,000","605,745,000","450,626,000","305,529,000","204,949,000","145,073,000","119,942,000","113,014,000","202,735,000","250,018,000","107,200,000","42,400,000","5,098,000,000"
6,		GeneralAndAdministrativeExpense,"2,824,000,000","3,330,000,000","2,974,000,000","2,434,466,000","1,948,334,000","1,695,263,000","1,400,558,000","1,023,576,000","683,684,000","475,947,000","351,256,000","248,707,000","219,052,000","241,987,000","159,876,000","115,457,000","52,026,000","77,694,000",,,,,,"2,819,000,000"
7,			SalariesAndWages,"1,944,000,000","2,248,000,000","2,042,000,000","1,659,581,000","1,350,032,000","1,166,226,000","950,191,000","698,692,000","466,828,000","352,295,000","270,071,000",,,,,,"35,574,000",,,,,,,"2,012,000,000"
8,			OtherGandA,"880,000,000","1,082,000,000","932,000,000","774,885,000","598,302,000","529,037,000","450,367,000","324,884,000","216,856,000","123,652,000","81,185,000","248,707,000","219,052,000","241,987,000","159,876,000","115,457,000","16,452,000","77,694,000",,,,,,"807,000,000"
9,		SellingAndMarketingExpense,"2,934,000,000","5,922,000,000","5,786,000,000","5,095,313,000","4,210,210,000","3,365,143,000","2,902,440,000","2,161,921,000","1,505,063,000","1,117,374,000","704,157,000","482,889,000","386,693,000","208,639,000","145,653,000","89,492,000","93,047,000","42,248,000",,,,,,"2,279,000,000"
10,	ResearchAndDevelopment,,"285,000,000","233,000,000","189,344,000","142,393,000","113,617,000","97,498,000","71,890,000","43,685,000","33,813,000","20,998,000","19,139,000","17,956,000","13,779,000",,,"9,171,000",,"40,964,000",,,"14,000,000","11,100,000","262,000,000"
11,	DepreciationAmortizationDepletionIncomeStatement,"458,000,000","469,000,000","426,000,000","362,774,000","309,135,000","272,494,000","207,820,000","117,975,000","65,141,000","53,824,000","45,763,000","39,193,000","42,796,000","37,072,000","33,449,000","25,366,000","13,501,000","11,533,000",,,"17,385,000","5,300,000","1,900,000","454,000,000"
12,		DepreciationAndAmortizationInIncomeStatement,"458,000,000","469,000,000","426,000,000","362,774,000","309,135,000","272,494,000","207,820,000","117,975,000","65,141,000","53,824,000","45,763,000","39,193,000","42,796,000","37,072,000","33,449,000","25,366,000","13,501,000","11,533,000",,,"17,385,000","5,300,000","1,900,000","454,000,000"
13,	OtherOperatingExpenses,,,,,,,,,,,,,"181,741,000",,,,,"6,638,000","23,974,000","4,194,000",,,,
14,OperatingIncome,"580,000,000","5,345,000,000","5,341,000,000","4,537,992,000","3,847,013,000","3,258,907,000","3,073,312,000","2,412,414,000","1,829,793,000","1,398,922,000","786,797,000","470,835,000","289,474,000","137,935,000","62,121,000","37,548,000","30,410,000","7,832,000","-19,586,000","-14,023,000","-57,849,000","-63,400,000","-54,800,000","97,000,000"
