,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
0,TotalAssets,"840,978,000","801,213,000","763,947,000","738,694,000","353,710,000","348,215,000"
1,"	CurrentAssets","490,770,000","616,444,000","657,761,000","633,708,000","249,228,000","252,570,000"
2,"		CashCashEquivalentsAndShortTermInvestments","334,430,000","309,187,000","346,480,000","371,013,000","75,968,000","142,129,000"
3,"			CashAndCashEquivalents","334,430,000","309,187,000","346,480,000","371,013,000","75,968,000","102,116,000"
4,"				CashFinancial","121,000","42,000","177,033,000","344,821,000","22,691,000","23,193,000"
5,"				CashEquivalents","334,309,000","309,145,000","169,447,000","26,192,000","53,277,000","78,923,000"
6,"			OtherShortTermInvestments",,,,,0,"40,013,000"
7,"		Receivables","122,455,000","270,173,000","270,143,000","227,392,000","143,920,000","77,344,000"
8,"			AccountsReceivable","79,816,000","213,551,000","230,060,000","197,389,000","123,267,000","58,370,000"
9,"				GrossAccountsReceivable","90,611,000","216,756,000",,,,
10,"				AllowanceForDoubtfulAccountsReceivable","-10,795,000","-3,205,000",,,,
11,"			TaxesReceivable","34,465,000","37,067,000","33,042,000","23,866,000","20,582,000","20,412,000"
12,"			DuefromRelatedPartiesCurrent","8,174,000","19,555,000","8,653,000","5,253,000","2,240,000","1,947,000"
13,"			OtherReceivables",,,"453,000","4,048,000","1,344,000","16,000"
14,"			ReceivablesAdjustmentsAllowances",,,"-2,065,000","-3,164,000","-3,513,000","-3,401,000"
15,"		PrepaidAssets","15,839,000","30,566,000","33,487,000","383,000","715,000","5,214,000"
16,"		RestrictedCash","16,055,000","4,457,000","5,709,000","33,237,000","27,075,000","24,883,000"
17,"		OtherCurrentAssets","1,991,000","2,061,000","1,942,000","1,683,000","1,550,000","3,000,000"
18,"	TotalNonCurrentAssets","350,208,000","184,769,000","106,186,000","104,986,000","104,482,000","95,645,000"
19,"		NetPPE","58,701,000","62,843,000","19,716,000","16,171,000","13,717,000","15,168,000"
20,"			GrossPPE","108,008,000","97,613,000","44,679,000","40,770,000","33,778,000","30,330,000"
21,"				Properties",0,0,0,0,0,0
22,"				LandAndImprovements","266,000","41,000","41,000","64,000","75,000","92,000"
23,"				BuildingsAndImprovements","3,128,000","2,086,000","2,018,000","2,790,000","2,298,000","2,594,000"
24,"				MachineryFurnitureEquipment","68,375,000","53,848,000","42,620,000","37,916,000","31,405,000","27,644,000"
25,"				OtherProperties","36,239,000","41,638,000",,,,
26,"			AccumulatedDepreciation","-49,307,000","-34,770,000","-24,963,000","-24,599,000","-20,061,000","-15,162,000"
27,"		GoodwillAndOtherIntangibleAssets","219,712,000","96,575,000","73,719,000","74,157,000","70,306,000","65,780,000"
28,"			Goodwill","123,217,000","46,956,000","36,207,000","38,733,000","38,894,000","38,554,000"
29,"			OtherIntangibleAssets","96,495,000","49,619,000","37,512,000","35,424,000","31,412,000","27,226,000"
30,"		NonCurrentDeferredAssets","57,742,000","25,351,000","12,751,000","4,658,000",,
31,"			NonCurrentDeferredTaxesAssets","57,742,000","25,351,000","12,751,000","4,658,000",,
32,"		OtherNonCurrentAssets","14,053,000","25,351,000","12,751,000","10,000,000","20,459,000","14,697,000"
33,TotalLiabilitiesNetMinorityInterest,"747,248,000","606,977,000","516,373,000","520,736,000","435,973,000","431,348,000"
34,"	CurrentLiabilities","372,318,000","440,808,000","389,162,000","387,606,000","288,151,000","283,495,000"
35,"		PayablesAndAccruedExpenses","328,346,000","389,383,000","333,810,000","335,163,000","243,405,000","234,761,000"
36,"			Payables","328,346,000","389,383,000","333,810,000","335,163,000","243,405,000","234,761,000"
37,"				AccountsPayable","261,596,000","266,627,000","219,290,000","213,164,000","123,529,000","143,683,000"
38,"				TotalTaxPayable","32,955,000","10,958,000","8,586,000","5,517,000","14,914,000","8,234,000"
39,"				DuetoRelatedPartiesCurrent","19,351,000","86,602,000","83,904,000","85,341,000","71,696,000","58,596,000"
40,"				OtherPayable","14,444,000","25,196,000","22,030,000","31,141,000","33,266,000","24,248,000"
41,"		CurrentProvisions",,,"8,513,000","6,285,000","3,353,000","5,130,000"
42,"		CurrentDebtAndCapitalLeaseObligation","17,540,000","25,707,000","31,162,000","8,220,000","7,179,000","2,019,000"
43,"			CurrentDebt","8,949,000","19,209,000","31,162,000","8,220,000","7,179,000","2,019,000"
44,"				OtherCurrentBorrowings","8,949,000","19,209,000","31,162,000","8,220,000","7,179,000","2,019,000"
45,"			CurrentCapitalLeaseObligation","8,591,000","6,498,000",,,,
46,"		CurrentDeferredLiabilities","9,324,000","8,853,000","8,229,000","30,113,000","29,095,000","36,681,000"
47,"			CurrentDeferredRevenue","9,324,000","8,853,000","8,229,000","30,113,000","29,095,000","36,681,000"
48,"		OtherCurrentLiabilities","17,108,000","16,865,000","7,448,000","7,825,000","5,119,000","4,904,000"
49,"	TotalNonCurrentLiabilitiesNetMinorityInterest","374,930,000","166,169,000","127,211,000","133,130,000","147,822,000","147,853,000"
