,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,ttm
0,TotalAssets,"757,449,000","548,658,000","473,409,000","424,348,000","407,701,000","381,613,000","200,129,715","200,427,482","167,775","172,543",
1,	CurrentAssets,"229,170,000","146,639,000","150,183,000","131,690,000","171,020,000","234,344,000","129,715","414,082","2,577","34,845",
2,		CashCashEquivalentsAndShortTermInvestments,"187,531,000","101,579,000","113,396,000","96,443,000","135,416,000","206,903,000","38,632","322,271","2,577","33,589",
3,			CashAndCashEquivalents,"187,531,000","101,579,000","113,396,000","96,443,000","135,416,000","206,903,000","28,634","312,298","2,577","33,589",
4,				CashFinancial,,,,,,,"28,634",,"2,577","33,589",
5,			OtherShortTermInvestments,,"1,575,000","1,402,000","1,341,000","1,414,000","1,197,000","9,998","9,973",,,
6,		Receivables,,,,,,,"6,530","4,333",,,
7,			AccruedInterestReceivable,,,,,,,"6,530","4,333",,,
8,		Inventory,"7,641,000","8,326,000","6,769,000","6,839,000","5,807,000","6,715,000",,,,,
9,			RawMaterials,"5,473,000","6,299,000","5,165,000","5,045,000","4,142,000","4,969,000",,,,,
10,			OtherInventories,"2,168,000","2,027,000","1,604,000","1,794,000","1,665,000","1,746,000",,,,,
11,		PrepaidAssets,"17,014,000","29,055,000","21,263,000","21,351,000","20,782,000","12,266,000","62,132","53,917",,,
12,		RestrictedCash,"16,984,000","7,679,000","8,755,000","7,057,000","9,015,000","8,460,000","22,421","33,561",,,
13,		OtherCurrentAssets,,,,,,,,,,"1,256",
14,	TotalNonCurrentAssets,"528,279,000","402,019,000","323,226,000","292,658,000","236,681,000","147,269,000","200,000,000","200,013,400","165,198","137,698",
15,		NetPPE,"487,755,000","363,895,000","285,979,000","250,952,000","186,236,000","125,471,000",,,,,
16,			GrossPPE,"670,480,000","516,134,000","414,027,000","360,051,000","279,566,000","223,778,000",,,,,
17,				Properties,0,0,0,0,0,0,,,,,
18,				MachineryFurnitureEquipment,"663,973,000","508,604,000","412,602,000","358,626,000","278,141,000","222,339,000",,,,,
19,				OtherProperties,"5,082,000","6,105,000",,,,,,,,,
20,				Leases,"1,425,000","1,425,000","1,425,000","1,425,000","1,425,000","1,439,000",,,,,
21,			AccumulatedDepreciation,"-182,725,000","-152,239,000","-128,048,000","-109,099,000","-93,330,000","-98,307,000",,,,,
22,		GoodwillAndOtherIntangibleAssets,"26,922,000","28,501,000","30,080,000","31,659,000","33,237,000","6,227,000",,,,,
23,			Goodwill,"22,105,000","22,105,000","22,105,000","22,105,000","22,105,000",,,,,,
24,			OtherIntangibleAssets,"4,817,000","6,396,000","7,975,000","9,554,000","11,132,000","6,227,000",,,,,
25,		NonCurrentDeferredAssets,"5,539,000","218,000",,0,"4,118,000","3,216,000",,0,"165,198","137,698",
26,			NonCurrentDeferredTaxesAssets,"5,539,000","218,000",,0,"4,118,000","3,216,000",,,,,
27,		OtherNonCurrentAssets,"8,063,000","9,405,000","7,167,000","10,047,000","13,090,000","12,355,000","200,000,000","200,013,400",,,
28,TotalLiabilitiesNetMinorityInterest,"638,666,000","425,408,000","357,365,000","318,026,000","293,892,000","267,692,000","911,559","197,043","150,020","150,020",
29,	CurrentLiabilities,"155,808,000","182,916,000","159,433,000","144,410,000","123,913,000","104,322,000","911,559","197,043","150,020","150,020",
30,		PayablesAndAccruedExpenses,"13,875,000","27,897,000","25,806,000","24,042,000","23,248,000","22,503,000","911,559","193,023",20,20,
31,			Payables,"7,090,000","18,184,000","12,440,000","12,759,000","11,379,000","12,198,000","911,559","193,023","150,000","150,000",
32,				AccountsPayable,"5,285,000","14,633,000","9,326,000","7,791,000","7,573,000","8,843,000","81,559","13,023","150,000","150,000",
33,				TotalTaxPayable,"2,000","603,000","576,000","1,490,000","884,000","2,045,000","360,000","180,000",,,
34,					IncomeTaxPayable,"2,000","603,000","576,000","1,490,000","884,000","2,045,000",,,,,
35,				DuetoRelatedPartiesCurrent,,,,,,,"470,000",0,,,
36,				OtherPayable,"1,803,000","2,948,000","2,538,000","3,478,000","2,922,000","1,310,000",,,,,
37,			CurrentAccruedExpenses,"6,785,000","9,713,000","13,366,000","11,283,000","11,869,000","10,305,000",,,20,20,
38,		PensionandOtherPostRetirementBenefitPlansCurrent,"6,458,000","9,034,000","8,138,000","6,380,000","7,414,000","3,465,000",,,,,
39,		CurrentDebtAndCapitalLeaseObligation,"12,730,000","5,860,000","2,000,000","1,750,000","1,750,000","1,750,000",,,"150,000","150,000",
40,			CurrentDebt,"11,255,000","4,525,000","2,000,000","1,750,000","1,750,000","1,750,000",,,"150,000","150,000",
41,				CurrentNotesPayable,,,,,,,,0,"150,000","150,000",
42,				OtherCurrentBorrowings,"11,255,000","4,525,000",,,,"1,750,000",,,,,
