,name,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007
0,TotalAssets,"10,226,284","10,147,846","5,831,724","2,587,028","2,898,084","7,099,333","4,492,898","4,589,778","462,647","4,544,825","15,405,745","8,228,292","15,981",36
1,"	CurrentAssets","1,568,234","97,381","1,657,271","1,814,959","216,998","322,777","356,186","301,017","61,056","1,369,319","2,962,760","288,435","15,981",36
2,"		CashCashEquivalentsAndShortTermInvestments","1,142,460","32,979","1,604,414","1,007,065","137,944","226,412","144,480","64,963","12,989","680,219","418,251","18,801","15,981",36
3,"			CashAndCashEquivalents","162,506","32,979","1,604,414","1,007,065","137,944","226,412","144,480","64,963","12,989","680,219","418,251","18,801","15,981",36
4,"				CashFinancial","162,506","32,979","1,604,414","1,007,065","137,944","226,412","117,818","36,351","12,989","419,817","211,905","18,801",,
5,"				CashEquivalents",,,,,,,"26,662","28,612",,"260,402","206,346",,,
6,"			OtherShortTermInvestments","979,954",,,,,,,,,,,,,
7,"		Receivables","37,500",,0,"750,000","15,000","15,000","110,015","187,054","1,456","640,222","166,059","125,783",,
8,"			AccountsReceivable",,,,,,0,"61,635","77,054","1,456","376,807","166,059","125,783",,
9,"			NotesReceivable","37,500",,0,"750,000","15,000","15,000",,,,,,,,
10,"			OtherReceivables",,,,,,,"48,380","110,000",,"263,415",,,,
11,"		PrepaidAssets","388,274","64,402","52,857","42,894","50,848","68,159","101,691","49,000",0,"48,878","2,378,450","15,612",,
12,"		RestrictedCash",,,,"15,000","13,206","13,206",,,,,,,,
13,"		OtherCurrentAssets",,,,,,,,,"46,611",,,"128,239",,
14,"	TotalNonCurrentAssets","8,658,050","10,050,465","4,174,453","772,069","2,681,086","6,776,556","4,136,712","4,288,761","401,591","3,175,506","12,442,985","7,939,857",0,0
15,"		NetPPE","96,426",,,,,0,"55,385",,,,0,"190,765",,
16,"			GrossPPE","96,426",,,,,"65,030",,,,,0,"291,380",,
17,"				Properties",,,,,,,,,,,0,,,
18,"				MachineryFurnitureEquipment",,,,,,"65,030",,,,,0,"198,823",,
19,"				OtherProperties","96,426",,,,,,,,,,,"92,557",,
