,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,ttm
0,TotalRevenue,"2,208,805,000","10,950,661,000","9,493,849,000","8,777,845,000","8,496,401,000","8,299,074,000","8,073,855,000","7,959,894,000","7,688,024,000","7,537,263,000","6,752,504,000","5,889,826,000","6,532,525,000","6,149,139,000","5,229,584,000","4,903,174,000","4,555,375,000","3,784,249,000","3,434,347,000","3,145,250,000","2,865,846,000","2,546,152,000","2,636,291,000","1,939,000,000","1,357,300,000","1,184,000,000","1,171,400,000","1,112,800,000","1,012,800,000","759,600,000",
1,	OperatingRevenue,"2,208,805,000","10,950,661,000","9,493,849,000","8,777,845,000","8,496,401,000","8,299,074,000","8,073,855,000","7,959,894,000","7,688,024,000","7,537,263,000","6,752,504,000","5,889,826,000","6,532,525,000","6,149,139,000","5,229,584,000","4,903,174,000","4,555,375,000","3,784,249,000","3,434,347,000","3,145,250,000","2,865,846,000","2,546,200,000","2,636,300,000","1,939,000,000","1,357,300,000","1,184,000,000","1,171,400,000","1,112,800,000","1,012,800,000","759,600,000",
2,CostOfRevenue,"2,765,108,000","6,062,765,000","5,262,207,000","4,896,579,000","5,015,539,000","5,099,393,000","5,306,281,000","5,305,270,000","5,157,434,000","4,942,607,000","4,458,076,000","4,071,102,000","4,403,666,000","3,981,698,000","3,249,629,000","2,994,232,000","2,819,383,000","2,381,035,000","2,113,217,000","1,934,391,000","1,652,459,000","1,496,252,000","1,593,728,000","1,219,300,000","854,500,000","742,500,000","728,800,000","696,400,000","635,700,000","488,500,000",
3,	Fuel,"371,015,000","697,962,000","710,617,000","681,118,000","713,676,000","795,801,000","947,391,000","924,414,000","909,691,000",,,,,,,,,,,,,,,,,,,,,,
4,	OtherCostofRevenue,"2,394,093,000","5,364,803,000","4,551,590,000","4,215,461,000","4,301,863,000","4,303,592,000","4,358,890,000","4,380,856,000","4,247,743,000",,,,,,,,,,,,,,,,,,,,,,
5,GrossProfit,"-556,303,000","4,887,896,000","4,231,642,000","3,881,266,000","3,480,862,000","3,199,681,000","2,767,574,000","2,654,624,000","2,530,590,000","2,594,656,000","2,294,428,000","1,818,724,000","2,128,859,000","2,167,441,000","1,979,955,000","1,908,942,000","1,735,992,000","1,403,214,000","1,321,130,000","1,210,859,000","1,213,387,000","1,049,900,000","1,042,563,000","719,700,000","502,800,000","441,500,000","442,600,000","416,400,000","377,100,000","271,100,000",
6,OperatingExpense,"2,478,874,000","2,805,195,000","2,336,841,000","2,137,210,000","1,995,205,000","1,913,512,000","1,821,397,000","1,799,530,000","1,742,036,000","1,663,028,000","1,491,795,000","1,330,213,000","1,296,875,000","1,266,106,000","1,121,509,000","1,037,377,000","982,403,000","877,029,000","770,155,000","755,254,000","643,847,000","569,726,000","553,828,000","1,635,500,000","1,140,300,000","1,000,100,000","985,800,000","254,900,000","238,800,000","206,900,000",
7,	SellingGeneralAndAdministration,"1,199,620,000","1,559,253,000","1,303,144,000","1,186,016,000","1,100,290,000","1,086,504,000","1,048,952,000","1,044,819,000","1,011,543,000","960,602,000","848,079,000","761,999,000","776,522,000","783,040,000","699,864,000","635,308,000","588,267,000","514,334,000","431,055,000","454,080,000","412,799,000","371,817,000","359,214,000","272,400,000","194,600,000","177,500,000","179,100,000","168,400,000","160,800,000","149,300,000",
8,		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,"1,907,062,000","1,617,793,000","1,493,914,000",,,,,,,,,,,,,,,
9,			SalariesAndWages,,,,,,,,,,,,,,"-584,081,000","-501,874,000","-510,692,000",,,,,,,,,,,,,,,
10,			OtherGandA,,,,,,,,,,,,,,"2,491,143,000","2,119,667,000","2,004,606,000",,,,,,,,,,,,,,,
11,		SellingAndMarketingExpense,,,,,,,,,,,,,,"-1,124,022,000","-917,929,000","-858,606,000",,,,,,,,,,,,,,,
12,	DepreciationAmortizationDepletionIncomeStatement,"1,279,254,000","1,245,942,000","1,033,697,000","951,194,000","894,915,000","827,008,000","772,445,000","754,711,000","730,493,000","702,426,000","643,716,000","568,214,000","520,353,000","483,066,000","421,645,000","402,069,000","394,136,000","362,695,000","339,100,000","301,174,000","231,048,000","197,909,000","194,614,000","143,800,000","91,200,000","80,100,000","77,900,000","86,500,000","78,000,000","57,600,000",
13,		DepreciationAndAmortizationInIncomeStatement,"1,279,254,000","1,245,942,000","1,033,697,000","951,194,000","894,915,000","827,008,000","772,445,000","754,711,000","730,493,000","702,426,000","643,716,000","568,214,000","520,353,000","483,066,000","421,645,000","402,069,000","394,136,000","362,695,000","339,100,000","301,174,000","231,048,000","197,909,000","194,614,000","143,800,000","91,200,000","80,100,000","77,900,000","86,500,000","78,000,000","57,600,000",
14,			DepreciationIncomeStatement,,,,,,,,,,,,,,"483,066,000","421,645,000","402,069,000","394,136,000","362,695,000","339,100,000","301,174,000","231,048,000","197,909,000","194,614,000","143,800,000","91,200,000","80,100,000","77,900,000","86,500,000","78,000,000","57,600,000",
15,	OtherOperatingExpenses,,,,,,,,,,,,,"1,030,617,000",,,,,,,,,,,"1,219,300,000","854,500,000","742,500,000","728,800,000",,,,
16,OperatingIncome,"-3,035,177,000","2,082,701,000","1,894,801,000","1,744,056,000","1,485,657,000","1,286,169,000","946,177,000","855,094,000","788,554,000","931,628,000","802,633,000","488,511,000","831,984,000","901,335,000","858,446,000","871,565,000","753,589,000","526,185,000","550,975,000","455,605,000","569,540,000","480,174,000","488,735,000","-915,800,000","-637,500,000","-558,600,000","-543,200,000","161,500,000","138,300,000","64,200,000",
17,NetNonOperatingInterestIncomeExpense,"-823,202,000","-381,568,000","-300,872,000","-269,881,000","-286,514,000","-265,700,000","-247,955,000","-318,524,000","-334,454,000","-357,098,000","-330,150,000","-292,996,000","-313,196,000",,,,,,,,,,,,,,,,,,
18,	InterestIncomeNonOperating,"21,036,000","26,945,000","32,800,000","30,101,000","20,856,000","12,025,000","10,344,000","13,898,000","21,331,000","25,318,000","9,243,000","7,016,000","14,116,000",,,,,,,,,,,,,,,,,,
19,	InterestExpenseNonOperating,"844,238,000","408,513,000","333,672,000","299,982,000","307,370,000","277,725,000","258,299,000","332,422,000","355,785,000","382,416,000","339,393,000","300,012,000","327,312,000",,,,,,,,,,,,,,,,,,
20,OtherIncomeExpense,"-1,916,751,000","206,467,000","221,863,000","150,958,000","84,245,000","-354,686,000","65,924,000","-62,878,000","-435,813,000","32,891,000","74,984,000","-33,094,000","54,934,000","15,829,000","28,099,000","52,521,000","21,871,000","18,358,000","54,738,000","27,515,000","22,229,000","26,122,000","-6,008,000","3,000,000","8,100,000","18,900,000","-900,000","-400,000","4,500,000","-800,000",
21,	EarningsFromEquityInterest,"-213,286,000","230,980,000","210,756,000","156,247,000","128,350,000",,,,,,,,,,,,,,,,,,,,,,,,,,
22,	SpecialIncomeCharges,"-1,566,380,000",,,0,"-8,452,000","-411,267,000","-4,318,000","-61,152,000","-392,945,000","32,891,000","74,984,000","-33,094,000","54,934,000","15,829,000","28,099,000","52,521,000","21,871,000","18,358,000","54,738,000","27,515,000","22,229,000","26,122,000","-6,008,000","3,000,000","8,100,000","18,900,000","-900,000","-400,000","4,500,000","-800,000",
23,		RestructuringAndMergernAcquisition,,,,,"8,452,000",0,"4,318,000","56,946,000",,,,,,,,,,,,,,,,,,,,,,,
24,		ImpairmentOfCapitalAssets,,,,0,0,"411,267,000",0,0,"385,444,000",,,,,,,,,,,,,,,,,,,,,,
25,		WriteOff,"1,566,380,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,		OtherSpecialCharges,,,,,,,,"4,206,000","7,501,000",,,,,,,,,,,,,,,,,,,,,,
27,	OtherNonOperatingIncomeExpenses,"-137,085,000","-24,513,000","11,107,000","-5,289,000","-35,653,000","56,581,000","70,242,000","-1,726,000","-42,868,000",,,,,,,,,,,,,,,,,,,,,,
28,PretaxIncome,"-5,775,130,000","1,907,600,000","1,815,792,000","1,625,133,000","1,283,388,000","665,783,000","764,146,000","473,692,000","18,287,000",,,,,,,,,,,,,,,,,,,,,,
29,NetIncomeCommonStockholders,"-5,797,462,000","1,878,887,000","1,811,042,000","1,625,133,000","1,283,388,000","665,783,000","764,146,000","473,692,000","18,287,000","607,421,000","547,467,000","162,421,000","573,722,000","603,405,000","633,922,000","715,956,000","474,691,000","280,664,000","351,284,000","254,457,000","445,363,000","383,853,000","330,700,000","175,100,000","150,900,000","149,000,000","136,600,000","106,700,000","60,600,000","4,300,000",
30,	NetIncome,"-5,797,462,000","1,878,887,000","1,811,042,000","1,625,133,000","1,283,388,000","665,783,000","764,146,000","473,692,000","18,287,000","607,421,000","547,467,000","162,421,000","573,722,000","603,405,000","633,922,000","715,956,000","474,691,000","280,664,000","351,284,000","254,457,000","445,363,000","383,853,000","330,700,000","175,100,000","150,900,000","149,000,000","136,600,000","106,700,000","60,600,000","4,300,000",
31,		NetIncomeIncludingNoncontrollingInterests,"-5,775,130,000","1,907,600,000","1,815,792,000","1,625,133,000","1,283,388,000","665,783,000","764,146,000","473,692,000","18,287,000","607,421,000","547,467,000","162,421,000","573,722,000","603,405,000","633,922,000","715,956,000","474,691,000","280,664,000","351,284,000","254,457,000","445,363,000","383,853,000","330,700,000","175,100,000","150,900,000","149,000,000","136,600,000","106,700,000","60,600,000","4,300,000",
32,			NetIncomeContinuousOperations,"-5,775,130,000","1,907,600,000","1,815,792,000","1,625,133,000","1,283,388,000","665,783,000","764,146,000","473,692,000","18,287,000","607,421,000","547,467,000","162,421,000","573,722,000","603,405,000","633,922,000","663,465,000","474,691,000","280,664,000","351,284,000","254,457,000","445,363,000","383,853,000","330,700,000","182,700,000","150,900,000","149,000,000","142,300,000","106,700,000","60,600,000","4,300,000",
33,			NetIncomeExtraordinary,,,,,,,,,,,,,,0,0,"52,491,000",,,,,,0,0,"-7,600,000",,,"-5,700,000",,,,
34,		MinorityInterests,"-22,332,000","-28,713,000","-4,750,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,DilutedNIAvailtoComStockholders,"-5,797,462,000","1,878,887,000","1,811,042,000","1,625,133,000","1,283,388,000","665,783,000","764,146,000","473,692,000","18,287,000","607,421,000","547,467,000","162,421,000","573,722,000","603,405,000","633,922,000","715,956,000","474,691,000","280,664,000","351,284,000","254,457,000","445,363,000","383,853,000","330,700,000","175,100,000","150,900,000","149,000,000","136,600,000","106,700,000","60,600,000","4,300,000",
36,BasicEPS,-27.05,8.97,8.6,7.57,5.96,3.03,3.45,2.16,0.08,2.8,2.55,0.76,2.69,2.84,3.01,3.47,2.39,1.45,1.82,1.32,2.34,2.15,1.9,1.16,1.19,1.18,1.08,0.9,0.59,0.04,
37,DilutedEPS,-27.05,8.95,8.56,7.53,5.93,3.02,3.43,2.14,0.08,2.77,2.51,0.75,2.68,2.82,2.94,3.26,2.26,1.42,1.79,1.32,2.31,2.06,1.83,1.14,1.18,1.17,1.08,0.9,0.59,0.04,
38,BasicAverageShares,"214,335,000","209,405,000","210,570,000","214,617,000","215,393,000","219,537,000","221,658,000","219,638,000","217,930,000","216,983,000","215,026,000","213,809,000","213,477,000","212,466,549","210,605,316","206,327,378","198,615,481","193,561,379","193,013,187","192,770,455","190,326,068","178,536,279","174,052,632","150,948,276","126,806,723","126,271,186","126,481,481","118,555,556","102,711,864","107,500,000",
39,DilutedAverageShares,"214,335,000","209,930,000","211,554,000","215,694,000","216,316,000","220,689,000","223,044,000","220,941,000","219,457,000","219,229,000","217,711,000","215,295,000","214,195,000","213,973,404","215,619,728","219,618,405","210,040,265","197,650,704","196,248,045","192,770,455","192,797,835","186,336,408","180,710,383","153,596,491","127,881,356","127,350,427","126,481,481","118,555,556","102,711,864","107,500,000",
40,TotalOperatingIncomeAsReported,"-4,601,557,000","2,082,701,000","1,894,801,000","1,744,056,000","1,477,205,000","874,902,000","941,859,000","798,148,000","403,110,000","931,628,000","802,633,000","488,511,000","831,984,000","901,335,000","858,446,000","871,565,000","753,589,000","526,185,000","550,975,000","455,605,000","569,540,000","480,174,000","488,735,000",,,,,,,,
41,TotalExpenses,"5,243,982,000","8,867,960,000","7,599,048,000","7,033,789,000","7,010,744,000","7,012,905,000","7,127,678,000","7,104,800,000","6,899,470,000","6,605,635,000","5,949,871,000","5,401,315,000","5,700,541,000","5,247,804,000","4,371,138,000","4,031,609,000","3,801,786,000","3,258,064,000","2,883,372,000","2,689,645,000","2,296,306,000","2,065,978,000","2,147,556,000","2,854,800,000","1,994,800,000","1,742,600,000","1,714,600,000","951,300,000","874,500,000","695,400,000",
42,InterestIncome,"21,036,000","26,945,000","32,800,000","30,101,000","20,856,000","12,025,000","10,344,000","13,898,000","21,331,000","25,318,000","9,243,000","7,016,000","14,116,000",,,,,,,,,,,,,,,,,,
43,InterestExpense,"844,238,000","408,513,000","333,672,000","299,982,000","307,370,000","277,725,000","258,299,000","332,422,000","355,785,000","382,416,000","339,393,000","300,012,000","327,312,000",,,,,,,,,,,,,,,,,,
44,NetInterestIncome,"-823,202,000","-381,568,000","-300,872,000","-269,881,000","-286,514,000","-265,700,000","-247,955,000","-318,524,000","-334,454,000","-357,098,000","-330,150,000","-292,996,000","-313,196,000",,,,,,,,,,,,,,,,,,
