,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
0,TotalAssets,"3,196,643,000","6,596,620,000","6,556,923,000","6,657,805,000","9,156,317,000","7,186,141,000","2,645,017,332","1,075,372,776","502,838,425","427,766,482"
1,"	CurrentAssets","2,284,525,000","3,823,276,000","4,407,888,000","5,089,303,000","7,505,817,000","5,539,353,000","2,554,263,763","1,043,864,169","469,387,826","401,917,645"
2,"		CashCashEquivalentsAndShortTermInvestments","1,567,208,000","1,600,849,000","1,419,567,000","3,600,072,000","5,138,261,000","3,327,632,000","1,926,292,376","746,402,835","329,237,536","332,100,808"
3,"			CashAndCashEquivalents","213,538,000","295,463,000","560,356,000","484,101,000","1,085,236,000","2,101,217,000","1,457,722,376","419,402,835","299,237,536","332,100,808"
4,"			OtherShortTermInvestments","1,353,670,000","1,305,386,000","859,211,000","3,115,971,000","4,053,025,000","1,226,415,000","468,570,000","327,000,000","30,000,000",0
5,"		Receivables","408,814,000","1,254,110,000","1,835,581,000","582,132,000","644,211,000","199,632,000","15,154,341","5,418,538","6,356,752","1,973,418"
6,"			AccountsReceivable","264,134,000","529,983,000","347,547,000","286,627,000","220,336,000","113,252,000","8,644,481","1,651,087","6,225,448","1,652,272"
7,"			LoansReceivable","22,934,000","439,189,000","454,953,000",,,,,,,
8,"			AccruedInterestReceivable","278,000","14,876,000","11,984,000","42,234,000","33,545,000","26,376,000","6,509,860","3,767,451","131,304","321,146"
9,"			TaxesReceivable","78,218,000",,,,,,,,,
10,"			DuefromRelatedPartiesCurrent","23,913,000","65,108,000","696,520,000","171,331,000","390,330,000","60,004,000",,,,
11,"			OtherReceivables","19,337,000","204,954,000","324,577,000","81,940,000",0,0,0,0,0,
12,"		PrepaidAssets","234,420,000","484,245,000","726,297,000","688,673,000","1,405,700,000","1,188,257,000","551,962,504","274,418,870","120,061,975","51,878,570"
13,"		RestrictedCash","50,566,000","327,052,000","270,670,000","91,810,000","124,561,000","338,997,000","44,030,000","9,250,000","6,875,000","11,530,000"
14,"		OtherCurrentAssets","23,517,000","157,020,000","155,773,000","126,616,000","193,084,000","484,835,000","16,824,542","8,373,926","6,856,563","4,434,849"
15,"	TotalNonCurrentAssets","912,118,000","2,773,344,000","2,149,035,000","1,568,502,000","1,650,500,000","1,646,788,000","90,753,569","31,508,607","33,450,599","25,848,837"
16,"		NetPPE","153,990,000","329,179,000","187,360,000","148,278,000","177,817,000","145,190,000","72,310,290","24,851,303","28,782,865","21,381,878"
17,"			GrossPPE","589,383,000","654,483,000","428,390,000","326,132,000","305,396,000","208,477,000","108,852,342","51,706,664","47,696,424","30,253,344"
18,"				Properties",0,0,0,0,0,0,0,0,0,0
19,"				LandAndImprovements",,"98,774,000","101,007,000",,,,,,,
20,"				BuildingsAndImprovements","4,308,000","4,466,000","5,547,000","5,495,000","5,604,000","2,578,000",,,,
21,"				MachineryFurnitureEquipment","364,180,000","367,295,000","302,066,000","221,917,000","196,901,000","128,612,000","62,223,696","32,057,092","28,176,502","20,088,016"
22,"				OtherProperties","44,395,000","107,883,000","187,360,000",,"177,817,000",0,0,0,0,
23,"				ConstructionInProgress","44,577,000","54,905,000","13,906,000","10,970,000","9,929,000","5,487,000","2,944,399",,,
24,"				Leases","131,923,000","119,934,000","106,871,000","87,750,000","92,962,000","71,800,000","43,684,247","19,649,572","19,519,922","10,165,328"
25,"			AccumulatedDepreciation","-435,393,000","-325,304,000","-241,030,000","-177,854,000","-127,579,000","-63,287,000","-36,542,052","-26,855,361","-18,913,559","-8,871,466"
26,"		GoodwillAndOtherIntangibleAssets","400,082,000","497,048,000","578,130,000","608,273,000","739,906,000","852,117,000",,,,
27,"			Goodwill","232,007,000","232,007,000","159,409,000","147,639,000","147,639,000","136,569,000",,,,
28,"			OtherIntangibleAssets","168,075,000","265,041,000","418,721,000","460,634,000","592,267,000","715,548,000",,,,
29,"		InvestmentsAndAdvances","266,866,000","1,305,612,000","1,302,506,000","484,991,000","58,764,000",,,,,
30,"		NonCurrentAccountsReceivable",,"557,582,000",,"170,505,000","64,902,000",,,,,
31,"		NonCurrentNoteReceivables","17,586,000","36,003,000","31,501,000",,,,,,,
32,"		DuefromRelatedPartiesNonCurrent",0,"557,582,000",,0,"64,902,000",,,,,
33,"		NonCurrentPrepaidAssets","71,743,000","42,357,000","43,510,000","101,007,000",0,"324,680,000",,,,
34,"		OtherNonCurrentAssets","1,851,000","5,563,000","6,028,000","225,953,000","609,111,000","324,801,000","18,443,279","6,657,304","4,667,734","4,466,959"
35,TotalLiabilitiesNetMinorityInterest,"1,846,628,000","3,884,981,000","3,212,390,000","3,060,496,000","4,673,949,000","3,848,418,000","1,236,294,114","784,017,048","433,262,194","250,938,007"
36,"	CurrentLiabilities","1,744,569,000","3,748,769,000","3,102,655,000","2,921,296,000","4,528,949,000","3,790,633,000","1,214,015,635","764,147,046","422,223,308","248,730,230"
37,"		PayablesAndAccruedExpenses","1,321,219,000","2,112,735,000","1,783,632,000","1,505,318,000","2,396,962,000","1,671,118,000","510,907,217","352,061,131","164,667,690","81,971,415"
38,"			Payables","788,501,000","1,486,468,000","1,536,287,000","1,363,916,000","2,009,561,000","1,567,819,000","465,327,728","337,676,988","157,075,220","78,663,269"
39,"				AccountsPayable","705,838,000","1,311,963,000","1,305,610,000","852,500,000","879,383,000","767,307,000","382,704,323","288,964,931","127,240,021","55,821,997"
40,"				TotalTaxPayable","6,004,000","12,207,000","23,316,000","32,036,000","11,619,000","8,429,000","3,884,044","1,323,961","598,831","822,067"
41,"				DuetoRelatedPartiesCurrent","21,034,000","29,755,000","77,159,000","86,923,000","32,526,000","617,913,000",,,,
42,"				OtherPayable","55,625,000","132,543,000","130,202,000","392,457,000","1,086,033,000","174,170,000","78,739,361","47,388,096","29,236,368","22,019,205"
43,"			CurrentAccruedExpenses","532,718,000","626,267,000","247,345,000","141,402,000","387,401,000","103,299,000","45,579,489","14,384,143","7,592,470","3,308,146"
44,"				InterestPayable",,,0,,,,,,,
