name,ttm,11/30/2020,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
TotalRevenue,"830,000,000","5,594,000,000","20,825,000,000","18,881,000,000","17,510,000,000","16,389,000,000","15,714,000,000","15,884,000,000","15,456,000,000","15,382,000,000","15,793,000,000","14,469,000,000","13,157,000,000","14,646,000,000","13,033,000,000","11,839,000,000","11,087,000,000","9,727,000,000","6,718,000,000","4,368,269,000","4,535,751,000","3,778,542,000","3,497,470,000","3,009,306,000","2,447,468,000","2,212,572,000","1,998,150,000","1,806,016,000","1,556,900,000","1,473,600,000","1,404,700,000","1,391,300,000","1,147,700,000","599,700,000","564,100,000","420,800,000"
	OperatingRevenue,"830,000,000","5,594,000,000","20,825,000,000","18,881,000,000","17,510,000,000","16,389,000,000","15,714,000,000","15,884,000,000","15,456,000,000","15,382,000,000","15,793,000,000","14,469,000,000","13,157,000,000","14,646,000,000","13,033,000,000","11,839,000,000","11,087,000,000","9,727,000,000","6,718,000,000","4,368,269,000","4,535,751,000","3,778,542,000","3,497,500,000","3,009,300,000","2,447,500,000","2,212,600,000","1,998,200,000","1,806,000,000","1,556,900,000","1,473,600,000","1,404,700,000","1,391,300,000","1,147,700,000","599,700,000","564,100,000","420,800,000"
CostOfRevenue,"5,257,000,000","8,245,000,000","12,909,000,000","11,089,000,000","10,501,000,000","9,383,000,000","9,447,000,000","10,403,000,000","10,624,000,000","10,320,000,000","10,299,000,000","9,092,000,000","8,104,000,000","9,039,000,000","7,628,000,000","6,791,000,000","6,217,000,000","5,457,000,000","3,818,000,000","2,311,919,000","2,468,730,000","2,058,342,000","1,862,636,000","1,619,377,000","1,322,669,000","1,241,269,000","1,131,113,000","1,028,475,000","907,900,000","865,600,000","810,300,000","815,100,000","659,900,000","326,900,000","305,100,000","232,500,000"
GrossProfit,"-4,427,000,000","-2,651,000,000","7,916,000,000","7,792,000,000","7,009,000,000","7,006,000,000","6,267,000,000","5,481,000,000","4,832,000,000","5,062,000,000","5,494,000,000","5,377,000,000","5,053,000,000","5,607,000,000","5,405,000,000","5,048,000,000","4,870,000,000","4,270,000,000","2,900,000,000","2,056,350,000","2,067,021,000","1,720,200,000","1,634,834,000","1,389,929,000","1,124,799,000","971,303,000","867,037,000","777,541,000","649,000,000","608,000,000","594,400,000","576,200,000","487,800,000","272,800,000","259,000,000","188,300,000"
OperatingExpense,"3,885,000,000","4,119,000,000","4,640,000,000","4,467,000,000","4,111,000,000","3,935,000,000","3,693,000,000","3,689,000,000","3,467,000,000","3,247,000,000","3,239,000,000","3,030,000,000","2,899,000,000","2,878,000,000","2,680,000,000","2,435,000,000","2,231,000,000","2,097,000,000","1,517,000,000","994,291,000","990,888,000","775,070,000","690,893,000","570,137,000","463,820,000","419,842,000","376,999,000","333,867,000","301,300,000","283,100,000","278,500,000","306,700,000","247,000,000","114,800,000","106,900,000","87,100,000"
	SellingGeneralAndAdministration,"1,662,000,000","1,878,000,000","2,480,000,000","2,450,000,000","2,265,000,000","2,197,000,000","2,067,000,000","2,054,000,000","1,879,000,000","1,720,000,000","1,717,000,000","1,614,000,000","1,590,000,000","1,629,000,000","1,579,000,000","1,447,000,000","1,329,000,000","1,285,000,000","932,000,000","611,948,000","618,664,000","487,403,000","447,235,000","369,469,000","296,533,000","274,855,000","248,566,000","223,272,000","208,000,000","194,300,000","193,300,000","216,800,000","180,300,000","87,300,000","82,400,000","70,500,000"
	DepreciationAmortizationDepletionIncomeStatement,"2,223,000,000","2,241,000,000","2,160,000,000","2,017,000,000","1,846,000,000","1,738,000,000","1,626,000,000","1,635,000,000","1,588,000,000","1,527,000,000","1,522,000,000","1,416,000,000","1,309,000,000","1,249,000,000","1,101,000,000","988,000,000","902,000,000","812,000,000","585,000,000","382,343,000","372,224,000","287,667,000","243,658,000","200,668,000","167,287,000","144,987,000","128,433,000","110,595,000","93,300,000","88,800,000","85,200,000","89,900,000","66,700,000","27,500,000","24,500,000","16,600,000"
		DepreciationAndAmortizationInIncomeStatement,"2,223,000,000","2,241,000,000","2,160,000,000","2,017,000,000","1,846,000,000","1,738,000,000","1,626,000,000","1,635,000,000","1,588,000,000","1,527,000,000","1,522,000,000","1,416,000,000","1,309,000,000","1,249,000,000","1,101,000,000","988,000,000","902,000,000","812,000,000","585,000,000","382,343,000","372,224,000","287,667,000","243,658,000","200,668,000","167,287,000","144,987,000","128,433,000","110,595,000","93,300,000","88,800,000","85,200,000","89,900,000","66,700,000","27,500,000","24,500,000","16,600,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,"1,101,000,000","988,000,000","902,000,000","812,000,000","585,000,000","382,343,000","372,224,000","287,667,000","243,658,000","200,668,000","167,287,000","144,987,000","128,433,000","110,595,000","93,300,000","88,800,000","85,200,000","89,900,000","66,700,000","27,500,000","24,500,000","16,600,000"
OperatingIncome,"-8,312,000,000","-6,770,000,000","3,276,000,000","3,325,000,000","2,898,000,000","3,071,000,000","2,574,000,000","1,792,000,000","1,365,000,000","1,815,000,000","2,255,000,000","2,347,000,000","2,154,000,000","2,729,000,000","2,725,000,000","2,613,000,000","2,639,000,000","2,173,000,000","1,383,000,000","1,062,059,000","1,076,133,000","945,130,000","943,941,000","819,792,000","660,979,000","551,461,000","490,038,000","443,674,000","347,700,000","324,900,000","315,900,000","269,500,000","240,800,000","158,000,000","152,100,000","101,200,000"
