name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008
TotalRevenue,"189,165,000","511,529,000","486,011,000","675,256,000","447,616,000","336,054,000","299,662,000","255,374,611","228,821,945","196,599,258","124,721,387","83,560,206","68,551,701","38,330,925"
	OperatingRevenue,"173,874,000","475,184,000","457,983,000","607,354,000","432,768,000","329,885,000","294,837,000","251,023,910","225,018,169","196,599,258","124,721,387","82,407,384","67,847,860","38,280,778"
CostOfRevenue,"35,773,000","154,320,000","173,412,000","175,877,000","173,919,000","167,034,000","160,713,000","148,979,551","140,656,774","108,414,344","63,650,910","43,277,708","43,560,968","21,823,844"
GrossProfit,"153,392,000","357,209,000","312,599,000","499,379,000","273,697,000","169,020,000","138,949,000","106,395,060","88,165,171","88,184,914","61,070,477","40,282,498","24,990,733","16,507,081"
OperatingExpense,"280,171,000","515,140,000","465,592,000","715,518,000","393,871,000","233,300,000","153,388,000","122,965,665","106,156,849","84,108,108","56,925,079","46,266,786","35,370,831","32,793,854"
	SellingGeneralAndAdministration,"169,839,000","316,905,000","329,128,000","589,963,000","321,308,000","171,309,000","99,310,000","76,157,893","66,044,227","81,317,954","54,212,154","30,983,525","23,016,542","25,348,960"
		GeneralAndAdministrativeExpense,"131,837,000","150,302,000","137,048,000","138,145,000","96,884,000","62,343,000","56,586,000","48,273,037","46,354,212","64,333,098","41,723,248","21,308,797","14,283,922","13,133,286"
			SalariesAndWages,"111,371,000","129,836,000","113,567,000","114,157,000","73,736,000","49,018,000","44,318,000","37,220,798","34,520,455","26,520,745","14,399,040","16,562,034","9,679,770","8,459,204"
			RentAndLandingFees,,"0","6,581,000","7,701,000","3,831,000","2,949,000","2,816,000","2,857,370","2,624,313","2,079,183","1,394,969","1,244,798","1,314,937","1,403,016"
			OtherGandA,,"20,466,000","16,900,000","16,287,000","19,317,000","10,376,000","9,452,000","8,194,869","9,209,444","35,733,170","25,929,239","3,501,965","3,289,215","3,271,066"
		SellingAndMarketingExpense,"38,002,000","166,603,000","192,080,000","451,818,000","224,424,000","108,966,000","42,724,000","27,884,856","19,690,015","16,984,856","12,488,906","9,674,728","8,732,620","12,215,674"
