name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalRevenue,"604,000,000","604,000,000","1,560,000,000","1,615,000,000","1,556,000,000","1,480,000,000","1,492,000,000","1,246,000,000","944,661,000","762,966,000","637,063,000","484,635,000","352,089,000","298,246,000"
	OperatingRevenue,"604,000,000","604,000,000","1,560,000,000","1,615,000,000","1,556,000,000","1,480,000,000","1,492,000,000","1,246,000,000","727,236,000","559,215,000","637,063,000","484,635,000","352,089,000","298,246,000"
CostOfRevenue,"55,000,000","55,000,000","94,000,000","86,000,000","72,000,000","71,000,000","58,000,000","40,000,000","17,714,000","12,074,000","10,873,000","7,345,000","4,569,000","2,414,000"
GrossProfit,"549,000,000","549,000,000","1,466,000,000","1,529,000,000","1,484,000,000","1,409,000,000","1,434,000,000","1,206,000,000","926,947,000","750,892,000","626,190,000","477,290,000","347,520,000","295,832,000"
OperatingExpense,"834,000,000","834,000,000","1,279,000,000","1,346,000,000","1,360,000,000","1,243,000,000","1,202,000,000","866,000,000","632,373,000","454,596,000","337,279,000","243,090,000","172,432,000","162,629,000"
	SellingGeneralAndAdministration,"709,000,000","709,000,000","1,153,000,000","1,230,000,000","1,249,000,000","1,142,000,000","1,109,000,000","801,000,000","597,147,000","428,520,000","253,946,000","174,814,000","121,552,000","121,228,000"
		GeneralAndAdministrativeExpense,"393,000,000","393,000,000","481,000,000","452,000,000","400,000,000","386,000,000","417,000,000","299,000,000","228,794,000","162,281,000","44,770,000","34,344,000","15,873,000","22,937,000"
			SalariesAndWages,"119,000,000","119,000,000","135,000,000","129,000,000","116,000,000","101,000,000","106,000,000","87,000,000",,"51,000,000",,,,
			OtherGandA,"274,000,000","274,000,000","346,000,000","323,000,000","284,000,000","285,000,000","311,000,000","212,000,000","228,794,000","111,281,000","44,770,000","34,344,000","15,873,000","22,937,000"
		SellingAndMarketingExpense,"316,000,000","316,000,000","672,000,000","778,000,000","849,000,000","756,000,000","692,000,000","502,000,000","368,353,000","266,239,000","209,176,000","140,470,000","105,679,000","98,291,000"
	ResearchAndDevelopment,,,,"275,000,000","243,000,000","243,000,000","207,000,000","171,000,000","130,673,000","86,640,000","57,448,000","53,667,000","37,074,000","30,240,000"
	DepreciationAmortizationDepletionIncomeStatement,"125,000,000","125,000,000","126,000,000","116,000,000","111,000,000","101,000,000","93,000,000","65,000,000","35,226,000","26,076,000","25,885,000","14,609,000","13,806,000","11,161,000"
		DepreciationAndAmortizationInIncomeStatement,"125,000,000","125,000,000","126,000,000","116,000,000","111,000,000","101,000,000","93,000,000","65,000,000","35,226,000","26,076,000","25,885,000","14,609,000","13,806,000","11,161,000"
			DepreciationIncomeStatement,"99,000,000","99,000,000","93,000,000","82,000,000","79,000,000","69,000,000","57,000,000","47,000,000","29,495,000","19,966,000","18,362,000",,,
			Amortization,"26,000,000","26,000,000","33,000,000","34,000,000","32,000,000","32,000,000","36,000,000","18,000,000","5,731,000","6,110,000","7,523,000","14,609,000","13,806,000","11,161,000"
				AmortizationOfIntangiblesIncomeStatement,"26,000,000","26,000,000","33,000,000","34,000,000","32,000,000","32,000,000","36,000,000","18,000,000","5,731,000","6,110,000","7,523,000","14,609,000","13,806,000","11,161,000"
OperatingIncome,"-285,000,000","-285,000,000","187,000,000","183,000,000","124,000,000","166,000,000","232,000,000","340,000,000","294,574,000","296,296,000","288,911,000","234,200,000","175,088,000","133,203,000"
NetNonOperatingInterestIncomeExpense,"-32,000,000","-32,000,000","10,000,000","-5,000,000","-14,000,000","-11,000,000","-9,000,000","-8,000,000","-8,336,000","-10,871,000","391,000","241,000","978,000","4,035,000"
	InterestIncomeNonOperating,"3,000,000","3,000,000","17,000,000","7,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,738,000",,"544,000","241,000","978,000","4,035,000"
	InterestExpenseNonOperating,"35,000,000","35,000,000","7,000,000","12,000,000","15,000,000","12,000,000","10,000,000","9,000,000","10,074,000",,"153,000",,,
	TotalOtherFinanceCost,,,,,,,,,,"10,871,000",,,,
OtherIncomeExpense,"-52,000,000","-52,000,000","-3,000,000","-5,000,000","-14,000,000","-4,000,000","16,000,000","-10,000,000","-1,536,000","-3,450,000","-17,408,000","-6,256,000","-6,250,000","-6,582,000"
	GainOnSaleOfSecurity,"5,000,000","5,000,000",,"-6,000,000",,"-4,000,000","-4,000,000","-10,000,000",,,,,,
	EarningsFromEquityInterest,"-3,000,000","-3,000,000",,,,,,,,,,,,
	SpecialIncomeCharges,"-50,000,000","-50,000,000",,"1,000,000",,"0","20,000,000",,"0","0","-17,408,000","-6,256,000","-6,250,000","-6,582,000"
		RestructuringAndMergernAcquisition,"41,000,000","41,000,000",,,,,,,"0","0",,,,
		ImpairmentOfCapitalAssets,"3,000,000","3,000,000",,,,,,,,,,,,
		GainOnSaleOfBusiness,"-6,000,000","-6,000,000",,"1,000,000",,"0","20,000,000",,,,,,,
	OtherNonOperatingIncomeExpenses,"-4,000,000","-4,000,000","-3,000,000","-10,000,000","-14,000,000","-15,000,000","7,000,000","-18,000,000","-1,536,000","-3,450,000",,,,
PretaxIncome,"-369,000,000","-369,000,000","194,000,000","173,000,000","110,000,000","151,000,000","239,000,000","322,000,000","284,702,000","281,975,000","271,894,000","-224,415,000","-166,540,000","-119,110,000"
TaxProvision,"-80,000,000","-80,000,000","68,000,000","60,000,000","129,000,000","31,000,000","41,000,000","96,000,000","79,259,000","87,387,000","94,103,000","85,461,000","64,325,000","46,788,000"
NetIncomeCommonStockholders,"-289,000,000","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000","72,371,000"
	NetIncome,"-289,000,000","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000","72,371,000"
		NetIncomeIncludingNoncontrollingInterests,"-289,000,000","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,588,000","177,791,000","138,954,000","102,215,000","72,322,000"
			NetIncomeContinuousOperations,"-289,000,000","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,588,000","177,791,000","138,954,000","102,215,000","72,322,000"
		MinorityInterests,,,,,,,,"0","0","-519,000","-114,000","-178,000","212,000","49,000"
DilutedNIAvailtoComStockholders,"-289,000,000","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000","72,371,000"
BasicEPS,,"-2.14","0.91","0.82","-0.14","0.83","1.38","1.58","1.44","1.39","1.33","1.04","0.767","0.542"
DilutedEPS,,"-2.14","0.89","0.81","-0.14","0.82","1.36","1.55","1.41","1.37","1.32","1.04","0.767","0.542"
BasicAverageShares,,"135,000,000","139,000,000","138,000,000","140,000,000","145,000,000","144,000,000","143,000,000","142,854,000","139,461,886","133,461,000","133,461,000","133,461,000","133,461,000"
DilutedAverageShares,,"135,000,000","141,000,000","140,000,000","140,000,000","147,000,000","146,000,000","146,000,000","145,263,000","141,341,351","134,865,000","133,461,000","133,461,000","133,461,000"
TotalOperatingIncomeAsReported,"-329,000,000","-329,000,000","187,000,000","183,000,000","124,000,000","166,000,000","232,000,000","340,000,000","294,574,000","296,296,000","272,757,000","226,300,000","168,178,000","124,883,000"
TotalExpenses,"889,000,000","889,000,000","1,373,000,000","1,432,000,000","1,432,000,000","1,314,000,000","1,260,000,000","906,000,000","650,087,000","466,670,000","348,152,000","250,435,000","177,001,000","165,043,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-289,000,000","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000","72,371,000"
NormalizedIncome,"-253,765,000","-253,765,000","126,000,000","116,265,000","-19,000,000","123,180,000","184,752,000","233,020,000","205,443,000","194,069,000","189,060,060.045","142,842,400","106,489,500","76,649,300"
InterestIncome,"3,000,000","3,000,000","17,000,000","7,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,738,000",,"544,000","241,000","978,000","4,035,000"
InterestExpense,"35,000,000","35,000,000","7,000,000","12,000,000","15,000,000","12,000,000","10,000,000","9,000,000","10,074,000",,"153,000",,,
NetInterestIncome,"-32,000,000","-32,000,000","10,000,000","-5,000,000","-14,000,000","-11,000,000","-9,000,000","-8,000,000","-8,336,000","-10,871,000","391,000","241,000","978,000","4,035,000"
EBIT,"-334,000,000","-334,000,000","201,000,000","185,000,000","125,000,000","163,000,000","249,000,000","331,000,000","294,776,000","296,296,000","272,047,000","234,200,000","175,088,000","133,203,000"
EBITDA,"-209,000,000"
ReconciledCostOfRevenue,"55,000,000","55,000,000","94,000,000","86,000,000","72,000,000","71,000,000","58,000,000","40,000,000","17,714,000","12,074,000","10,873,000","7,345,000","4,569,000","2,414,000"
ReconciledDepreciation,"125,000,000","125,000,000","126,000,000","116,000,000","111,000,000","101,000,000","93,000,000","65,000,000","35,226,000","26,076,000","25,885,000","27,480,000","23,136,000","16,183,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-289,000,000","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000","72,371,000"
TotalUnusualItemsExcludingGoodwill,"-45,000,000","-45,000,000",,"-5,000,000",,"-4,000,000","16,000,000","-10,000,000","0","0","-17,408,000","-6,256,000","-6,250,000","-6,582,000"
TotalUnusualItems,"-45,000,000","-45,000,000",,"-5,000,000",,"-4,000,000","16,000,000","-10,000,000","0","0","-17,408,000","-6,256,000","-6,250,000","-6,582,000"
NormalizedEBITDA,"-164,000,000","-164,000,000","327,000,000","306,000,000","236,000,000","268,000,000","326,000,000","406,000,000","330,002,000","322,372,000","315,340,000","267,936,000","204,474,000","155,968,000"
TaxRateForCalcs,"0.217","0.217","0.351","0.347","0.4","0.205","0.172","0.298","0.278","0.31","0.346","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-9,765,000","-9,765,000","0","-1,735,000","0","-820,000","2,752,000","-2,980,000","0","0","-6,024,939.955","-2,189,600","-2,187,500","-2,303,700"
