name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,12/31/2015,12/31/2014
TotalRevenue,"2,048,416,000","7,259,355,000","9,358,580,000","12,248,513,000","9,345,148,000","0","0"
	OperatingRevenue,"1,761,236,000","6,265,274,000","8,420,104,000","11,746,416,000","9,021,613,000","0","0"
CostOfRevenue,"1,416,821,000","4,700,202,000","6,833,017,000","7,833,597,000","6,295,619,000","0","0"
GrossProfit,"631,595,000","2,559,153,000","2,525,563,000","4,414,916,000","3,049,529,000","0","0"
OperatingExpense,"1,808,659,000","3,386,065,000","4,627,022,000","7,485,692,000","4,917,511,000","42,067,020.2","23,971,210.82"
	SellingGeneralAndAdministration,"2,478,492,000","2,587,316,000","3,883,308,000","6,579,888,000","4,325,976,000","30,098,935.4","12,557,133.62"
		GeneralAndAdministrativeExpense,"4,058,102,000","1,764,639,000","2,136,755,000","1,529,964,000","1,121,776,000","30,098,935.4","12,557,133.62"
			SalariesAndWages,"1,921,347,000",,"2,550,214,000","2,902,840,000","2,104,723,000",,
			RentAndLandingFees,,"55,007,000","193,348,000","178,650,000","148,738,000",,
			InsuranceAndClaims,,"50,891,000","42,791,000","39,117,000","12,067,000",,
			OtherGandA,,"1,658,741,000","1,900,616,000","1,312,197,000","960,971,000",,
		SellingAndMarketingExpense,"713,853,000","822,677,000","1,746,553,000","5,049,924,000","3,204,200,000",,
	DepreciationAmortizationDepletionIncomeStatement,"595,290,000","666,369,000","581,746,000","425,600,000","275,587,000",,
		DepreciationAndAmortizationInIncomeStatement,"595,290,000","666,369,000","581,746,000","425,600,000","275,587,000",,
			DepreciationIncomeStatement,,"163,377,000","123,781,000","104,550,000","64,894,000",,
			Amortization,,"502,992,000","457,965,000","321,050,000","210,693,000",,
				AmortizationOfIntangiblesIncomeStatement,,"502,992,000","457,965,000","321,050,000","210,693,000",,
	ProvisionForDoubtfulAccounts,,"105,364,000","314,962,000","131,091,000","92,240,000",,
	OtherTaxes,,"36,486,000","-29,595,000","95,413,000","12,963,000","11,968,084.8","11,414,077.2"
	OtherOperatingExpenses,"-1,406,973,000","-9,470,000","-123,399,000","253,700,000","210,745,000",,
OperatingIncome,"-1,177,064,000","-826,912,000","-2,101,459,000","-3,070,776,000","-1,867,982,000","-42,067,020.2","-23,971,210.82"
NetNonOperatingInterestIncomeExpense,"-66,765,000","-138,968,000","-136,286,000","-52,990,000","3,820,000","5,854,454.637","483,195.935"
	InterestIncomeNonOperating,"74,464,000","54,319,000","41,310,000","91,912,000","139,158,000","5,854,454.637","483,195.935"
	InterestExpenseNonOperating,"114,075,000","166,133,000","147,705,000","122,568,000","119,331,000",,
	TotalOtherFinanceCost,,"27,154,000","29,891,000","22,334,000","16,007,000",,
OtherIncomeExpense,"490,367,000","195,490,000","1,091,987,000","-871,323,000","-4,031,814,000","0","0"
	GainOnSaleOfSecurity,"327,612,000","4,416,000","1,581,499,000","-571,407,000","215,586,000",,
	EarningsFromEquityInterest,"-6,038,000","-10,784,000","-12,772,000","-10,559,000","-9,441,000",,
	SpecialIncomeCharges,,"200,093,000","-480,232,000","-292,975,000","-4,241,903,000",,
		RestructuringAndMergernAcquisition,,"-390,009,000","485,282,000","294,344,000","4,242,526,000",,
		ImpairmentOfCapitalAssets,,"221,999,000",,,,,
		WriteOff,,,,"131,091,000","92,240,000",,
		OtherSpecialCharges,,"-27,241,000",,"-15,441,000","4,221,649,000",,
		GainOnSaleOfPPE,,"4,842,000","5,050,000","1,369,000","623,000",,
	OtherNonOperatingIncomeExpenses,"-31,300,000","1,765,000","3,492,000","3,618,000","3,944,000",,
PretaxIncome,"-753,462,000","-770,390,000","-1,145,758,000","-3,995,089,000","-5,895,976,000","-36,212,565.562","-23,488,014.885"
TaxProvision,"30,156,000","69,805,000","47,837,000","56,887,000","40,987,000",,
NetIncomeCommonStockholders,"-773,644,000","-833,808,000","-1,148,203,000","-3,993,140,000","-5,901,483,000","-36,212,565.562","-23,488,014.885"
	NetIncome,"-773,644,000","-833,808,000","-1,148,203,000","-3,993,140,000","-5,901,483,000","-36,212,565.562","-23,488,014.885"
		NetIncomeIncludingNoncontrollingInterests,"-783,618,000","-840,195,000","-1,193,595,000","-4,051,976,000","-5,936,963,000","-36,212,565.562","-23,488,014.885"
			NetIncomeContinuousOperations,"-783,618,000","-840,195,000","-1,193,595,000","-4,051,976,000","-5,936,963,000","-36,212,565.562","-23,488,014.885"
		MinorityInterests,"9,974,000","6,387,000","45,392,000","58,836,000","35,480,000",,
DilutedNIAvailtoComStockholders,"-773,644,000","-833,808,000","-1,148,203,000","-3,993,140,000","-5,901,483,000","-36,212,565.562","-23,488,014.885"
BasicEPS,,"-17.94","-26.37","-116.41","-237.89","-5.319","-3.805"
