Year,Average_temperature_U.S.,Difference
1980,11.33,
1981,11.73,0.4
1982,10.74,-0.99
1983,11.04,0.3
1984,11.09,0.05
1985,10.72,-0.37
1986,11.84,1.12
1987,11.85,0.01
1988,11.46,-0.39
1989,11.02,-0.44
1990,11.95,0.93
1991,11.76,-0.19
1992,11.44,-0.32
1993,10.7,-0.74
1994,11.59,0.89
1995,11.47,-0.12
1996,11.04,-0.43
1997,11.22,0.18
1998,12.35,1.13
1999,12.16,-0.19
2000,11.82,-0.34
2001,12.05,0.23
2002,11.78,-0.27
2003,11.81,0.03
2004,11.72,-0.09
2005,12.02,0.3
2006,12.6,0.58
2007,12.03,-0.57
2008,11.27,-0.76
2009,11.33,0.06
2010,11.66,0.33
2011,11.77,0.11
2012,12.93,1.16
2013,11.35,-1.58
2014,11.41,0.06
2015,12.44,1.03
2016,12.73,0.29
2017,12.53,-0.2
2018,11.96,-0.57
2019,11.49,-0.47
2020,11.42,-0.07
