name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
TotalRevenue,"14,217,000,000","14,217,000,000","13,846,000,000","14,287,000,000","14,240,000,000","14,041,000,000"
	OperatingRevenue,"14,217,000,000","14,217,000,000","13,846,000,000","14,287,000,000","14,240,000,000","14,041,000,000"
CostOfRevenue,"8,507,000,000","8,507,000,000","8,575,000,000","8,521,000,000","8,402,000,000","8,391,000,000"
GrossProfit,"5,710,000,000","5,710,000,000","5,271,000,000","5,766,000,000","5,838,000,000","5,650,000,000"
OperatingExpense,"4,867,000,000","4,867,000,000","4,687,000,000","4,476,000,000","5,650,000,000","4,764,000,000"
	SellingGeneralAndAdministration,"3,043,000,000","3,043,000,000","3,065,000,000","2,902,000,000","2,972,000,000","2,937,000,000"
		GeneralAndAdministrativeExpense,"3,043,000,000","3,043,000,000","3,065,000,000","2,902,000,000","2,972,000,000","2,937,000,000"
			OtherGandA,"3,043,000,000","3,043,000,000","3,065,000,000","2,902,000,000","2,972,000,000","2,937,000,000"
	ResearchAndDevelopment,"1,142,000,000","1,142,000,000","1,147,000,000","1,432,000,000","1,509,000,000","1,507,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"682,000,000","682,000,000","475,000,000","391,000,000","270,000,000","247,000,000"
		DepreciationAndAmortizationInIncomeStatement,"682,000,000","682,000,000","475,000,000","391,000,000","270,000,000","247,000,000"
			Amortization,"682,000,000","682,000,000","475,000,000","391,000,000","270,000,000","247,000,000"
				AmortizationOfIntangiblesIncomeStatement,"682,000,000","682,000,000","475,000,000","391,000,000","270,000,000","247,000,000"
	OtherOperatingExpenses,,,,"-249,000,000","899,000,000","73,000,000"
OperatingIncome,"843,000,000","843,000,000","584,000,000","1,290,000,000","188,000,000","886,000,000"
NetNonOperatingInterestIncomeExpense,"11,000,000","11,000,000","-77,000,000","-76,000,000","-74,000,000","-101,000,000"
	InterestIncomeNonOperating,"56,000,000","56,000,000","59,000,000",,,
	InterestExpenseNonOperating,"45,000,000","45,000,000","136,000,000","76,000,000","74,000,000","101,000,000"
OtherIncomeExpense,"-179,000,000","-179,000,000","-823,000,000","-5,768,000,000","-488,000,000","-527,000,000"
	GainOnSaleOfSecurity,"-174,000,000","-174,000,000","-99,000,000",,,
	EarningsFromEquityInterest,"0","0","-9,000,000",,,
	SpecialIncomeCharges,"-337,000,000","-337,000,000","-915,000,000","-5,768,000,000","-488,000,000","-527,000,000"
		RestructuringAndMergernAcquisition,"335,000,000","335,000,000","966,000,000","1,265,000,000","488,000,000","527,000,000"
		ImpairmentOfCapitalAssets,"0","0","0","4,503,000,000",,
		OtherSpecialCharges,"13,000,000",,"13,000,000",,,
		GainOnSaleOfBusiness,"-2,000,000","-2,000,000","64,000,000",,,
	OtherNonOperatingIncomeExpenses,"332,000,000","332,000,000","200,000,000",,,
PretaxIncome,"675,000,000","675,000,000","-316,000,000","-4,554,000,000","-374,000,000","258,000,000"
TaxProvision,"-81,000,000","-81,000,000","-46,000,000","408,000,000","-2,943,000,000","-270,000,000"
NetIncomeCommonStockholders,"681,000,000","681,000,000","-959,000,000","-4,991,000,000","2,534,000,000","503,000,000"
	NetIncome,"681,000,000","681,000,000","-959,000,000","-4,991,000,000","2,534,000,000","503,000,000"
		NetIncomeIncludingNoncontrollingInterests,"701,000,000","701,000,000","-941,000,000","-4,962,000,000","2,569,000,000","528,000,000"
			NetIncomeContinuousOperations,"756,000,000","756,000,000","-270,000,000","-4,962,000,000","2,569,000,000","528,000,000"
			NetIncomeDiscontinuousOperations,"-55,000,000","-55,000,000","-671,000,000",,,
		MinorityInterests,"-20,000,000","-20,000,000","-18,000,000","-29,000,000","-35,000,000","-25,000,000"
DilutedNIAvailtoComStockholders,"681,000,000","681,000,000","-959,000,000","-4,991,000,000","2,534,000,000","503,000,000"
BasicEPS,,"0.91","-1.28","-6.66","3.381","0.671"
DilutedEPS,,"0.91","-1.28","-6.66","3.381","0.671"
BasicAverageShares,,"748,700,000","749,500,000","749,400,000","749,400,000","749,400,000"
DilutedAverageShares,,"751,200,000","749,500,000","749,400,000","749,400,000","749,400,000"
TotalExpenses,"13,374,000,000","13,374,000,000","13,262,000,000","12,997,000,000","14,052,000,000","13,155,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"681,000,000","681,000,000","-959,000,000","-4,991,000,000","2,534,000,000","503,000,000"
NormalizedIncome,"1,109,030,000","1,109,030,000","577,956,000","-780,360,000","2,826,800,000","819,200,000"
InterestIncome,"56,000,000","56,000,000","59,000,000",,,
InterestExpense,"45,000,000","45,000,000","136,000,000","76,000,000","74,000,000","101,000,000"
NetInterestIncome,"11,000,000","11,000,000","-77,000,000","-76,000,000","-74,000,000","-101,000,000"
EBIT,"720,000,000","720,000,000","-180,000,000","-4,478,000,000","-300,000,000","359,000,000"
EBITDA,"1,897,000,000"
ReconciledCostOfRevenue,"8,012,000,000","8,012,000,000","7,451,000,000","6,122,000,000","8,402,000,000","8,391,000,000"
ReconciledDepreciation,"1,177,000,000","1,177,000,000","1,599,000,000","2,790,000,000","270,000,000","247,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"736,000,000","736,000,000","-288,000,000","-4,991,000,000","2,534,000,000","503,000,000"
TotalUnusualItemsExcludingGoodwill,"-511,000,000","-511,000,000","-1,014,000,000","-5,768,000,000","-488,000,000","-527,000,000"
TotalUnusualItems,"-511,000,000","-511,000,000","-1,014,000,000","-5,768,000,000","-488,000,000","-527,000,000"
NormalizedEBITDA,"2,408,000,000","2,408,000,000","2,433,000,000","4,080,000,000","458,000,000","1,133,000,000"
TaxRateForCalcs,"0.27","0.27","0.146","0.27","0.4","0.4"
TaxEffectOfUnusualItems,"-137,970,000","-137,970,000","-148,044,000","-1,557,360,000","-195,200,000","-210,800,000"
