,period.fiscal-year,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps
0,2020,2020-10-01,92507000.0,23662000,6921000,"ALICO, INC.",0000003545,423937000.0,51899000.0,40855000.0,21158000.0,,216341000,3.16
1,2019,2019-10-01,122251000.0,37833000,45214000,"ALICO, INC.",0000003545,417388000.0,61977000.0,40143000.0,28951000.0,158111000.0,194303000,5.06
2,2018,2018-10-01,81281000.0,13050000,10535000,"ALICO, INC.",0000003545,423422000.0,71061000.0,41033000.0,21476000.0,169074000.0,172117000,1.59
3,2017,2017-10-01,129829000.0,-9451000,-6094000,ALICO INC,0000003545,419182000.0,66489000.0,36204000.0,15983000.0,181926000.0,160641000,-1.14
4,2016,,,6993000,21846000,ALICO INC,0000003545,455445000.0,71871000.0,58469000.0,18678000.0,192726000.0,173490000,0.84
5,2015,,,13183000,18964000,ALICO INC,0000003545,460088000.0,70763000.0,58273000.0,24134000.0,200970000.0,170704000,1.64
6,2014,,,9495000,9383000,ALICO INC,0000003545,257580000.0,125712000.0,25469000.0,20670000.0,58444000.0,161851000,1.29
7,2013,,,19646000,11935000,ALICO INC,0000003545,198840000.0,59795000.0,29403000.0,11491000.0,34000000.0,142736000,2.69
8,2012,,,18489000,23742000,ALICO INC,0000003545,185083000.0,51467000.0,27290000.0,17148000.0,36633000.0,127546000,2.51
9,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,22373000.0,11827000.0,53879000.0,112414000,0.96
10,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,22373000.0,11827000.0,53879000.0,110662000,0.96
11,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,22373000.0,11827000.0,58194000.0,112414000,0.96
12,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,22373000.0,11827000.0,58194000.0,110662000,0.96
13,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,22373000.0,12589000.0,53879000.0,112414000,0.96
14,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,22373000.0,12589000.0,53879000.0,110662000,0.96
15,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,22373000.0,12589000.0,58194000.0,112414000,0.96
16,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,22373000.0,12589000.0,58194000.0,110662000,0.96
17,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,20831000.0,11827000.0,53879000.0,112414000,0.96
18,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,20831000.0,11827000.0,53879000.0,110662000,0.96
19,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,20831000.0,11827000.0,58194000.0,112414000,0.96
20,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,20831000.0,11827000.0,58194000.0,110662000,0.96
21,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,20831000.0,12589000.0,53879000.0,112414000,0.96
22,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,20831000.0,12589000.0,53879000.0,110662000,0.96
23,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,20831000.0,12589000.0,58194000.0,112414000,0.96
24,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,29181000.0,20831000.0,12589000.0,58194000.0,110662000,0.96
25,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,22373000.0,11827000.0,53879000.0,112414000,0.96
26,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,22373000.0,11827000.0,53879000.0,110662000,0.96
27,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,22373000.0,11827000.0,58194000.0,112414000,0.96
28,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,22373000.0,11827000.0,58194000.0,110662000,0.96
29,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,22373000.0,12589000.0,53879000.0,112414000,0.96
30,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,22373000.0,12589000.0,53879000.0,110662000,0.96
