,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps
0,2020,2021-01-01,38374000.0,-20168000.0,-17195000.0,81197000.0,34260000.0,6618000.0,24228000.0,11479000.0,"Marrone Bio Innovations, Inc.",0001441693,31410000,
1,2019,2020-01-01,29373000.0,-37175000.0,-27985000.0,72717000.0,21716000.0,8149000.0,21085000.0,11847000.0,"Marrone Bio Innovations, Inc.",0001441693,23558000,
2,2018,2019-01-01,21220000.0,-20213000.0,-19504000.0,46567000.0,30136000.0,8224000.0,11319000.0,11819000.0,MARRONE BIO INNOVATIONS INC,0001441693,12936000,
3,2017,2018-01-01,18167000.0,-30925000.0,-22995000.0,36913000.0,19118000.0,9827000.0,22002000.0,24407000.0,MARRONE BIO INNOVATIONS INC,0001441693,-50651000,
4,2016,,,-31071000.0,-23660000.0,45983000.0,26875000.0,8482000.0,15249000.0,21083000.0,MARRONE BIO INNOVATIONS INC,0001441693,-30184000,
5,2015,,,-43728000.0,-39457000.0,71201000.0,35912000.0,9064000.0,12849000.0,21509000.0,MARRONE BIO INNOVATIONS INC,0001441693,-2022000,-1.79
6,2014,,,-51659000.0,-48533000.0,77182000.0,54723000.0,12644000.0,31202000.0,9667000.0,MARRONE BIO INNOVATIONS INC,0001441693,33231000,-2.32
7,2013,,,-31242000.0,-31719000.0,69918000.0,59751000.0,12717000.0,15530000.0,12280000.0,MARRONE BIO INNOVATIONS INC,0001441693,39031000,-3.74
8,2012,,,-38794000.0,-23838000.0,33778000.0,27465000.0,4872000.0,38933000.0,7766000.0,MARRONE BIO INNOVATIONS INC,0001441693,-74247000,-32.48
9,2011,,,,-13124000.0,,,,,,MARRONE BIO INNOVATIONS INC,0001441693,-34100000,-10.64
10,2010,,,,,,,,,,MARRONE BIO INNOVATIONS INC,0001441693,-21204000,
