,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps
0,2020,2021-01-01,1287552000.0,60937000,94201000,655354000.0,305062000.0,,219872000.0,77068000.0,79674000,THE DAVEY TREE EXPERT COMPANY,0000277638,2.77
1,2019,2020-01-01,1143720000.0,41050000,69956000,596924000.0,281425000.0,,165672000.0,143354000.0,59846000,THE DAVEY TREE EXPERT COMPANY,0000277638,1.79
2,2018,2019-01-01,1024791000.0,27358000,54937000,526623000.0,255068000.0,,139312000.0,155563000.0,41049000,THE DAVEY TREE EXPERT COMPANY,0000277638,1.12
3,2017,,,22120000,52191000,473135000.0,209125000.0,,128657000.0,117351000.0,36177000,THE DAVEY TREE EXPERT COMPANY,0000277638,0.87
4,2016,,,22284000,48867000,423939000.0,178773000.0,,118905000.0,90117000.0,27978000,DAVEY TREE EXPERT CO,0000277638,0.85
5,2015,,,21798000,44108000,393586000.0,160934000.0,,111950000.0,84633000.0,14450000,DAVEY TREE EXPERT CO,0000277638,0.81
6,2014,,,23169000,44003000,381004000.0,158269000.0,,108353000.0,81306000.0,12824000,DAVEY TREE EXPERT CO,0000277638,0.84
7,2013,,,22853000,40789000,333378000.0,152016000.0,,105271000.0,50034000.0,131138000,DAVEY TREE EXPERT CO,0000277638,1.61
8,2012,,,24595000,45767000,330932000.0,161749000.0,,98541000.0,54787000.0,118106000,DAVEY TREE EXPERT CO,0000277638,1.74
9,2011,,,14065000,32801000,303734000.0,130536000.0,,102035000.0,51136000.0,100726000,DAVEY TREE EXPERT CO,0000277638,1.0
10,2010,,,14053000,29612000,288307000.0,115875000.0,,90042000.0,31591000.0,98369000,DAVEY TREE EXPERT CO,0000277638,0.97
11,2009,,,14377000,27811000,,,,,,97223000,DAVEY TREE EXPERT CO,0000277638,0.97
