,period.fiscal-year,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps
0,2020,2020-10-01,4131600000.0,387400000.0,Scotts Miracle-Gro Co,0000825542,585200000.0,3380500000.0,1216600000.0,621900000.0,950400000.0,1455100000.0,697200000,6.96
1,2019,2019-10-01,3156000000.0,460700000.0,Scotts Miracle-Gro Co,0000825542,409600000.0,3028700000.0,1041700000.0,540300000.0,620500000.0,1523500000.0,718700000,8.3
2,2018,2018-10-01,2663400000.0,63700000.0,Scotts Miracle-Gro Co,0000825542,198900000.0,3054500000.0,885700000.0,481400000.0,612700000.0,1883800000.0,354600000,1.13
3,2017,2017-10-01,2642100000.0,218300000.0,Scotts Miracle-Gro Co,0000825542,433400000.0,2747000000.0,881700000.0,407500000.0,544500000.0,1258000000.0,648800000,3.68
4,2016,2016-10-01,2506200000.0,315300000.0,SCOTTS MIRACLE-GRO CO,0000825542,447600000.0,2755800000.0,1032900000.0,394700000.0,707100000.0,1030900000.0,715200000,5.16
5,2015,,,159800000.0,SCOTTS MIRACLE-GRO CO,0000825542,253800000.0,2527200000.0,1119200000.0,395800000.0,618600000.0,1025000000.0,620700000,2.62
6,2014,,,166500000.0,SCOTTS MIRACLE-GRO CO,0000825542,283700000.0,2058300000.0,935000000.0,385100000.0,544700000.0,692400000.0,553700000,2.7
7,2013,,,161100000.0,SCOTTS MIRACLE-GRO CO,0000825542,310500000.0,1937200000.0,881000000.0,324900000.0,509800000.0,478100000.0,710500000,2.61
8,2012,,,106500000.0,SCOTTS MIRACLE-GRO CO,0000825542,241200000.0,2074400000.0,1000000000.0,414900000.0,433600000.0,781100000.0,601900000,1.75
9,2011,,,167900000.0,SCOTTS MIRACLE-GRO CO,0000825542,274800000.0,2052200000.0,992500000.0,387000000.0,468600000.0,791800000.0,559800000,2.6
10,2011,,,167900000.0,SCOTTS MIRACLE-GRO CO,0000825542,274800000.0,2052200000.0,992500000.0,387000000.0,468600000.0,791800000.0,559800000,2.6
11,2011,,,167900000.0,SCOTTS MIRACLE-GRO CO,0000825542,274800000.0,2052200000.0,992500000.0,387000000.0,468600000.0,791800000.0,559800000,2.6
12,2011,,,167900000.0,SCOTTS MIRACLE-GRO CO,0000825542,274800000.0,2052200000.0,992500000.0,387000000.0,468600000.0,791800000.0,559800000,2.6
13,2011,,,167900000.0,SCOTTS MIRACLE-GRO CO,0000825542,274800000.0,2052200000.0,992500000.0,387000000.0,468600000.0,791800000.0,559800000,2.6
14,2011,,,167900000.0,SCOTTS MIRACLE-GRO CO,0000825542,274800000.0,2052200000.0,992500000.0,387000000.0,468600000.0,791800000.0,559800000,2.6
15,2011,,,167900000.0,SCOTTS MIRACLE-GRO CO,0000825542,274800000.0,2052200000.0,992500000.0,387000000.0,468600000.0,791800000.0,559800000,2.6
16,2011,,,167900000.0,SCOTTS MIRACLE-GRO CO,0000825542,274800000.0,2052200000.0,992500000.0,387000000.0,468600000.0,791800000.0,559800000,2.6
17,2010,,,204100000.0,SCOTTS MIRACLE-GRO CO,0000825542,374400000.0,2164000000.0,1118100000.0,352900000.0,736800000.0,436700000.0,764500000,3.08
18,2009,,,153300000.0,SCOTTS MIRACLE-GRO CO,0000825542,260500000.0,2220100000.0,1090900000.0,458900000.0,756800000.0,,584500000,2.36
19,2008,,,-10900000.0,SCOTTS MIRACLE-GRO CO,0000825542,139800000.0,,,,,,436700000,-0.17
20,2007,,,,,,,,,,,,479300000,
