,period.fiscal-year,period.end,revenue,net_income,operating_income,asset,current_asset,entity.name,entity.cik,inventory,current_liability,debt,equity,eps
0,2020,2021-01-01,8681700000.0,666100000.0,412900000.0,19789800000.0,3521200000.0,MOSAIC CO,0001285785,1739200000.0,3146500000.0,,9581400000.0,1.76
1,2019,2020-01-01,8906300000.0,-1067400000.0,-1094900000.0,19298500000.0,3718200000.0,Mosaic Co,0001285785,2076400000.0,2591700000.0,,9185500000.0,-2.78
2,2018,2019-01-01,9587300000.0,470000000.0,928300000.0,20119200000.0,4237000000.0,Mosaic Co,0001285785,2270200000.0,2483700000.0,,10397300000.0,1.22
3,2017,,,-107200000.0,465700000.0,18633400000.0,4616500000.0,Mosaic Co,0001285785,1533900000.0,2031100000.0,,9617500000.0,-0.31
4,2017,,,-107200000.0,465700000.0,18633400000.0,4616500000.0,Mosaic Co,0001285785,1547200000.0,2031100000.0,,9617500000.0,-0.31
5,2016,,,297800000.0,319000000.0,16840700000.0,3057700000.0,MOSAIC CO,0001285785,1391100000.0,1476800000.0,,9584600000.0,0.85
6,2015,,,1000400000.0,1278800000.0,17389500000.0,4143400000.0,MOSAIC CO,0001285785,1563500000.0,2047000000.0,,9531800000.0,2.79
7,2014,,,1028600000.0,1311800000.0,18283000000.0,5215500000.0,MOSAIC CO,0001285785,1718300000.0,1596700000.0,,10703100000.0,2.69
8,2010,,,827100000.0,1270800000.0,12707700000.0,4974800000.0,MOSAIC CO,0001285785,1002300000.0,1303900000.0,,8722200000.0,1.86
9,2009,,,2350200000.0,2400900000.0,,,,,,,,,5.29
10,2013,,,,,19554000000.0,8105800000.0,MOSAIC CO,0001285785,1432900000.0,3265900000.0,,11302300000.0,
11,2011,,,,,,6684900000.0,MOSAIC CO,0001285785,1266400000.0,1928500000.0,,11641600000.0,
