,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location
0,2020,1/1/20,31/12/20,1287552000,60937000,94201000,655354000,305062000,,219872000,77068000,79674000,THE DAVEY TREE EXPERT COMPANY,277638,2.77,OH
1,2019,1/1/19,31/12/19,1143720000,41050000,69956000,596924000,281425000,,165672000,143354000,59846000,THE DAVEY TREE EXPERT COMPANY,277638,1.79,OH
2,2018,1/1/18,31/12/18,1024791000,27358000,54937000,526623000,255068000,,139312000,155563000,41049000,THE DAVEY TREE EXPERT COMPANY,277638,1.12,OH
3,2017,1/1/17,31/12/17,915958000,22120000,52191000,473135000,209125000,,128657000,117351000,36177000,THE DAVEY TREE EXPERT COMPANY,277638,0.87,OH
4,2016,1/1/16,31/12/16,845678000,22284000,48867000,423939000,178773000,,118905000,90117000,27978000,DAVEY TREE EXPERT CO,277638,0.85,OH
5,2015,1/1/15,31/12/15,821904000,21798000,44108000,393586000,160934000,,111950000,84633000,14450000,DAVEY TREE EXPERT CO,277638,0.81,OH
6,2014,1/1/14,31/12/14,789911000,23169000,44003000,381004000,158269000,,108353000,81306000,12824000,DAVEY TREE EXPERT CO,277638,0.84,OH
7,2013,1/1/13,31/12/13,713848000,22853000,40789000,333378000,152016000,,105271000,50034000,131138000,DAVEY TREE EXPERT CO,277638,1.61,OH
8,2012,1/1/12,31/12/12,680153000,24595000,45767000,330932000,161749000,,98541000,54787000,118106000,DAVEY TREE EXPERT CO,277638,1.74,OH
9,2011,1/1/11,31/12/11,646034000,14065000,32801000,303734000,130536000,,102035000,51136000,100726000,DAVEY TREE EXPERT CO,277638,1,OH
10,2010,1/1/10,31/12/10,591732000,14053000,29612000,288307000,115875000,,90042000,31591000,98369000,DAVEY TREE EXPERT CO,277638,0.97,OH
11,2009,1/1/00,31/12/09,,14377000,27811000,,,,,,97223000,DAVEY TREE EXPERT CO,277638,0.97,OH
