,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps,location
0,2020,1/1/20,31/12/20,349953000,-98181000,-34882000,"CVR PARTNERS, LP",1425292,1032880000,118214000,42349000,76341000,633942000,314241000,-8.77,TX
1,2019,1/1/19,31/12/19,404177000,-34969000,27380000,"CVR Partners, LP",1425292,1137955000,124960000,48296000,75531000,632406000,419544000,-3.09,TX
2,2018,1/1/18,31/12/18,351082000,-50027000,6314000,"CVR Partners, LP",1425292,1254388000,191331000,63554000,122635000,628989000,499826000,-0.44,TX
10,2017,1/1/17,31/12/17,330802000,-72788000,-10278000,"CVR PARTNERS, LP",1425292,1234276000,117990000,53169000,56095000,625904000,549853000,-0.64,TX
11,2016,1/1/16,31/12/16,356284000,-26938000,24557000,"CVR PARTNERS, LP",1425292,1312217000,134531000,58167000,63016000,623107000,624907000,-0.26,TX
12,2015,1/1/15,31/12/15,298194000,62042000,68729000,"CVR PARTNERS, LP",1425292,536255000,98545000,37529000,25914000,124773000,385552000,0.85,TX
13,2014,1/1/14,31/12/14,298665000,76149000,82803000,"CVR PARTNERS, LP",1425292,578839000,129578000,35614000,39707000,125000000,413931000,1.04,TX
14,2013,1/1/13,31/12/13,323672000,118616000,124851000,"CVR PARTNERS, LP",1425292,593454000,135780000,33064000,27386000,125000000,439921000,1.62,TX
15,2012,1/1/12,31/12/12,302309000,112223000,115758000,"CVR PARTNERS, LP",1425292,622954000,166048000,28949000,49475000,125000000,446193000,1.54,TX
16,2011,1/1/11,31/12/11,302867000,132447000,136198000,"CVR PARTNERS, LP",1425292,659309000,271863000,23255000,42454000,125000000,489489000,1.48,TX
17,2010,1/1/10,31/12/10,180468000,33306000,20356000,"CVR PARTNERS, LP",1425292,452165000,73168000,19830000,46076000,0,402203000,,TX
18,2009,1/1/09,31/12/09,208371000,57878000,48863000,"CVR PARTNERS, LP",1425292,,,,,,,,TX
