Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,entity.name,entity.cik,operating_income,asset,current_asset,inventory,current_liability,debt,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,12/31/2020,458704000,15242000,AMERICAN VANGUARD CORPORATION,5981,22908000,680293000.0,331725000.0,163784000.0,171324000.0,107442000.0,378896000.0,0.52,CA,0.022405051940854896,0.04022739749165998,0.18033994176038853,0.04994070250095922,0.03322840001395235,1.9362436086012467,0.9802537881441012,0.28356593893838944
1,2019,1/1/19,12/31/2019,468186000,13601000,AMERICAN VANGUARD CORPORATION,5981,26221000,670098000.0,336199000.0,163313000.0,138638000.0,148766000.0,362316000.0,0.47,CA,0.020297031180513896,0.03753905430618576,0.2423033645824939,0.056005519174003496,0.029050420132169692,2.4250133441047907,1.2470318383127281,0.410597379083452
2,2018,1/1/18,12/31/2018,454272000,24195000,AMERICAN VANGUARD CORPORATION,5981,39021000,593587000.0,310188000.0,159895000.0,145528000.0,96671000.0,329230000.0,0.83,CA,0.04076066355900652,0.0734896576861161,0.2036196884365729,0.08589787616229924,0.05326104184277261,2.1314661096146446,1.0327428398658678,0.29362755520456824
3,2017,1/1/17,12/31/2017,355047000,20274000,AMERICAN VANGUARD CORP,5981,26794000,535592000.0,254883000.0,123124000.0,126202000.0,77486000.0,305060000.0,0.7,CA,0.0378534406787256,0.06645905723464236,0.18252699816278062,0.07546606505617566,0.057102299132227564,2.0196431118365794,1.044032582684902,0.2540024913131843
4,2016,1/1/16,12/31/2016,312113000,12788000,AMERICAN VANGUARD CORP,5981,20540000,429956000.0,227075000.0,120576000.0,97074000.0,40951000.0,282190000.0,0.44,CA,0.029742578310338733,0.04531698501009958,0.12498720799337606,0.06580949848292125,0.04097234014603685,2.3391948410490966,1.097090879123143,0.145118537155817
5,2015,1/1/15,12/31/2015,289382000,6591000,AMERICAN VANGUARD CORP,5981,11524000,435270000.0,228562000.0,136477000.0,88712000.0,68321000.0,268395000.0,0.23,CA,0.015142325453167,0.024557089364555973,0.17210467066418544,0.03982279478336593,0.02277612291020174,2.5764496347731987,1.0380219136080802,0.2545539223905065
6,2014,1/1/14,12/31/2014,298634000,4841000,AMERICAN VANGUARD CORP,5981,6710000,472321000.0,287049000.0,165631000.0,81245000.0,98605000.0,261637000.0,0.17,CA,0.010249385481483991,0.01850273470495381,0.21901630458946353,0.022468975401327376,0.016210478378215473,3.533128192504154,1.4944673518370362,0.37687712364841364
7,2013,1/1/13,12/31/2013,381021000,34449000,AMERICAN VANGUARD CORP,5981,55735000,447443000.0,249506000.0,139830000.0,110499000.0,51676000.0,257953000.0,1.22,CA,0.0769908122375364,0.13354758424984398,0.1924826178976987,0.14627802667044598,0.09041233947735164,2.257993285007104,0.9925519687960977,0.20033106806278664
8,2012,1/1/12,12/31/2012,366190000,36867000,AMERICAN VANGUARD CORP,5981,59323000,399890000.0,222317000.0,87951000.0,113670000.0,36196000.0,225077000.0,1.32,CA,0.09219285303458451,0.1637972782647716,0.18270774462977318,0.16200060078101533,0.10067724405363336,1.9558106800387085,1.1820709070115245,0.16081607627611885
9,2011,1/1/11,12/31/2011,301080000,22068000,AMERICAN VANGUARD CORP,5981,39226000,342558000.0,183738000.0,71068000.0,79025000.0,51917000.0,187072000.0,0.8,CA,0.06442120750354685,0.11796527540198426,0.21597802415941242,0.13028430981798858,0.07329613391789558,2.325061689338817,1.4257513445112306,0.2775241618200479
10,2010,1/1/10,12/31/2010,229620000,10984000,AMERICAN VANGUARD CORP,5981,19191000,280179000.0,118614000.0,74054000.0,51186000.0,53712000.0,166437000.0,0.4,CA,0.039203509185199464,0.0659949410287376,0.23090952569607287,0.08357721452835119,0.04783555439421653,2.3173133278630877,0.8705505411635994,0.32271670361758503
11,2009,1/1/09,12/31/2009,209329000,-5789000,AMERICAN VANGUARD CORP,5981,-6329000,255268000.0,120233000.0,72512000.0,51436000.0,45432000.0,153087000.0,-0.21,CA,-0.022678126518012442,-0.03781509860406174,0.1552995283388439,-0.030234702310716625,-0.027655031075484046,2.337526246208881,0.9277743214868963,0.29677242352387856
12,2008,1/1/08,12/31/2008,237538000,20019000,AMERICAN VANGUARD CORP,5981,36144000,286937000.0,145511000.0,90626000.0,48630000.0,76273000.0,155943000.0,0.75,CA,0.06976792815147576,0.1283738288990208,0.33558586031079995,0.15216091741110896,0.08427704198907122,2.9922064569195967,1.1286243059839605,0.48910819979094927
13,2007,1/1/07,12/31/2007,216662000,18728000,AMERICAN VANGUARD CORP,5981,36013000,248581000.0,125440000.0,63455000.0,50296000.0,56155000.0,139739000.0,0.71,CA,0.07533962772697833,0.13402128253386672,0.30124184873341087,0.16621742622148786,0.08643878483536568,2.494035310959122,1.23240416732941,0.40185631784970555
14,2006,1/1/06,12/31/2006,193771000,15448000,AMERICAN VANGUARD CORP,5981,29216000,262376000.0,145570000.0,66628000.0,46337000.0,93761000.0,120877000.0,0.6,CA,0.05887733634173857,0.12779933320648262,0.41623090526572554,0.15077591590072817,0.07972297196174866,3.141549949284589,1.7036493514901698,0.7756727913498845
15,2005,1/1/05,12/31/2005,189796000,19002000,AMERICAN VANGUARD CORP,5981,32267000,183227000.0,106818000.0,44359000.0,65150000.0,34367000.0,82488000.0,0.78,CA,0.10370742303263165,0.23036077974978178,0.2912725744568213,0.1700088516090961,0.10011802145461443,1.6395702225633155,0.9586953184957789,0.4166302977402774
16,2004,1/1/04,12/31/2004,150855000,14477000,AMERICAN VANGUARD CORP,5981,24958000,122346000.0,74016000.0,43635000.0,37741000.0,19474000.0,63972000.0,1.61,CA,0.1183283474735586,0.22630213218283,0.2774998773968908,0.16544363793046302,0.09596632527924166,1.9611563021647545,0.804986619326462,0.3044144313136997
17,2003,1/1/03,12/31/2003,124863000,10263000,AMERICAN VANGUARD CORP,5981,16542000,106734000.0,63670000.0,33389000.0,32046000.0,22142000.0,50334000.0,1.16,CA,0.0961549272022036,0.20389796161640245,0.30360522420222236,0.13248119939453643,0.08219408471684966,1.9868314298196343,0.9449229232977595,0.43990145825883104
18,2002,1/1/02,12/31/2002,100671000,7049000,AMERICAN VANGUARD CORP,5981,11879000,,,,,,,0.81,CA,,,,0.11799823186419128,0.07002016469489723,,,
