Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2021,1/6/20,29/5/21,1348987000,2060000,-26264000,1229174000,519931000,218375000,90097000,563000,1012781000,"CAL-MAINE FOODS, INC.",16160,0.04,MS,0.0016759222046675247,0.0020340034025124877,0.0021339533703120957,-0.019469424093782963,0.0015270717953545883,5.770791480293462,3.3470148839584004,0.0005558951046672479
1,2020,2/6/19,31/5/20,1351609000,18391000,1269000,1206694000,522251000,187216000,93183000,857000,1009675000,"CAL-MAINE FOODS, INC.",16160,0.38,MS,0.015240814987063828,0.018214772080124793,0.0159510198940245,0.0009388809929498842,0.01360674573785762,5.604573795649421,3.5954519601214816,0.0008487879763290168
2,2019,3/6/18,1/6/19,1361188000,54229000,45781000,1156278000,567753000,172237000,74907000,2337000,986624000,"CAL-MAINE FOODS, INC.",16160,1.12,MS,0.046899621025393544,0.054964201154644524,0.04892076127021357,0.03363312048005125,0.039839463762536845,7.579438503744643,5.280093983205842,0.002368683510638298
3,2018,4/6/17,2/6/18,1502932000,125932000,100507000,1150447000,587520000,168644000,107838000,6090000,953333000,"CAL-MAINE FOODS, INC.",16160,2.6,MS,0.10946353895485841,0.13209654968410828,0.11475713353157511,0.06687395038498083,0.08379088341987528,5.448172258387581,3.884307943396576,0.006388114121718224
4,2017,29/5/18,3/6/17,1074513000,-74278000,-134146000,1033094000,436206000,160692000,64679000,10939000,842687000,CAL-MAINE FOODS INC,16160,-1.54,MS,-0.07189858812460434,-0.08814423386144558,-0.06131000664024765,-0.1248435337683211,-0.06912713015105448,6.744167349526121,4.259713353638739,0.012981094997312169
5,2016,31/5/15,28/5/18,1908650000,316041000,471877000,1111765000,626283000,154799000,83451000,25570000,915275000,CAL-MAINE FOODS INC,16160,6.56,MS,0.2842696073360827,0.3452962224468056,0.3072690721510391,0.2472307652005344,0.16558352762423703,7.504799223496423,5.6498304394195396,0.027936958837507853
6,2015,1/6/14,30/5/15,1576128000,161254000,234767000,928653000,508964000,146260000,101546000,50860000,703564000,CAL-MAINE FOODS INC,16160,3.35,MS,0.17364289998524746,0.22919592247471446,0.22841039656362494,0.14895173488447638,0.10231021845941446,5.01215212809958,3.5718196679337444,0.07228908812844319
7,2014,2/6/13,31/5/14,1440907000,109207000,146052000,811661000,445393000,146117000,121101000,61093000,593833000,CAL-MAINE FOODS INC,16160,2.27,MS,0.13454755125600465,0.18390187140155564,0.20981665991097267,0.10136115654931234,0.07579045698299751,3.6778639317594406,2.471292557452044,0.10287909227004899
8,2013,3/6/12,1/6/13,1288104000,50423000,59593000,745627000,414881000,147993000,130195000,65020000,517732000,CAL-MAINE FOODS INC,16160,1.05,MS,0.06762496529766224,0.09739208702571987,0.15482674313027828,0.04626412153055964,0.0391451311384795,3.1866123891086446,2.0499097507584776,0.12558621062634723
9,2012,29/5/11,2/6/12,1113116000,89735000,88652000,726316000,442202000,117158000,140656000,76220000,479125000,CAL-MAINE FOODS INC,16160,3.76,MS,0.12354815259473838,0.18728932950691365,0.22848870188733278,0.07964309200478656,0.08061603642387676,3.1438545102946196,2.3109145717210784,0.15908165927471954
