Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,entity.name,entity.cik,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2019,1/1/19,31/12/19,40089457.0,-6635296.0,-1185778.0,24069329,22835356,31506,14253879,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,9685288,-0.29,CA,-0.27567432394978686,-0.6850902110499967,-0.27567432394978686,-0.029578300349640554,-0.16551224427908814,1.602045029286414,1.5998346835973563,0.0
1,2018,1/1/18,31/12/18,30650402.0,343821.0,2589346.0,32511042,31690093,1643033,19784528,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,12726514,0.02,CA,0.010575514620540308,0.02701611768941597,0.010575514620540308,0.08448000127371902,0.011217503770423631,1.601761386473309,1.5187150282281185,0.0
2,2017,1/1/17,31/12/17,17270069.0,5309036.0,1796131.0,20004586,19073381,2745991,8873669,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,10670835,0.51,CA,0.26539094585611517,0.4975277005032877,0.26539094585611517,0.10400253756947932,0.307412552897154,2.1494357069212295,1.839981860941624,0.0
3,2016,1/1/16,31/12/16,9620929.0,891030.0,872726.0,6084990,4472718,0,10329042,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-4244052,0.17,CA,0.1464308076102015,-0.20994794597238678,0.1464308076102015,0.09071119847158211,0.0926137174486996,0.43302350789163213,0.43302350789163213,-0.0
4,2015,1/1/15,31/12/15,,-677358.0,-243341.0,63154,50981,0,11163608,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-11100454,-0.34,CA,-10.725496405611679,0.06102074743969931,-10.725496405611679,,,0.0045667135571223925,0.0045667135571223925,-0.0
5,2014,1/1/14,31/12/14,,-707556.0,-527558.0,24615,17243,0,10000640,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-11847161,-0.35,CA,-28.744911639244364,0.0597236755708815,-28.744911639244364,,,0.0017241896518622808,0.0017241896518622808,-0.0
6,2013,1/1/13,31/12/13,,3713866.0,-556852.0,28485,16530,0,8436384,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-11256864,0.01,CA,130.3797086185712,-0.32992012695542916,130.3797086185712,,,0.001959370270485554,0.001959370270485554,-0.0
7,2012,1/1/12,31/12/12,,-1342432.0,-595559.0,42046,26081,0,12002449,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-13806281,-0.003,CA,-31.92769823526614,0.09723342585885367,-31.92769823526614,,,0.00217297319905296,0.00217297319905296,-0.0
8,2011,1/1/11,31/12/11,,-1691319.0,-1422789.0,62999,42677,0,10593526,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-12345438,-0.005,CA,-26.84675947237258,0.13699951350450262,-26.84675947237258,,,0.004028592557378912,0.004028592557378912,-0.0
9,2010,1/1/10,31/12/10,88056.0,-2275783.0,-2037783.0,131944,106022,0,8768262,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-10372770,-0.006,CA,-17.248097677802704,0.21939973603964996,-17.248097677802704,-23.14189833742164,-25.84472381211956,0.012091563869784001,0.012091563869784001,-0.0
10,2009,1/1/09,31/12/09,38292.0,-3780621.0,-2073310.0,425465,169982,0,6553102,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-7932417,-0.01,CA,-8.885856650958363,0.47660391530097324,-8.885856650958363,-54.14472996970647,-98.73135380758383,0.02593916590951888,0.02593916590951888,-0.0
11,2008,1/1/08,31/12/08,226869.0,-3683821.0,-1839450.0,5323694,3910254,351786,7910310,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-4394029,0.037000000000000005,CA,-0.6919670815039332,0.8383697513147956,-0.6919670815039332,-8.107983021038573,-16.237656973848345,0.4943237369964009,0.4498519021378429,-0.0
12,2007,1/1/07,31/12/07,,,,3675180,1487532,818329,2854458,0,KIWA BIO-TECH PRODUCTS GROUP CORP,1159275,-2084771,-0.038,CA,,,,,,0.5211259020101189,0.23444135454086204,-0.0
