Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,entity.name,entity.cik,inventory,current_liability,debt,equity,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
0,2020,1/1/20,31/12/20,8681700000.0,666100000,412900000,19789800000.0,3521200000.0,MOSAIC CO,1285785.0,1739200000.0,3146500000.0,4073800000.0,9581400000.0,1.76,FL,0.033658753499277404,0.06952011188344083,0.23951227399973724,0.047559809714687214,0.07672460462812583,1.119084697282695,0.5663435563324328,0.42517794894274324
1,2019,1/1/19,31/12/19,8906300000.0,-1067400000,-1094900000,19298500000.0,3718200000.0,Mosaic Co,1285785.0,2076400000.0,2591700000.0,4525500000.0,9185500000.0,-2.78,FL,-0.05530999818638754,-0.1162048881389146,0.17919009249423531,-0.12293545018694632,-0.11984774822316786,1.434656788980206,0.6334838137130069,0.49267867835175005
2,2018,1/1/18,31/12/18,9587300000.0,470000000,928300000,20119200000.0,4237000000.0,Mosaic Co,1285785.0,2270200000.0,2483700000.0,4491500000.0,10397300000.0,1.22,FL,0.02336076981192095,0.045204043357410094,0.24660523281243787,0.0968260094082797,0.049023186924368696,1.705922615452752,0.7918830776663849,0.4319871505102286
3,2017,1/1/17,31/12/17,7409400000.0,-107200000,465700000,18633400000.0,4616500000.0,Mosaic Co,1285785.0,1533900000.0,2031100000.0,4878100000.0,9617500000.0,-0.31,FL,-0.005753110006762051,-0.011146347803483234,0.25604022883639055,0.06285259265257645,-0.014468108078926768,2.272906306927281,1.5176997685982965,0.5072108136210034
4,2016,1/1/16,31/12/16,7162800000.0,297800000,319000000,16840700000.0,3057700000.0,MOSAIC CO,1285785.0,1391100000.0,1476800000.0,3779300000.0,9584600000.0,0.85,FL,0.01768335045455355,0.031070675875884232,0.24209801255292238,0.044535656447199416,0.04157592003127269,2.0704902491874324,1.1285211267605635,0.394309621684786
5,2015,1/1/15,31/12/15,8895300000.0,1000400000,1278800000,17389500000.0,4143400000.0,MOSAIC CO,1285785.0,1563500000.0,2047000000.0,3769500000.0,9531800000.0,2.79,FL,0.05752896863049541,0.10495394364128496,0.27429770838724515,0.1437613121536092,0.11246388542263892,2.024132877381534,1.260332193453835,0.39546570427411404
6,2014,1/1/14,31/12/14,9055800000.0,1028600000,1311800000,18283000000.0,5215500000.0,MOSAIC CO,1285785.0,1718300000.0,1596700000.0,3778000000.0,10703100000.0,2.69,FL,0.056259913580922166,0.09610299819678411,0.2628999617130668,0.14485743943108284,0.11358466397226087,3.266424500532348,2.1902674265672952,0.35298184638095503
7,2013,1/6/13,31/12/13,4765900000.0,331600000,416900000,19554000000.0,8105800000.0,MOSAIC CO,1285785.0,1432900000.0,3265900000.0,3008900000.0,11302300000.0,0.8,FL,0.016958167126930553,0.029339161055714325,0.17083461184412396,0.08747560796491743,0.06957762437315093,2.481949845371873,2.043204017269359,0.2662201498809977
8,2013,1/6/12,31/5/13,9974100000.0,1873500000,2209600000,18086000000.0,6880500000.0,MOSAIC CO,1285785.0,1557300000.0,1764900000.0,1009600000.0,13425400000.0,4.44,FL,0.1035884109255778,0.1395489147436948,0.15941059382948136,0.2215337724706991,0.18783649652600234,3.898521162672106,3.0161482236953936,0.07520073889790993
9,2012,1/6/11,31/5/12,11107800000.0,1917500000,2611100000,16690400000.0,6581100000.0,MOSAIC CO,1285785.0,1237600000.0,1917700000.0,1010000000.0,11999400000.0,4.44,FL,0.11488640176388823,0.15979965664949913,0.17540023007237693,0.23506905057707198,0.1726264426799186,3.4317672211503365,2.7864108046096887,0.08417087521042718
10,2011,1/6/10,31/5/11,9937800000.0,2518500000,2664200000,15786900000.0,6684900000.0,MOSAIC CO,1285785.0,1266400000.0,1928500000.0,761300000.0,11641600000.0,5.62,FL,0.15953100355357924,0.2163362424409016,0.20775453065516347,0.26808750427660044,0.253426311658516,3.466372828623282,2.8096966554316825,0.0653947910940077
11,2010,1/6/09,31/5/10,6759100000.0,827100000,1270800000,12707700000.0,4974800000.0,MOSAIC CO,1285785.0,1002300000.0,1303900000.0,,8722200000.0,1.86,FL,0.06508652234472014,0.09482699318979157,,0.18801319702327232,0.12236836265183235,3.815323260986272,3.046629342741008,
12,2009,1/6/08,31/5/09,,2350200000,2400900000,,,,,,,,,5.29,FL,,,,,,,,
