name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalAssets,"680,293,000","670,098,000","593,587,000","535,592,000","429,956,000","443,539,000","473,171,000","447,443,000","399,890,000","339,141,000","281,799,000","254,711,000","286,937,000","248,581,000","262,376,000","183,227,000","122,346,000","106,734,000","75,448,200","68,564,900","66,090,900","55,579,300","58,800,000","55,200,000","48,000,000","39,300,000","40,900,000","36,000,000","32,900,000","31,800,000","29,600,000","21,000,000","14,600,000","11,200,000","9,500,000"
	CurrentAssets,"331,725,000","336,199,000","310,188,000","254,883,000","227,075,000","236,831,000","287,049,000","249,506,000","222,317,000","178,465,000","118,645,000","119,676,000","145,511,000","125,440,000","145,570,000","106,818,000","74,016,000","63,670,000","43,774,400","44,375,000","45,746,500","34,072,700","36,000,000","36,400,000","29,400,000","24,700,000","23,900,000","17,400,000","12,500,000","10,000,000","6,100,000","5,400,000","4,900,000","6,100,000","4,400,000"
		CashCashEquivalentsAndShortTermInvestments,"15,923,000","6,581,000","6,168,000","11,337,000","7,869,000","5,524,000","4,885,000","6,680,000","38,476,000","35,085,000","1,158,000","383,000","1,229,000","3,201,000","1,844,000","1,342,000","457,000","887,000","3,274,600","853,000","361,000","550,200","800,000","700,000","600,000","300,000","300,000","300,000","100,000","100,000","200,000","1,300,000","1,000,000","1,000,000","800,000"
			CashAndCashEquivalents,"15,923,000","6,581,000","6,168,000","11,337,000","7,869,000","5,524,000","4,885,000","6,680,000","38,476,000","35,085,000","1,158,000","383,000","1,229,000","3,201,000","1,844,000","1,342,000","457,000","887,000","3,274,600","853,000","361,000","550,200","800,000","700,000","600,000","300,000","300,000","300,000","100,000","100,000","200,000","1,300,000","1,000,000","1,000,000","800,000"
				CashFinancial,,,,,,,,"6,680,000","38,476,000","35,085,000","1,158,000","383,000",,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"141,519,000","155,848,000","134,029,000","109,605,000","87,206,000","75,557,000","94,387,000","85,040,000","77,303,000","70,001,000","40,811,000","44,638,000","51,968,000","56,570,000","75,744,000","60,269,000","28,305,000","28,197,000","17,194,200","17,114,600","22,849,700","15,953,000","18,600,000","21,700,000","16,700,000","15,500,000","15,500,000","10,900,000","6,700,000","5,400,000","2,900,000","1,100,000","1,500,000","3,100,000","1,500,000"
			AccountsReceivable,"130,029,000","136,075,000","123,320,000","102,534,000","83,777,000","72,835,000","86,027,000","74,060,000","76,073,000","68,611,000","33,833,000","40,681,000","51,405,000","55,925,000","75,158,000","58,955,000","27,773,000","27,803,000","16,975,000","17,114,600","22,849,700","15,953,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"133,326,000","138,375,000","124,583,000","102,580,000","83,819,000","73,258,000","86,193,000","74,452,000","76,696,000","68,951,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-3,297,000","-2,300,000","-1,263,000","-46,000","-42,000","-423,000","-166,000","-392,000","-623,000","-340,000",,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,046,000","2,824,000",,,,"168,000","5,964,000","10,088,000","0","203,000","6,715,000","3,575,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"8,444,000","16,949,000","10,709,000","7,071,000","3,429,000","2,554,000","2,396,000","892,000","1,230,000","1,187,000","263,000","382,000","563,000","645,000","586,000","1,314,000","532,000","394,000","219,200","0","0",,,,,,,,,,,,,,
		Inventory,"163,784,000","163,313,000","159,895,000","123,124,000","120,576,000","136,477,000","165,631,000","139,830,000","87,951,000","71,068,000","74,054,000","72,512,000","90,626,000","63,455,000","66,628,000","44,359,000","43,635,000","33,389,000","21,227,700","24,029,800","21,202,800","16,749,900","15,700,000","12,900,000","11,400,000","8,300,000","7,200,000","5,400,000","5,300,000","3,900,000","2,000,000","1,900,000","1,700,000","1,600,000","1,700,000"
			RawMaterials,"14,369,000","11,396,000","12,598,000","15,529,000","16,744,000","16,021,000","22,778,000","12,958,000","13,051,000","10,045,000","6,738,000","6,396,000","6,882,000","6,595,000","8,568,000","4,193,000","4,391,000","3,230,000",,"4,624,900",,,,,,,,,,,,,,,
			FinishedGoods,"149,415,000","151,917,000","147,297,000","107,595,000","103,832,000","120,456,000","142,853,000","126,872,000","74,900,000","61,023,000","67,316,000","66,116,000","83,744,000","56,860,000","58,060,000","40,166,000","39,244,000","30,159,000",,"19,404,900",,,,,,,,,,,,,,,
			OtherInventories,,,,"0","0","0","0","0","0",,"0","0","0","0","0","0","0","0",,"0",,,,,,,,,,,,,,,
		PrepaidAssets,"10,499,000","10,457,000","10,096,000","10,817,000","11,424,000","11,172,000","13,415,000","11,435,000","13,710,000","2,311,000","2,622,000","2,143,000","1,688,000","2,214,000","1,354,000","848,000","1,479,000","1,057,000","870,300","1,145,900",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,"8,101,000","8,731,000","6,521,000","4,877,000",,,,,,,,"140,000","140,000","289,200","1,231,700",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,"8,101,000","8,731,000","6,521,000","4,877,000",,,,,,,,"140,000","140,000","289,200","1,231,700",,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,"10,817,000","0","0","0","0","0",,"0","0","0","0","0","0","0","0","918,400","0","1,333,000","819,600","900,000","1,100,000","700,000","600,000","900,000","800,000","400,000","600,000","1,000,000","1,100,000","700,000","400,000","400,000"
	TotalNonCurrentAssets,"348,568,000","333,899,000","283,399,000","280,709,000","202,881,000","206,708,000","186,122,000","197,937,000","177,573,000","160,676,000","163,154,000","135,035,000","141,426,000","123,141,000","116,806,000","76,409,000","48,330,000","43,064,000","31,673,800","24,189,900","20,344,400","21,506,600","22,800,000","18,800,000","18,600,000","14,600,000","17,000,000","18,600,000","20,400,000","21,800,000","23,500,000","15,600,000","9,700,000","5,100,000","5,100,000"
		NetPPE,"77,580,000","67,779,000","49,252,000","49,321,000","50,295,000","47,972,000","50,026,000","52,468,000","45,701,000","39,273,000","40,541,000","39,196,000","41,241,000","36,541,000","36,863,000","34,339,000","26,118,000","21,677,000","19,983,700","13,398,000","9,223,600","10,725,000","12,800,000","13,600,000","12,900,000","13,700,000","15,200,000","16,100,000","16,800,000","17,800,000","19,400,000","12,500,000","7,600,000","4,600,000","4,500,000"
			GrossPPE,"178,481,000","162,614,000","138,451,000","134,435,000","133,569,000","139,591,000","133,241,000","131,419,000","116,159,000","106,458,000","100,197,000","92,193,000","87,871,000","86,209,000","80,360,000","73,090,000","59,904,000","51,421,000","46,971,400","39,184,000","18,236,400","34,270,600","33,900,000","32,100,000","29,200,000","27,800,000","27,200,000","26,100,000","24,800,000","24,300,000","24,000,000","16,000,000","12,000,000","8,400,000","7,800,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
				LandAndImprovements,"2,756,000","2,706,000","2,548,000","2,458,000","2,458,000","2,458,000","2,458,000","2,458,000","2,458,000","2,458,000","2,458,000","2,458,000","2,458,000","2,652,000","2,652,000","2,441,000","2,441,000","2,441,000","2,441,400","2,441,400",,,,,,,,,,,,,,,
				BuildingsAndImprovements,"19,786,000","18,640,000","17,555,000","16,678,000","15,515,000","14,726,000","14,380,000","14,167,000","12,537,000","10,172,000","8,131,000","7,368,000","7,330,000","6,791,000","6,699,000","5,202,000","5,105,000","4,903,000","4,791,700","4,776,700",,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"133,349,000","124,747,000","115,835,000","113,382,000","107,549,000","118,994,000","112,971,000","104,179,000","97,801,000","91,324,000","84,134,000","81,263,000","75,529,000","71,580,000","63,591,000","51,708,000","48,359,000","42,279,000","28,583,700","27,073,400",,,,,,,,,,,,,,,
				OtherProperties,"12,198,000","11,258,000",,"0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,
				ConstructionInProgress,"10,392,000","5,263,000","2,513,000","1,917,000","8,047,000","3,413,000","3,432,000","10,615,000","3,363,000","2,504,000","5,474,000","1,104,000","2,554,000","5,186,000","7,418,000","13,739,000","3,999,000","1,798,000","11,154,600","4,892,500",,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-100,901,000","-94,835,000","-89,199,000","-85,114,000","-83,274,000","-91,619,000","-83,215,000","-78,951,000","-70,458,000","-67,185,000","-59,656,000","-52,997,000","-46,630,000","-49,668,000","-43,497,000","-38,751,000","-33,786,000","-29,744,000","-26,987,700","-25,786,000","-9,012,800","-23,545,600","-21,100,000","-18,500,000","-16,300,000","-14,100,000","-12,000,000","-10,000,000","-8,000,000","-6,500,000","-4,600,000","-3,500,000","-4,400,000","-3,800,000","-3,300,000"
