name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalAssets,"550,188,000","578,439,000","525,231,000","511,054,000","540,901,000","640,484,000","1,166,719,000","1,175,273,000","994,623,000","932,870,000","828,884,000","768,990,000","705,077,000","146,727,060","129,314,306"
	CurrentAssets,"135,788,000","145,343,000","145,358,000","111,946,000","123,743,000","195,799,000","202,487,000","178,629,000","162,356,000","276,645,000","208,822,000","204,339,000","198,376,000","47,447,489","50,853,372"
		CashCashEquivalentsAndShortTermInvestments,"19,515,000","20,603,000","33,222,000","1,068,000","4,464,000","59,830,000","78,023,000","15,608,000","57,747,000","170,614,000","121,690,000","100,947,000","116,573,000","1,960,406","285,947"
			CashAndCashEquivalents,"19,515,000","20,603,000","33,222,000","1,068,000","4,464,000","9,307,000","67,589,000","394,000","33,619,000","73,372,000","76,133,000","89,792,000","116,573,000","1,960,406","285,947"
				CashFinancial,,,,,"4,464,000","9,056,000","16,506,000","18,000","6,063,000",,,,,,
				CashEquivalents,,,,,"0","251,000","51,083,000","376,000","27,556,000",,,,,,
			OtherShortTermInvestments,,,,,"0","50,523,000","10,434,000","15,214,000","24,128,000","97,242,000","45,557,000","11,155,000",,,
		Receivables,"24,372,000","24,996,000","25,758,000","24,490,000","20,028,000","24,625,000","32,275,000","44,016,000","43,936,000","40,695,000","31,471,000","29,004,000","25,459,000","23,763,454","28,267,563"
			AccountsReceivable,"22,516,000","23,749,000","25,161,000","15,076,000","10,343,000","9,743,000","28,561,000","20,837,000","31,508,000","29,304,000","24,928,000","19,640,000","15,107,000","23,251,154","28,267,563"
			TaxesReceivable,,,"0","2,663,000","1,379,000",,"114,000","15,722,000","3,306,000","4,493,000","6,543,000","9,364,000",,,
			OtherReceivables,"1,856,000","1,247,000","597,000","6,751,000","8,306,000","14,882,000","3,600,000","7,457,000","9,122,000","6,898,000",,,"10,352,000","512,300",
		Inventory,"88,673,000","94,220,000","82,046,000","83,126,000","94,355,000","106,531,000","84,094,000","105,011,000","53,275,000","55,390,000","48,094,000","61,949,000","49,318,000","18,501,012","20,994,887"
			RawMaterials,"10,879,000","13,044,000","9,351,000","8,727,000","19,658,000","21,562,000","20,373,000","20,605,000","17,309,000","14,517,000","12,536,000","8,232,000",,"2,806,086",
			WorkInProcess,"28,833,000","25,591,000","24,325,000","19,822,000","22,126,000","19,769,000","19,584,000","17,841,000","9,110,000","7,789,000","11,160,000","6,801,000","5,619,000",,
			FinishedGoods,"48,961,000","55,585,000","48,370,000","54,577,000","52,571,000","65,200,000","44,137,000","66,565,000","26,856,000","33,084,000","24,398,000","46,916,000","34,337,000","8,613,729",
			OtherInventories,,,,"0","0","0","0","0","0",,"0","0","9,362,000","7,081,197",
		PrepaidAssets,,,,"3,051,000","4,063,000","4,358,000","4,739,000","5,653,000","5,393,000","5,015,000","4,016,000","2,632,000","5,804,000","3,222,617","1,304,975"
