name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988
TotalAssets,"366,575,000","322,597,000","277,892,000","240,328,000","225,336,000","194,310,000","160,599,000","151,329,000","163,171,000","169,157,000","133,631,000","121,137,000","145,132,000","225,932,000","224,304,000","204,584,000","189,500,000","187,037,000","173,130,000","166,218,000","174,450,000","155,779,000","157,400,000","162,000,000","165,300,000","172,800,000","176,700,000","168,100,000","126,700,000","120,300,000","109,700,000","102,300,000","104,600,000","92,700,000"
	CurrentAssets,"222,283,000","184,206,000","154,623,000","134,742,000","110,901,000","91,180,000","82,245,000","71,886,000","78,091,000","78,058,000","57,361,000","48,633,000","80,787,000","116,080,000","91,289,000","82,538,000","73,646,000","76,424,000","69,625,000","74,981,000","82,168,000","62,921,000","59,400,000","56,000,000","50,200,000","47,200,000","41,400,000","40,100,000","54,400,000","55,100,000","51,300,000","44,000,000","45,900,000","36,600,000"
		CashCashEquivalentsAndShortTermInvestments,"21,662,000","3,309,000","5,025,000","3,084,000","1,569,000","747,000","5,641,000","2,857,000","0","384,000","8,198,000","7,102,000","1,158,000",,"7,236,000","16,786,000","10,384,000","6,488,000","17,539,000","28,736,000","33,454,000","7,728,000","4,100,000","4,700,000","6,000,000","3,800,000","500,000","3,800,000","20,100,000","12,200,000","9,900,000","9,700,000","9,200,000","3,800,000"
			CashAndCashEquivalents,"21,662,000","3,309,000","5,025,000","3,084,000","1,569,000","747,000","5,641,000","2,857,000","0","384,000","8,198,000","7,102,000","1,158,000",,"7,236,000","16,786,000","10,384,000","6,488,000","17,539,000","28,736,000","33,454,000","7,728,000","4,100,000","4,700,000","6,000,000","3,800,000","500,000","3,800,000","20,100,000","12,200,000","9,900,000","9,700,000","9,200,000","3,800,000"
				CashFinancial,"21,662,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"56,966,000","41,918,000","39,509,000","36,327,000","28,790,000","30,670,000","33,060,000","28,287,000","35,567,000","28,370,000","28,369,000","18,252,000","24,448,000","42,657,000","34,662,000","32,197,000","28,097,000","34,243,000","20,466,000","24,071,000","26,109,000","30,272,000","26,700,000","26,400,000","26,300,000","18,400,000","22,400,000","21,600,000","22,300,000","28,100,000","25,800,000","21,400,000","23,100,000","20,100,000"
			AccountsReceivable,"56,966,000","40,931,000","38,797,000","34,347,000","26,085,000","30,670,000","32,672,000","27,821,000","35,325,000","27,804,000","27,844,000","17,674,000","18,403,000","34,087,000","34,298,000","32,197,000","28,097,000","34,243,000","20,466,000","24,071,000","26,109,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"56,990,000",,"38,821,000","34,371,000","26,109,000","30,694,000","32,684,000","27,839,000","35,337,000","27,867,000","27,962,000",,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-24,000",,"-24,000","-24,000","-24,000","-24,000","-12,000","-18,000","-12,000","-63,000","-118,000",,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"0","987,000","712,000","1,980,000","2,705,000",,"388,000","466,000","242,000","566,000","525,000","578,000","6,045,000",,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,"34,347,000","26,085,000",,"32,684,000","27,839,000","0",,"0","17,674,000","18,403,000","8,570,000","364,000","0","0","0",,"0","0",,,,,,,,,,,,,
