name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalAssets,"47,348,000","32,574,000","24,024,000","16,570,000","56,574,000","74,242,000","24,889,000","9,542,000","13,359,000"
	CurrentAssets,"31,696,000","28,440,000","22,876,000","15,047,000","52,222,000","52,017,000","18,695,000","4,567,000","7,881,000"
		CashCashEquivalentsAndShortTermInvestments,"25,667,000","25,332,000","21,823,000","13,023,000","50,560,000","50,243,000","16,571,000","2,835,000","5,350,000"
			CashAndCashEquivalents,"14,042,000","8,417,000","11,998,000","9,125,000","2,013,000","23,973,000","16,571,000","2,835,000","5,350,000"
			OtherShortTermInvestments,"11,625,000","16,915,000","9,825,000","3,898,000","48,547,000","26,270,000",,,
		Receivables,"1,406,000","602,000","168,000","1,235,000","533,000","706,000","1,422,000","1,024,000","1,235,000"
			AccountsReceivable,"1,406,000","602,000","165,000","1,231,000","349,000","706,000","1,042,000","649,000","656,000"
				GrossAccountsReceivable,"1,406,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"0",,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,"0","100,000","100,000"
			OtherReceivables,,,"3,000","4,000","184,000","82,000","380,000","275,000","479,000"
		Inventory,"3,812,000","1,794,000","181,000","229,000","252,000","294,000","424,000","450,000","898,000"
		PrepaidAssets,"811,000","712,000","704,000","560,000","877,000","692,000","278,000","258,000","398,000"
		OtherCurrentAssets,,,,,,"82,000",,,
	TotalNonCurrentAssets,"15,652,000","4,134,000","1,148,000","1,523,000","4,352,000","22,225,000","6,194,000","4,975,000","5,478,000"
		NetPPE,"9,365,000","3,762,000","395,000","299,000","508,000","585,000","728,000","941,000","1,125,000"
			GrossPPE,"14,252,000","8,405,000","5,196,000","5,180,000","5,449,000","5,244,000","5,383,000","5,271,000","5,182,000"
				Properties,"0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"3,246,000","1,976,000","766,000","774,000","806,000","3,326,000","3,501,000","754,000","750,000"
				OtherProperties,"8,777,000","4,406,000","2,348,000","2,404,000","2,632,000","585,000",,"2,608,000","2,482,000"
				ConstructionInProgress,,,,,"20,000","18,000","0","27,000","70,000"
				Leases,"2,229,000","2,023,000","2,082,000","2,002,000","1,991,000","1,900,000","1,882,000","1,882,000","1,880,000"
