name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"254,883,000","261,112,000","430,101,000","324,140,000","880,626,000","985,829,000","1,064,870,000","1,158,072,000","975,437,000","818,382,000","935,011,000","824,544,000","894,296,000","1,110,983,000","983,277,028.4","799,123,103.5","172,881,637.912","703,543.412","257,388,000","97,434,000"
	CurrentAssets,"64,398,000","69,222,000","214,878,000","89,059,000","478,103,000","543,759,000","624,951,000","684,542,000","559,042,000","510,818,000","664,261,000","513,289,000","565,542,000","794,323,000","717,825,083.5","649,505,001.5","172,881,637.912","496,589.662",,
		CashCashEquivalentsAndShortTermInvestments,"22,482,000","3,198,000","1,990,000","3,245,000","54,509,000","66,025,000","46,268,000","131,978,000","152,789,000","129,942,000","299,672,000","121,755,000","102,263,000","296,282,000","287,524,898.4","237,934,118.5","821,449.103","496,589.662","78,698,000","37,308,000"
			CashAndCashEquivalents,"22,482,000","3,198,000","1,990,000","3,245,000","54,509,000","66,025,000","46,268,000","131,978,000","152,789,000","129,942,000","299,672,000","121,755,000","102,263,000","162,314,000","140,832,550.9","237,934,118.5","821,449.103","496,589.662","78,698,000","37,308,000"
				CashEquivalents,,,,,,,,"132,457,000",,,"299,672,000","121,755,000",,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,"0","133,968,000","146,692,347.5",,,,,
		Receivables,"25,416,000","35,371,000","129,506,000","55,940,000","539,000","2,099,000","3,767,000","6,512,000","11,306,000","13,954,000","17,900,000","14,421,000","14,841,000","11,894,000","21,504,347.9",,,,,
			AccountsReceivable,"3,111,000","1,481,000","0",,"491,000","2,051,000","1,021,000","1,949,000","7,065,000","6,616,000","10,048,000","5,692,000","4,686,000","2,750,000","12,454,042.1",,,,,
				GrossAccountsReceivable,,,,,"5,578,000","6,896,000","6,902,000","14,059,000","13,817,000","9,330,000","10,890,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,"-5,087,000","-4,845,000","-5,881,000","-12,110,000","-6,752,000","-2,714,000","-842,000",,,,,,,,,
			TaxesReceivable,,,,,"48,000","48,000","48,000","1,163,000","2,159,000","2,155,000","2,745,000","1,725,000","1,697,000","1,760,000",,,,,,
			DuefromRelatedPartiesCurrent,"22,305,000","33,890,000","129,506,000","55,940,000",,"0","2,698,000","3,400,000","2,082,000","5,183,000","5,107,000",,,"7,384,000",,,,,,
			OtherReceivables,,,,"0","0","0",,"0","6,752,000","0","5,107,000","7,004,000","8,458,000","0","9,050,305.8",,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,"-6,752,000",,,,,,,,,,,
		Inventory,"13,568,000","28,527,000","81,947,000","1,223,000","368,086,000","439,562,000","516,368,000","470,811,000","282,544,000","210,826,000","283,174,000","341,770,000","387,734,000","449,207,000","343,279,836.4","355,855,659.5",,,,
			RawMaterials,,"0","2,144,000","1,223,000",,,,,,,,,,,,,,,,
			WorkInProcess,"13,568,000","28,527,000","85,035,000",,"385,790,000","420,655,000","498,384,000","436,251,000","266,632,000","111,945,000","172,389,000","203,833,000","168,964,000",,"113,444,714.5","199,819,125",,,,
			FinishedGoods,,,,,"39,426,000","65,080,000","71,571,000","86,861,000","43,459,000","120,134,000","110,785,000","137,937,000","218,770,000",,"230,869,668.2","155,988,093.5",,,,
			OtherInventories,,,,"0","0","0",,"0","0","0","0","0","0",,"-1,034,546.3","48,441",,,,
			InventoriesAdjustmentsAllowances,,,"-5,232,000","0","-57,130,000","-46,173,000","-53,587,000","-52,301,000","-27,547,000","-21,253,000",,,,,,,,,,
		PrepaidAssets,"2,473,000","1,964,000","1,314,000","6,550,000","33,132,000","35,321,000","42,289,000","73,997,000","111,168,000","91,041,000","44,677,000","35,343,000","60,704,000","36,940,000","1,690,022.2","2,890,313","410,033.326",,,
		RestrictedCash,"147,000",,,"0","21,181,000","0","15,670,000",,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"3,028,000",,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"3,028,000",,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,"22,027,000",,,,,,,,,,,,,,,,
		OtherCurrentAssets,"312,000","162,000","121,000","74,000","656,000","752,000","589,000","1,244,000","1,235,000","62,027,000","18,838,000","0","0","0","63,825,978.6","52,824,910.5","171,650,155.483","0",,
	TotalNonCurrentAssets,"190,485,000","191,890,000","215,223,000","235,081,000","402,524,000","442,070,000","439,919,000","473,530,000","416,395,000","307,564,000","270,750,000","311,255,000","328,754,000","316,660,000","265,451,944.9","149,618,102","0","206,953.75",,
