name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008
TotalAssets,"1,032,880,000","1,137,955,000","1,254,388,000","1,234,276,000","1,312,217,000","536,482,000","578,839,000","593,454,000","622,954,000","659,309,000","452,165,000","551,499,000","499,865,000"
	CurrentAssets,"118,214,000","130,594,000","193,981,000","118,918,000","134,531,000","98,772,000","129,578,000","135,780,000","166,048,000","271,863,000","73,168,000","163,126,000","101,417,000"
		CashCashEquivalentsAndShortTermInvestments,"30,559,000","36,994,000","61,776,000","49,173,000","55,595,000","49,967,000","79,914,000","85,142,000","127,848,000","236,975,000","42,745,000","5,440,000","9,075,000"
			CashAndCashEquivalents,"30,559,000","36,994,000","61,776,000","49,173,000","55,595,000","49,967,000","79,914,000","85,142,000","127,848,000","236,975,000","42,745,000","5,440,000","9,075,000"
		Receivables,"36,896,000","34,264,000","61,662,000","9,855,000","13,924,000","7,187,000","7,136,000","7,549,000","6,805,000","9,322,000","7,354,000","133,781,000","61,193,000"
			AccountsReceivable,"36,896,000","34,264,000","61,662,000","9,855,000","13,924,000","7,187,000","7,136,000","7,549,000","6,805,000","9,322,000","5,036,000","2,779,000","5,990,000"
				GrossAccountsReceivable,,,,"9,883,000","13,970,000","7,214,000","7,170,000","7,599,000","6,889,000","9,398,000","5,079,000",,
				AllowanceForDoubtfulAccountsReceivable,,,,"-28,000","-46,000","-27,000","-34,000","-50,000","-84,000","-76,000","-43,000",,
			AccruedInterestReceivable,,,,,,,,,,,"2,318,000",,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,"0",,
			OtherReceivables,,,,,,,,,,,,"131,002,000","55,203,000"
		Inventory,"42,349,000","53,930,000","63,554,000","54,097,000","58,167,000","37,529,000","35,614,000","33,064,000","28,949,000","23,255,000","19,830,000","21,936,000","27,631,000"
			RawMaterials,"32,534,000","36,318,000","38,417,000","40,503,000","42,307,000","27,940,000","23,221,000","24,215,000","23,715,000","4,578,000","16,185,000",,
			WorkInProcess,,,,,,,,,,"12,547,000",,,
			FinishedGoods,"9,815,000","17,612,000","25,137,000","13,594,000","15,860,000","9,589,000","12,393,000","8,849,000","5,234,000","6,130,000","3,645,000","6,624,000","7,699,000"
			OtherInventories,,,,,,,,,,,,"15,312,000","19,932,000"
		PrepaidAssets,"8,410,000","5,406,000","6,989,000","5,793,000","6,845,000","4,089,000","6,914,000","10,025,000","2,446,000","2,311,000",,"1,969,000","3,518,000"
		OtherCurrentAssets,,,,,,,,,,,"3,239,000",,
	TotalNonCurrentAssets,"914,666,000","1,007,361,000","1,060,407,000","1,115,358,000","1,177,686,000","437,710,000","449,261,000","457,674,000","456,906,000","387,446,000","378,997,000","388,373,000","398,448,000"
		NetPPE,"897,847,000","951,959,000","1,015,240,000","1,069,526,000","1,130,121,000","393,133,000","404,934,000","412,956,000","411,600,000","341,495,000","337,938,000","347,258,000","357,405,000"
			GrossPPE,"1,450,892,000","1,433,588,000","1,427,983,000","1,410,756,000","1,399,741,000","602,138,000","589,157,000","570,044,000","543,140,000","455,369,000","433,864,000","425,695,000","417,232,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"14,132,000","14,075,000","13,250,000","13,092,000","12,995,000","5,441,000","5,263,000","5,032,000","2,611,000","2,563,000","2,492,000","1,689,000","1,312,000"
				BuildingsAndImprovements,"17,598,000","17,221,000","17,116,000","16,990,000","14,881,000","3,049,000","2,266,000","2,191,000","1,223,000","815,000","724,000","650,000","650,000"
				MachineryFurnitureEquipment,"1,405,343,000","1,395,342,000","1,362,965,000","1,371,015,000","1,362,277,000","592,007,000","575,113,000","557,527,000","406,878,000","400,581,000","397,872,000","390,174,000","386,174,000"
				OtherProperties,"1,721,000","1,752,000","34,652,000",,,,,,,,,,
				ConstructionInProgress,"12,098,000","5,198,000",,"9,659,000","9,588,000","1,641,000","6,515,000","5,294,000","132,428,000","51,410,000","32,776,000","33,182,000","29,096,000"
			AccumulatedDepreciation,"-553,045,000","-481,629,000","-412,743,000","-341,230,000","-269,620,000","-209,005,000","-184,223,000","-157,088,000","-131,540,000","-113,874,000","-95,926,000","-78,437,000","-59,827,000"
		GoodwillAndOtherIntangibleAssets,"0","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,995,000","40,999,000","41,005,000","41,015,000","41,025,000","41,035,000"
			Goodwill,"0","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000","40,969,000"
			OtherIntangibleAssets,,,,,,,,"26,000","30,000","36,000","46,000","56,000","66,000"
		NonCurrentDeferredAssets,,,,,,,"272,000","1,236,000","2,200,000","3,164,000",,,
		OtherNonCurrentAssets,"16,819,000","14,433,000","4,198,000","4,863,000","6,596,000","3,608,000","3,086,000","2,487,000","2,107,000","1,782,000","44,000","90,000","8,000"
TotalLiabilitiesNetMinorityInterest,"718,639,000","718,411,000","754,562,000","684,423,000","687,310,000","150,930,000","164,908,000","153,533,000","176,761,000","169,820,000","49,962,000","31,615,000","41,057,000"
	CurrentLiabilities,"76,341,000","75,531,000","122,635,000","56,095,000","63,016,000","25,914,000","39,707,000","27,386,000","49,475,000","42,454,000","46,076,000","27,634,000","40,977,000"
		PayablesAndAccruedExpenses,"37,307,000","37,265,000","51,164,000","43,200,000","50,445,000","22,666,000","25,239,000","25,807,000","47,648,000","28,343,000","27,166,000","17,369,000","35,229,000"
			Payables,"24,761,000","23,647,000","29,765,000","25,011,000","30,557,000","12,474,000","14,123,000","18,510,000","41,215,000","22,894,000","24,783,000","7,476,000","21,572,000"
				AccountsPayable,"19,544,000","21,069,000","26,789,000","23,518,000","28,815,000","11,103,000","12,747,000","17,137,000","34,099,000","15,869,000","17,758,000","7,476,000","21,572,000"
				TotalTaxPayable,,,,"1,493,000","1,742,000","1,371,000","1,376,000","1,373,000","7,116,000","7,025,000","7,025,000",,
				DuetoRelatedPartiesCurrent,"5,217,000","2,578,000","2,976,000",,,,,,,,,,
			CurrentAccruedExpenses,"12,546,000","13,618,000","21,399,000","18,189,000","19,888,000","10,192,000","11,116,000","7,297,000","6,433,000","5,449,000","2,383,000","9,893,000","13,657,000"
				InterestPayable,"2,506,000","2,518,000","2,516,000","2,683,000","2,683,000","458,000","458,000","458,000","500,000","885,000",,,
