Date,High,Low,Open,Close,Volume,Adj Close
1980-03-17,148.0,136.0,0.0,136.0,1875.0,125.50934600830078
1980-03-18,152.0,140.0,0.0,140.0,1125.0,129.20082092285156
1980-03-19,164.0,152.0,0.0,152.0,1113.0,140.2751922607422
1980-03-20,168.0,156.0,0.0,156.0,950.0,143.9666290283203
1980-03-21,168.0,156.0,0.0,156.0,700.0,143.9666290283203
1980-03-24,140.0,128.0,0.0,128.0,1038.0,118.12644958496094
1980-03-25,132.0,120.0,0.0,120.0,1063.0,110.74356079101562
1980-03-26,128.0,116.0,0.0,116.0,325.0,107.05210876464844
1980-03-27,104.0,92.0,0.0,92.0,1263.0,84.90339660644531
1980-03-28,140.0,128.0,0.0,128.0,1925.0,118.12644958496094
1980-03-31,132.0,120.0,0.0,120.0,838.0,110.74356079101562
1980-04-01,132.0,120.0,0.0,120.0,438.0,110.74356079101562
1980-04-02,136.0,124.0,0.0,124.0,350.0,114.43500518798828
1980-04-03,128.0,116.0,0.0,116.0,163.0,107.05210876464844
1980-04-07,128.0,116.0,0.0,116.0,238.0,107.05210876464844
1980-04-08,136.0,124.0,0.0,124.0,775.0,114.43500518798828
1980-04-09,140.0,128.0,0.0,128.0,788.0,118.12644958496094
1980-04-10,136.0,124.0,0.0,124.0,100.0,114.43500518798828
1980-04-11,132.0,120.0,0.0,120.0,213.0,110.74356079101562
1980-04-14,124.0,112.0,0.0,112.0,313.0,103.36064910888672
1980-04-15,116.0,104.0,0.0,104.0,750.0,95.97773742675781
1980-04-16,116.0,104.0,0.0,104.0,1688.0,95.97773742675781
1980-04-17,116.0,104.0,0.0,104.0,650.0,95.97773742675781
1980-04-18,116.0,104.0,0.0,104.0,1375.0,95.97773742675781
1980-04-21,116.0,104.0,0.0,104.0,563.0,95.97773742675781
1980-04-22,116.0,104.0,0.0,104.0,438.0,95.97773742675781
1980-04-23,116.0,108.0,0.0,108.0,1663.0,99.66919708251953
1980-04-24,128.0,120.0,0.0,120.0,1325.0,110.74356079101562
1980-04-25,128.0,120.0,0.0,120.0,750.0,110.74356079101562
1980-04-28,124.0,116.0,0.0,116.0,1138.0,107.05210876464844
1980-04-29,124.0,116.0,0.0,116.0,850.0,107.05210876464844
1980-04-30,120.0,112.0,0.0,112.0,838.0,103.36064910888672
1980-05-01,124.0,116.0,0.0,116.0,1288.0,107.05210876464844
1980-05-02,126.0,118.0,0.0,118.0,313.0,108.8978271484375
1980-05-05,130.0,122.0,0.0,122.0,388.0,112.58927917480469
1980-05-06,126.0,118.0,0.0,118.0,1038.0,108.8978271484375
1980-05-07,124.0,116.0,0.0,116.0,900.0,107.05210876464844
1980-05-08,124.0,116.0,0.0,116.0,388.0,107.05210876464844
1980-05-09,124.0,116.0,0.0,116.0,475.0,107.05210876464844
1980-05-12,118.0,110.0,0.0,110.0,750.0,101.51493072509766
1980-05-13,116.0,108.0,0.0,108.0,450.0,99.66919708251953
1980-05-14,116.0,108.0,0.0,108.0,675.0,99.66919708251953
1980-05-15,118.0,110.0,0.0,110.0,463.0,101.51493072509766
1980-05-16,120.0,112.0,0.0,112.0,438.0,103.36064910888672
1980-05-19,120.0,112.0,0.0,112.0,250.0,103.36064910888672
1980-05-20,116.0,108.0,0.0,108.0,750.0,99.66919708251953
1980-05-21,116.0,108.0,0.0,108.0,675.0,99.66919708251953
1980-05-22,116.0,108.0,0.0,108.0,488.0,99.66919708251953
1980-05-23,116.0,108.0,0.0,108.0,438.0,99.66919708251953
1980-05-27,116.0,108.0,0.0,108.0,988.0,99.66919708251953
1980-05-28,122.0,114.0,0.0,114.0,1813.0,105.20637512207031
1980-05-29,118.0,110.0,0.0,110.0,1600.0,101.51493072509766
1980-05-30,124.0,116.0,0.0,116.0,663.0,107.05210876464844
1980-06-02,136.0,128.0,0.0,128.0,1575.0,118.12644958496094
1980-06-03,138.0,130.0,0.0,130.0,888.0,119.9721908569336
1980-06-04,156.0,148.0,0.0,148.0,1075.0,136.5836944580078
1980-06-05,150.0,142.0,0.0,142.0,863.0,131.04652404785156
1980-06-06,148.0,140.0,0.0,140.0,525.0,129.20082092285156
1980-06-09,154.0,146.0,0.0,146.0,638.0,134.73800659179688
1980-06-10,146.0,138.0,0.0,138.0,1113.0,127.35509490966797
1980-06-11,150.0,142.0,0.0,142.0,450.0,131.04652404785156
1980-06-12,150.0,142.0,0.0,142.0,275.0,131.04652404785156
1980-06-13,156.0,148.0,0.0,148.0,1063.0,136.5836944580078
1980-06-16,148.0,140.0,0.0,140.0,750.0,129.20082092285156
1980-06-17,146.0,138.0,0.0,138.0,500.0,127.35509490966797
1980-06-18,154.0,146.0,0.0,146.0,500.0,134.73800659179688
1980-06-19,148.0,140.0,0.0,140.0,650.0,129.20082092285156
1980-06-20,150.0,142.0,0.0,142.0,175.0,131.04652404785156
1980-06-23,152.0,144.0,0.0,144.0,225.0,132.89227294921875
1980-06-24,152.0,144.0,0.0,144.0,238.0,132.89227294921875
1980-06-25,158.0,150.0,0.0,150.0,713.0,138.429443359375
1980-06-26,160.0,152.0,0.0,152.0,463.0,140.2751922607422
1980-06-27,160.0,152.0,0.0,152.0,438.0,140.2751922607422
1980-06-30,164.0,156.0,0.0,156.0,925.0,143.9666290283203
1980-07-01,164.0,156.0,0.0,156.0,438.0,143.9666290283203
1980-07-02,166.0,158.0,0.0,158.0,675.0,145.81236267089844
1980-07-03,168.0,160.0,0.0,160.0,900.0,147.65809631347656
1980-07-07,164.0,160.0,0.0,160.0,788.0,147.65809631347656
1980-07-08,166.0,164.0,0.0,164.0,1638.0,151.34954833984375
1980-07-09,164.0,160.0,0.0,160.0,625.0,147.65809631347656
1980-07-10,160.0,156.0,0.0,156.0,400.0,143.9666290283203
1980-07-11,162.0,158.0,0.0,158.0,263.0,145.81236267089844
1980-07-14,160.0,156.0,0.0,156.0,713.0,143.9666290283203
1980-07-15,154.0,150.0,0.0,150.0,700.0,138.429443359375
1980-07-16,156.0,152.0,0.0,152.0,425.0,140.2751922607422
1980-07-17,158.0,156.0,0.0,156.0,938.0,143.9666290283203
1980-07-18,160.0,158.0,0.0,158.0,250.0,145.81236267089844
1980-07-21,162.0,160.0,0.0,160.0,238.0,147.65809631347656
1980-07-22,160.0,158.0,0.0,158.0,550.0,145.81236267089844
1980-07-23,160.0,158.0,0.0,158.0,775.0,145.81236267089844
1980-07-24,160.0,156.0,0.0,156.0,113.0,143.9666290283203
1980-07-25,162.0,158.0,0.0,158.0,275.0,145.81236267089844
1980-07-28,162.0,158.0,0.0,158.0,438.0,145.81236267089844
1980-07-29,160.0,158.0,0.0,158.0,225.0,145.81236267089844
1980-07-30,156.0,152.0,0.0,152.0,313.0,140.2751922607422
1980-07-31,152.0,148.0,0.0,148.0,588.0,136.5836944580078
1980-08-01,156.0,150.0,0.0,150.0,588.0,138.429443359375
1980-08-04,156.0,150.0,0.0,150.0,200.0,138.429443359375
1980-08-05,156.0,152.0,0.0,152.0,425.0,140.2751922607422
1980-08-06,158.0,156.0,0.0,156.0,200.0,143.9666290283203
1980-08-07,158.0,154.0,0.0,154.0,575.0,142.1208953857422
1980-08-08,156.0,154.0,0.0,154.0,200.0,142.1208953857422
1980-08-11,154.0,148.0,0.0,148.0,913.0,136.5836944580078
1980-08-12,152.0,148.0,0.0,148.0,1225.0,136.5836944580078
1980-08-13,150.0,146.0,0.0,146.0,563.0,134.73800659179688
1980-08-14,152.0,150.0,0.0,150.0,225.0,138.429443359375
1980-08-15,152.0,148.0,0.0,148.0,238.0,136.5836944580078
1980-08-18,150.0,146.0,0.0,146.0,375.0,134.73800659179688
1980-08-19,148.0,144.0,0.0,144.0,425.0,132.89227294921875
1980-08-20,154.0,152.0,0.0,152.0,975.0,140.2751922607422
1980-08-21,156.0,152.0,0.0,152.0,1000.0,140.2751922607422
1980-08-22,158.0,152.0,0.0,152.0,475.0,140.2751922607422
1980-08-25,156.0,150.0,0.0,150.0,425.0,138.429443359375
1980-08-26,154.0,150.0,0.0,150.0,463.0,138.429443359375
1980-08-27,154.0,150.0,0.0,150.0,325.0,138.429443359375
1980-08-28,152.0,148.0,0.0,148.0,313.0,136.5836944580078
1980-08-29,152.0,148.0,0.0,148.0,63.0,136.5836944580078
1980-09-02,158.0,154.0,0.0,154.0,10225.0,142.1208953857422
1980-09-03,160.0,156.0,0.0,156.0,638.0,143.9666290283203
1980-09-04,168.0,164.0,0.0,164.0,975.0,151.34954833984375
1980-09-05,184.0,182.0,0.0,182.0,1925.0,167.96104431152344
1980-09-08,198.0,192.0,0.0,192.0,1888.0,177.189697265625
1980-09-09,200.0,198.0,0.0,198.0,1938.0,182.72689819335938
1980-09-10,202.0,198.0,0.0,198.0,1425.0,182.72689819335938
1980-09-11,202.0,198.0,0.0,198.0,1138.0,182.72689819335938
1980-09-12,204.0,200.0,0.0,200.0,875.0,184.57261657714844
1980-09-15,198.0,194.0,0.0,194.0,1125.0,179.03543090820312
1980-09-16,204.0,198.0,0.0,198.0,1663.0,182.72689819335938
1980-09-17,202.0,200.0,0.0,200.0,1250.0,184.57261657714844
1980-09-18,202.0,200.0,0.0,200.0,1200.0,184.57261657714844
1980-09-19,204.0,200.0,0.0,200.0,888.0,184.57261657714844
1980-09-22,232.0,228.0,0.0,228.0,3313.0,210.41275024414062
1980-09-23,232.0,230.0,0.0,230.0,3038.0,212.2584991455078
1980-09-24,230.0,226.0,0.0,226.0,2125.0,208.56703186035156
1980-09-25,218.0,214.0,0.0,214.0,1800.0,197.49267578125
1980-09-26,210.0,204.0,0.0,204.0,888.0,188.2640380859375
1980-09-29,202.0,198.0,0.0,198.0,1263.0,182.72689819335938
1980-09-30,222.0,216.0,0.0,216.0,1388.0,199.33839416503906
1980-10-01,226.0,220.0,0.0,220.0,650.0,203.0298614501953
1980-10-02,224.0,218.0,0.0,218.0,713.0,201.18414306640625
1980-10-03,216.0,210.0,0.0,210.0,1000.0,193.8012237548828
1980-10-06,216.0,208.0,0.0,208.0,475.0,191.95547485351562
1980-10-07,208.0,202.0,0.0,202.0,800.0,186.41830444335938
1980-10-08,212.0,206.0,0.0,206.0,838.0,190.1097869873047
1980-10-09,218.0,216.0,0.0,216.0,425.0,199.33839416503906
1980-10-10,224.0,220.0,0.0,220.0,525.0,203.0298614501953
1980-10-13,226.0,222.0,0.0,222.0,300.0,204.8755645751953
1980-10-14,224.0,220.0,0.0,220.0,350.0,203.0298614501953
1980-10-15,222.0,220.0,0.0,220.0,163.0,203.0298614501953
1980-10-16,222.0,218.0,0.0,218.0,600.0,201.18414306640625
1980-10-17,214.0,210.0,0.0,210.0,900.0,193.8012237548828
1980-10-20,206.0,200.0,0.0,200.0,450.0,184.57261657714844
1980-10-21,186.0,182.0,0.0,182.0,1300.0,167.96104431152344
1980-10-22,196.0,194.0,0.0,194.0,900.0,179.03543090820312
1980-10-23,192.0,186.0,0.0,186.0,888.0,171.6525421142578
1980-10-24,192.0,186.0,0.0,186.0,313.0,171.6525421142578
1980-10-27,194.0,190.0,0.0,190.0,688.0,175.34396362304688
1980-10-28,192.0,184.0,0.0,184.0,175.0,169.80679321289062
1980-10-29,194.0,190.0,0.0,190.0,788.0,175.34396362304688
1980-10-30,194.0,190.0,0.0,190.0,363.0,175.34396362304688
1980-10-31,184.0,180.0,0.0,180.0,775.0,166.11534118652344
1980-11-03,186.0,182.0,0.0,182.0,775.0,167.96104431152344
1980-11-05,188.0,182.0,0.0,182.0,1075.0,167.96104431152344
1980-11-06,160.0,154.0,0.0,154.0,1563.0,142.1208953857422
1980-11-07,160.0,156.0,0.0,156.0,1025.0,143.9666290283203
1980-11-10,164.0,160.0,0.0,160.0,2325.0,147.65809631347656
1980-11-11,166.0,162.0,0.0,162.0,425.0,149.50381469726562
1980-11-12,166.0,164.0,0.0,164.0,350.0,151.34954833984375
1980-11-13,168.0,164.0,0.0,164.0,488.0,151.34954833984375
1980-11-14,174.0,168.0,0.0,168.0,450.0,155.0409698486328
1980-11-17,174.0,168.0,0.0,168.0,313.0,155.0409698486328
1980-11-18,178.0,174.0,0.0,174.0,538.0,160.57818603515625
1980-11-19,184.0,178.0,0.0,178.0,1100.0,164.26962280273438
1980-11-20,202.0,196.0,0.0,196.0,838.0,180.8811492919922
1980-11-21,200.0,196.0,0.0,196.0,675.0,180.8811492919922
1980-11-24,194.0,188.0,0.0,188.0,675.0,173.49822998046875
1980-11-25,190.0,186.0,0.0,186.0,338.0,171.6525421142578
1980-11-26,192.0,186.0,0.0,186.0,338.0,171.6525421142578
1980-11-28,192.0,186.0,0.0,186.0,213.0,171.6525421142578
1980-12-01,192.0,188.0,0.0,188.0,1438.0,173.49822998046875
1980-12-02,190.0,186.0,0.0,186.0,425.0,171.6525421142578
1980-12-03,192.0,188.0,0.0,188.0,675.0,173.49822998046875
1980-12-04,192.0,188.0,0.0,188.0,600.0,173.49822998046875
1980-12-05,190.0,186.0,0.0,186.0,763.0,171.6525421142578
1980-12-08,182.0,176.0,0.0,176.0,488.0,162.42388916015625
1980-12-09,166.0,162.0,0.0,162.0,1213.0,149.50381469726562
1980-12-10,160.0,154.0,0.0,154.0,1400.0,142.1208953857422
1980-12-11,146.0,142.0,0.0,142.0,1763.0,131.04652404785156
1980-12-12,168.0,164.0,0.0,164.0,2588.0,151.34954833984375
