name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
TotalRevenue,"4,642,100,000","4,609,800,000","4,727,800,000","2,878,600,000","3,282,400,000","3,276,500,000","4,037,700,000","3,874,800,000","3,748,300,000","3,377,900,000","3,116,300,000","2,826,200,000","3,115,300,000","2,632,900,000","2,347,000,000","2,150,200,000","2,051,200,000","1,921,400,000","1,852,900,000","1,943,000,000","3,925,500,000","4,110,600,000","4,378,400,000","4,312,600,000","5,080,600,000","4,509,800,000","4,010,800,000","3,753,900,000","3,973,700,000","3,899,400,000","3,722,200,000","3,414,500,000","3,286,900,000","3,139,100,000","3,002,700,000"
"	OperatingRevenue","4,642,100,000","4,609,800,000","4,727,800,000","2,878,600,000","3,282,400,000","3,276,500,000","4,037,700,000","3,874,800,000","3,748,300,000","3,377,900,000","3,116,300,000","2,826,200,000","3,115,300,000","2,632,900,000","2,347,000,000","2,150,200,000","2,051,200,000","1,921,400,000","1,852,900,000","1,943,000,000","3,925,500,000","4,110,600,000","4,378,400,000","4,312,600,000","5,080,600,000","4,509,800,000","4,010,800,000","3,753,900,000","3,973,700,000","3,899,400,000","3,722,200,000","3,414,500,000","3,286,900,000","3,139,100,000","3,002,700,000"
CostOfRevenue,"2,590,100,000","2,526,200,000","2,640,900,000","1,777,300,000","2,082,600,000","2,201,100,000","2,662,700,000","2,534,400,000","2,407,100,000","2,210,500,000","2,065,600,000","1,943,600,000","2,134,400,000","1,830,100,000","1,636,500,000","1,505,500,000","1,474,200,000","1,400,500,000","1,359,900,000","1,408,700,000","2,683,100,000","2,827,700,000","3,037,400,000","2,952,000,000","3,471,800,000","3,083,200,000","2,712,600,000","2,608,700,000","2,754,800,000","2,718,800,000","2,560,000,000","2,319,700,000","2,234,200,000","2,144,000,000","2,045,000,000"
GrossProfit,"2,052,000,000","2,083,600,000","2,086,900,000","1,101,300,000","1,199,800,000","1,075,400,000","1,375,000,000","1,340,400,000","1,341,200,000","1,167,400,000","1,050,700,000","882,600,000","980,900,000","802,800,000","710,500,000","644,700,000","577,000,000","520,900,000","493,000,000","534,300,000","1,242,400,000","1,282,900,000","1,341,000,000","1,360,600,000","1,608,800,000","1,426,600,000","1,298,200,000","1,145,200,000","1,218,900,000","1,180,600,000","1,162,200,000","1,094,800,000","1,052,700,000","995,100,000","957,700,000"
OperatingExpense,"1,042,500,000","1,199,700,000","1,164,600,000","776,700,000","707,800,000","903,300,000","793,200,000","639,700,000","650,700,000","547,700,000","511,700,000","415,100,000","430,600,000","409,900,000","381,800,000","364,800,000","348,200,000","324,300,000","306,100,000","666,200,000","865,900,000","908,500,000","977,000,000","1,037,700,000","1,136,300,000","1,066,700,000","983,500,000","1,087,600,000","912,000,000","855,900,000","855,000,000","793,800,000","771,600,000","726,200,000","708,900,000"
"	SellingGeneralAndAdministration","729,700,000","792,900,000","851,200,000","618,600,000","529,500,000","737,900,000","621,200,000","515,800,000","527,100,000","442,500,000","411,200,000","322,300,000","336,800,000","315,300,000","284,900,000","270,400,000","254,800,000","236,900,000","224,100,000","566,400,000","522,500,000","575,400,000","612,700,000","625,300,000","692,700,000","817,800,000","587,700,000","861,000,000","678,900,000","631,000,000","643,800,000","596,000,000","572,300,000","525,700,000","516,800,000"
"	ResearchAndDevelopment","287,900,000","298,100,000","291,500,000","141,500,000","141,500,000","143,700,000","128,300,000","117,700,000","117,800,000","105,200,000","100,500,000","92,800,000","93,800,000","94,600,000","96,900,000","94,400,000","93,400,000","87,400,000","82,000,000","99,800,000","154,500,000","152,400,000","157,700,000","174,000,000","189,400,000",,"166,800,000",,,,,,,,
"	DepreciationAmortizationDepletionIncomeStatement",,,,,,,,,,,,,"124,200,000",,,,,,,,"188,900,000","180,700,000","206,600,000","238,400,000","254,200,000","248,900,000","229,000,000","226,600,000","233,100,000","224,900,000","211,200,000","197,800,000","199,300,000","200,500,000","192,100,000"
"		DepreciationAndAmortizationInIncomeStatement",,,,,,,,,,,,,"124,200,000",,,,,,,,"188,900,000","180,700,000","206,600,000","238,400,000","254,200,000","248,900,000","229,000,000","226,600,000","233,100,000","224,900,000","211,200,000","197,800,000","199,300,000","200,500,000","192,100,000"
"	OtherOperatingExpenses","24,900,000","108,700,000","21,900,000","16,600,000","36,800,000","21,700,000","43,700,000","6,200,000","5,800,000",,,,"-124,200,000",,,,,,,,,,,,,,,,,,,,,,
