name,ttm,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007
TotalRevenue,"241,356,490","249,243,496","294,320,803","287,053,530","285,213,040","268,785,020","263,354,288","233,402,088","216,897,956","217,524,205","179,717,966","52,090,752","35,207,997","22,604,719",0
"	OperatingRevenue","181,486,915","185,852,736","222,880,777","221,191,445","219,605,502","268,785,020","263,354,288","233,402,088","216,897,956","217,524,205","179,717,966","52,090,752","35,207,997","22,604,719",0
CostOfRevenue,"201,849,856","204,492,918","229,678,123","212,944,597","201,440,955","175,755,689","159,398,386","142,203,315","137,514,102","138,248,972","116,097,931","21,138,551","14,712,066","9,792,856",0
GrossProfit,"39,506,634","44,750,578","64,642,680","74,108,933","83,772,085","93,029,331","103,955,902","91,198,773","79,383,854","79,275,233","63,620,035","30,952,201","20,495,931","12,811,862",0
OperatingExpense,"206,875,019","178,922,936","45,837,932","44,307,146","51,794,314","60,437,412","62,242,978","50,719,298","23,998,392","25,350,223","21,508,604","6,025,580","3,405,918","3,494,946","22,310"
"	SellingGeneralAndAdministration","206,875,019","178,922,936","45,837,932","44,307,146","51,794,314","60,437,412","62,242,978","50,719,298","23,998,392","25,350,223","21,508,604","6,025,579","3,405,918","3,494,946","22,310"
"		GeneralAndAdministrativeExpense","192,400,920","165,022,621","22,571,811","24,494,654","19,321,999","11,841,228","11,330,440","14,515,884","9,632,523","13,801,407","14,386,699","3,822,234","1,993,817","2,567,661","22,310"
"			OtherGandA","192,400,920","165,022,621","22,571,811","24,494,654","19,321,999","11,841,228","11,330,440","14,515,884","9,632,523","13,801,407","14,386,699","3,822,234","1,993,817","2,567,661","22,310"
"		SellingAndMarketingExpense","14,474,099","13,900,315","23,266,121","19,812,492","32,472,315","48,596,184","50,912,538","36,203,414","14,365,869","11,548,816","7,121,905","2,203,345","1,412,101","927,285",
"	OtherOperatingExpenses",,,,,,,,,,,,1,,,
OperatingIncome,"-167,368,385","-134,172,358","18,804,748","29,801,787","31,977,771","32,591,919","41,712,924","40,479,475","55,385,462","53,925,010","42,111,431","24,926,621","17,090,013","9,316,917","-22,310"
NetNonOperatingInterestIncomeExpense,"-150,021","-127,272","-273,480","-89,423","-231,246","-510,286","-1,410,159","-1,240,519","-1,040,434","-1,226,084","-184,185","162,974","-299,245","-889,610",-3
"	InterestIncomeNonOperating","113,305","176,799","321,645","502,730","318,404","485,673","302,480","140,310","310,723","364,536","282,727","275,449","334,948","50,106",
"	InterestExpenseNonOperating","263,326","304,071","595,125","592,153","549,650","995,959","1,712,639","1,380,829","1,351,157","1,590,620","466,912","112,475","634,193","933,053",3
"	TotalOtherFinanceCost",,,,,,,,,,,,,,"6,663",
OtherIncomeExpense,"-58,354","-107,579","-443,533","-831,856","-82,491","-5,473","59,176","-5,663,315","613,008","60,212","23,999","-5,321","5,202","43,694",
"	SpecialIncomeCharges",,,0,"-331,995",,,0,"-5,161,815",,"60,212","23,999","-5,321","5,202","43,694",
"		WriteOff",,,,,,,0,"5,161,815",,,,,,,
"		GainOnSaleOfBusiness",,,0,"-331,995",,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","-58,354","-107,579","-443,533","-499,861","-82,491","-5,473","59,176","-501,500","613,008",,,,,,
PretaxIncome,"-167,576,761","-134,407,208","18,087,735","28,880,508","31,664,034","32,076,160","40,361,941","33,575,641","54,958,036","52,759,138","41,951,245","25,084,274","16,795,970","8,471,001","-22,313"
TaxProvision,"5,768,273","2,344,928","6,497,340","35,852,127","6,511,880","7,371,967","8,916,815","8,060,946","10,183,988","10,801,313","9,037,144","3,794,515","2,331,548","692,474",
NetIncomeCommonStockholders,"-173,345,034","-136,752,136","11,590,395","-6,931,225","25,152,154","24,704,193","31,445,126","25,514,695","44,774,048","41,957,825","32,914,101","21,289,758","14,464,422","7,778,527","-22,313"
"	NetIncome","-173,345,034","-136,752,136","11,590,395","-6,931,225","25,152,154","24,704,193","31,445,126","25,514,695","44,774,048","41,957,825","32,914,101","21,289,758","14,464,422","7,778,527","-22,313"
"		NetIncomeIncludingNoncontrollingInterests","-173,345,034","-136,752,136","11,590,395","-6,931,225","25,152,154","24,704,193","31,445,126","25,514,695","44,774,048","41,957,825","32,914,101","21,289,758","14,464,422","7,778,527","-22,313"
"			NetIncomeContinuousOperations","-173,345,034","-136,752,136","11,590,395","-6,971,619","25,152,154","24,704,193","31,445,126","25,514,695","44,774,048","41,957,825","32,914,101","21,289,758","14,464,422","7,778,527","-22,313"
"			NetIncomeDiscontinuousOperations",,,0,"40,394",,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-173,345,034","-136,752,136","11,590,395","-6,931,225","25,152,154","24,704,193","31,445,126","25,514,695","44,774,048","41,957,825","32,914,101","21,289,758","14,464,422","7,778,527","-22,313"
BasicEPS,,-24.33,3.42,-2.16,7.92,8.04,11.16,9.72,19.32,18.72,15.24,10.92,9.36,5.078,-0.87
DilutedEPS,,-24.33,3.42,-2.16,7.92,8.04,11.16,9.72,19.32,18.72,15.24,10.92,9.36,5.078,-0.87
BasicAverageShares,,"5,619,788","3,388,529","3,219,300","3,174,406","3,058,619","2,831,963","2,616,906","2,314,654","2,245,285","2,160,784","1,955,679","1,539,866","1,531,802","25,635"
DilutedAverageShares,,"5,619,788","3,388,529","3,219,300","3,174,406","3,058,619","2,831,963","2,616,906","2,314,654","2,245,285","2,160,784","1,955,679","1,544,376","1,531,802","25,635"
TotalOperatingIncomeAsReported,"-167,368,385","-134,172,358","18,804,748","29,801,787","31,977,771","32,591,919","41,712,924","35,317,660","55,385,462","53,925,010","42,111,431","24,926,621","17,090,013","9,316,917","-22,310"
TotalExpenses,"408,724,875","383,415,854","275,516,055","257,251,743","253,235,269","236,193,101","221,641,364","192,922,613","161,512,494","163,599,195","137,606,535","27,164,131","18,117,984","13,287,802","22,310"
NetIncomeFromContinuingAndDiscontinuedOperation,"-173,345,034","-136,752,136","11,590,395","-6,931,225","25,152,154","24,704,193","31,445,126","25,514,695","44,774,048","41,957,825","32,914,101","21,289,758","14,464,422","7,778,527","-22,313"
NormalizedIncome,"-173,345,034","-136,752,136","11,590,395","-6,722,622.75","25,152,154","24,704,193","31,445,126","29,437,245.14","44,774,048","41,909,940.13","32,895,271.87","21,294,274.09","14,459,942.12","7,738,404.83","-22,313"
InterestIncome,"113,305","176,799","321,645","502,730","318,404","485,673","302,480","140,310","310,723","364,536","282,727","275,449","334,948","50,106",
InterestExpense,"263,326","304,071","595,125","592,153","549,650","995,959","1,712,639","1,380,829","1,351,157","1,590,620","466,912","112,475","634,193","933,053",3
NetInterestIncome,"-150,021","-127,272","-273,480","-89,423","-231,246","-510,286","-1,410,159","-1,240,519","-1,040,434","-1,226,084","-184,185","162,974","-299,245","-889,610",-3
EBIT,"-167,313,435","-134,103,137","18,682,860","29,472,661","32,213,684","33,072,119","42,074,580","34,956,470","56,309,193","54,349,758","42,418,157","25,196,749","17,430,163","9,404,054","-22,310"
EBITDA,"-163,117,700",,,,,,,,,,,,,,
ReconciledCostOfRevenue,"201,849,856","204,492,918","229,678,123","212,944,597","201,440,955","175,755,689","159,398,386","142,203,315","137,514,102","138,248,972","116,097,931","21,138,551","14,712,066","9,792,856",0
ReconciledDepreciation,"4,195,735","4,698,482","4,920,779","6,200,506","17,408,120","40,311,189","47,709,523","33,261,249","14,764,046","5,992,866","5,748,258","2,598,117","1,603,014","1,093,506",
NetIncomeFromContinuingOperationNetMinorityInterest,"-173,345,034","-136,752,136","11,590,395","-6,971,619","25,152,154","24,704,193","31,445,126","25,514,695","44,774,048","41,957,825","32,914,101","21,289,758","14,464,422","7,778,527","-22,313"
TotalUnusualItemsExcludingGoodwill,,,0,"-331,995",,,0,"-5,161,815",,"60,212","23,999","-5,321","5,202","43,694",
TotalUnusualItems,,,0,"-331,995",,,0,"-5,161,815",,"60,212","23,999","-5,321","5,202","43,694",
NormalizedEBITDA,"-163,117,700","-129,404,655","23,603,639","36,005,162","49,621,804","73,383,308","89,784,103","73,379,534","71,073,239","60,282,412","48,142,416","27,800,187","19,027,975","10,453,866","-22,310"
TaxRateForCalcs,0.25,0.25,0.359,0.25,0.206,0.23,0.221,0.24,0.185,0.205,0.215,0.151,0.139,0.082,0
TaxEffectOfUnusualItems,0,0,0,"-82,998.75",0,0,0,"-1,239,264.86",0,"12,327.13","5,169.87",-804.911,722.12,"3,571.83",0
,,,,,,,,,,,,,,,
ROA,,-0.399710234,0.024096435,-0.014350779,0.05519677,0.058990506,0.073199251,0.064904687,0.12839234,0.145671186,0.147351728,0.161545568,0.234741829,0.15707411,-4.285193009
