name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003
TotalRevenue,"5,043,000,000","5,043,000,000","5,271,000,000","5,556,000,000","5,418,000,000","5,363,000,000","5,405,000,000","6,110,710,000","6,271,542,000","6,672,241,000","7,067,834,000","5,691,537,000","4,554,316,000","6,904,049,000","4,100,284,000","3,258,161,000","2,986,001,000","2,714,955,000","2,270,906,000"
	OperatingRevenue,"5,043,000,000","5,043,000,000","5,271,000,000","5,556,000,000","5,418,000,000","5,363,000,000","5,405,000,000","6,110,710,000","6,271,542,000","6,502,698,000","7,067,834,000","5,691,537,000","4,554,316,000","6,904,049,000","4,100,284,000","3,258,161,000","2,986,001,000","2,714,955,000","2,270,906,000"
CostOfRevenue,"3,553,000,000","3,553,000,000","3,454,000,000","3,702,000,000","3,746,000,000","3,703,000,000","3,602,000,000","3,914,573,000","3,861,572,000","3,915,062,000","3,912,171,000","3,259,461,000","2,717,786,000","3,448,774,000","2,585,249,000","2,086,507,000","1,845,348,000","1,777,905,000","1,565,814,000"
GrossProfit,"1,490,000,000","1,490,000,000","1,817,000,000","1,854,000,000","1,672,000,000","1,660,000,000","1,803,000,000","2,196,137,000","2,409,970,000","2,757,179,000","3,155,663,000","2,432,076,000","1,836,530,000","3,455,275,000","1,515,035,000","1,171,654,000","1,140,653,000","937,050,000","705,092,000"
OperatingExpense,"1,288,000,000","1,288,000,000","1,073,000,000","1,157,000,000","1,065,000,000","1,174,000,000","1,152,000,000","1,259,393,000","1,302,460,000","1,181,076,000","1,223,823,000","1,089,980,000","901,981,000","1,081,066,000","800,375,000","635,209,000","579,324,000","582,682,000","502,069,000"
	SellingGeneralAndAdministration,"998,000,000","998,000,000","1,011,000,000","1,055,000,000","997,000,000","1,038,000,000","1,012,000,000","1,125,376,000","1,166,617,000","1,106,374,000","1,135,476,000","1,013,850,000","754,014,000","988,007,000","761,186,000","600,116,000","549,047,000","550,567,000","472,921,000"
		GeneralAndAdministrativeExpense,"232,000,000","232,000,000","886,000,000","935,000,000","870,000,000","316,000,000","934,000,000","974,404,000","1,014,087,000","958,372,000","404,567,000","344,198,000","195,889,000","332,083,000","237,443,000","189,766,000","162,349,000","160,427,000","148,291,000"
			SalariesAndWages,,,"286,000,000","297,000,000","312,000,000","25,000,000","311,000,000","313,009,000","365,760,000","348,817,000","293,371,000","261,462,000",,"252,309,000","177,224,000","142,915,000","119,290,000","116,594,000","111,327,000"
			RentAndLandingFees,,,,,,,"26,000,000",,,,,,,,,,,,
			InsuranceAndClaims,,,"499,000,000","553,000,000","467,000,000","-30,000,000","417,000,000","528,276,000","546,517,000","511,364,000",,,,,,,,,
			OtherGandA,"232,000,000","232,000,000","101,000,000","85,000,000","91,000,000","321,000,000","180,000,000","133,119,000","101,810,000","98,191,000","111,196,000","82,736,000","195,889,000","79,774,000","60,219,000","46,851,000","43,059,000","43,833,000","36,964,000"
		SellingAndMarketingExpense,"766,000,000","766,000,000","125,000,000","120,000,000","127,000,000","722,000,000","78,000,000","150,972,000","152,530,000","148,002,000","730,909,000","669,652,000","558,125,000","655,924,000","523,743,000","410,350,000","386,698,000","390,140,000","324,630,000"
	ResearchAndDevelopment,"54,000,000","54,000,000","50,000,000","55,000,000","55,000,000","73,000,000","74,000,000","86,943,000","82,870,000","77,198,000","72,195,000","64,064,000","53,823,000","57,317,000","39,189,000","35,093,000","30,277,000","32,115,000","29,148,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,"35,000,000",,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,"35,000,000",,,,,,,,,,,,
