name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"8,034,000","8,034,000","1,169,000","1,464,000","4,026,000","3,188,000","5,414,000","6,982,000","6,478,000","7,010,000"
"	OperatingRevenue","8,034,000","8,034,000","1,169,000","1,464,000","4,026,000","3,188,000","5,414,000","6,982,000","6,478,000","7,010,000"
CostOfRevenue,"5,199,000","5,199,000","885,000","661,000","283,000","895,000","892,000","1,997,000","673,000","909,000"
GrossProfit,"2,835,000","2,835,000","284,000","803,000","3,743,000","2,293,000","4,522,000","4,985,000","5,805,000","6,101,000"
OperatingExpense,"24,427,000","24,427,000","20,665,000","17,673,000","18,058,000","20,913,000","20,085,000","20,138,000","16,371,000","16,231,000"
"	SellingGeneralAndAdministration","16,467,000","16,467,000","13,567,000","11,604,000","10,651,000","12,250,000","11,119,000","10,126,000","7,967,000","8,283,000"
"	ResearchAndDevelopment","7,960,000","7,960,000","7,098,000","6,069,000","7,407,000","8,663,000","8,966,000","10,012,000","8,404,000","7,948,000"
OperatingIncome,"-21,592,000","-21,592,000","-20,381,000","-16,870,000","-14,315,000","-18,620,000","-15,563,000","-15,153,000","-10,566,000","-10,130,000"
NetNonOperatingInterestIncomeExpense,"-47,000","-47,000","-713,000","-2,555,000","-747,000","-1,319,000","-2,658,000","-1,394,000","-626,000","-186,000"
"	InterestExpenseNonOperating","47,000","47,000","5,000",0,"747,000","1,319,000","2,658,000","1,394,000","626,000","186,000"
"	TotalOtherFinanceCost",,,"708,000","2,555,000",,,,,,
OtherIncomeExpense,"15,489,000","15,489,000","-7,777,000","5,955,000","-619,000","340,000","291,000","-597,000","5,000","8,000"
"	GainOnSaleOfSecurity","6,570,000","6,570,000","-9,243,000","9,561,000",,,,,,
"	SpecialIncomeCharges","8,814,000","8,814,000",,0,"-900,000",0,"291,000","-597,000","5,000",
"		OtherSpecialCharges",,,,,"900,000",,"-291,000",,,
"		GainOnSaleOfBusiness","8,814,000","8,814,000",,,,,,,,
"	OtherNonOperatingIncomeExpenses","105,000","105,000","1,466,000","-3,606,000","281,000","340,000","521,000",,"5,000","8,000"
PretaxIncome,"-6,150,000","-6,150,000","-28,871,000","-13,470,000","-15,681,000","-19,599,000","-17,930,000","-17,144,000","-11,187,000","-10,308,000"
TaxProvision,"-124,000","-124,000","2,000","10,000","26,000","25,000","26,000","263,000","167,000","213,000"
EarningsFromEquityInterestNetOfTax,,,,,,,,"-932,000","-1,841,000","-1,849,000"
NetIncomeCommonStockholders,"-4,655,000","-4,655,000","-28,805,000","-13,480,000","-15,707,000","-19,624,000","-20,727,000","-22,077,000","-13,195,000","-12,370,000"
"	NetIncome","-4,655,000","-4,655,000","-28,805,000","-13,480,000","-15,707,000","-19,624,000","-17,956,000","-18,339,000","-13,195,000","-12,370,000"
"		NetIncomeIncludingNoncontrollingInterests","-6,026,000","-6,026,000","-28,873,000","-13,480,000","-15,707,000","-19,624,000","-17,956,000","-18,339,000","-13,195,000","-12,370,000"
"			NetIncomeContinuousOperations","-6,026,000","-6,026,000","-28,873,000","-13,480,000","-15,707,000","-19,624,000","-17,956,000","-18,339,000","-13,195,000","-12,370,000"
"		MinorityInterests","1,371,000","1,371,000","68,000",,,,,,,
"	PreferredStockDividends",,,,,,,"2,574,000","3,738,000",0,
"	OtherunderPreferredStockDividend",,,,,,,"2,771,000",,,
DilutedNIAvailtoComStockholders,"-4,655,000","-4,655,000","-28,805,000","-13,480,000","-15,707,000","-19,624,000","-20,727,000","-22,077,000","-13,195,000","-12,370,000"
