Date,High,Low,Open,Close,Volume,Adj Close
1980-01-02,3.0,3.0,3.0,3.0,200,3.0
1980-01-03,2.875,2.875,2.875,2.875,1500,2.875
1980-01-04,2.875,2.625,2.875,2.75,5300,2.75
1980-01-07,2.875,2.75,2.75,2.75,3400,2.75
1980-01-08,2.75,2.75,2.75,2.75,100,2.75
1980-01-09,2.875,2.875,2.875,2.875,100,2.875
1980-01-10,2.875,2.75,2.875,2.75,2000,2.75
1980-01-11,2.875,2.875,2.875,2.875,600,2.875
1980-01-14,2.875,2.875,2.875,2.875,0,2.875
1980-01-15,2.875,2.875,2.875,2.875,3400,2.875
1980-01-16,3.0,2.875,2.875,3.0,2600,3.0
1980-01-17,3.125,3.0,3.0,3.125,2500,3.125
1980-01-18,3.125,3.125,3.125,3.125,500,3.125
1980-01-21,3.25,3.125,3.125,3.125,300,3.125
1980-01-22,3.125,3.125,3.125,3.125,1500,3.125
1980-01-23,3.125,3.125,3.125,3.125,200,3.125
1980-01-24,3.125,3.0,3.125,3.125,2400,3.125
1980-01-25,3.125,3.125,3.125,3.125,0,3.125
1980-01-28,3.125,3.0,3.125,3.0,1600,3.0
1980-01-29,3.125,3.0,3.0,3.125,2900,3.125
1980-01-30,3.125,3.0,3.125,3.125,2000,3.125
1980-01-31,3.125,3.0,3.125,3.0,1500,3.0
1980-02-01,3.0,3.0,3.0,3.0,500,3.0
1980-02-04,3.125,2.875,3.0,2.875,700,2.875
1980-02-05,3.0,2.875,2.875,3.0,600,3.0
1980-02-06,3.0,2.875,3.0,3.0,2200,3.0
1980-02-07,2.875,2.875,2.875,2.875,2100,2.875
1980-02-08,2.875,2.875,2.875,2.875,0,2.875
1980-02-11,2.875,2.875,2.875,2.875,600,2.875
1980-02-12,2.875,2.875,2.875,2.875,3100,2.875
1980-02-13,3.0,2.875,2.875,2.875,2000,2.875
1980-02-14,2.875,2.875,2.875,2.875,0,2.875
1980-02-15,2.875,2.875,2.875,2.875,200,2.875
1980-02-19,2.75,2.75,2.75,2.75,1500,2.75
1980-02-20,2.875,2.875,2.875,2.875,1600,2.875
1980-02-21,2.875,2.875,2.875,2.875,2600,2.875
1980-02-22,2.875,2.75,2.875,2.75,1700,2.75
1980-02-25,2.75,2.75,2.75,2.75,200,2.75
1980-02-26,2.875,2.75,2.75,2.75,2200,2.75
1980-02-27,2.75,2.75,2.75,2.75,0,2.75
1980-02-28,2.75,2.75,2.75,2.75,300,2.75
1980-02-29,2.625,2.625,2.625,2.625,4500,2.625
1980-03-03,2.5,2.5,2.5,2.5,1900,2.5
1980-03-04,2.625,2.5,2.5,2.5,2100,2.5
1980-03-05,2.625,2.5,2.5,2.5,2800,2.5
1980-03-06,2.5,2.5,2.5,2.5,100,2.5
1980-03-07,2.625,2.5,2.5,2.625,1900,2.625
1980-03-10,2.5,2.5,2.5,2.5,800,2.5
1980-03-11,2.5,2.375,2.5,2.375,600,2.375
1980-03-12,2.375,2.375,2.375,2.375,500,2.375
1980-03-13,2.375,2.375,2.375,2.375,2600,2.375
1980-03-14,2.375,2.375,2.375,2.375,0,2.375
1980-03-17,2.25,2.25,2.25,2.25,1600,2.25
1980-03-18,2.375,2.25,2.25,2.375,2500,2.375
1980-03-19,2.375,2.375,2.375,2.375,2000,2.375
1980-03-20,2.375,2.375,2.375,2.375,2500,2.375
1980-03-21,2.375,2.375,2.375,2.375,100,2.375
1980-03-24,2.5,2.375,2.375,2.375,200,2.375
