name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
California,1,1,1,1,1,1,,,
Washington,1,1,1,1,1,1,,,
Idaho,1,1,1,1,1,1,,,
Arizona,1,1,1,1,1,1,,,
Oregon,1,1,0,0,0,0,,,
Hawaii,1,1,0,0,0,0,,,
,,,,,,,,,
,,,,,,,,,
ROA1,-0.098314607,-0.884294222,-0.561105561,-0.947917924,-0.346873122,-0.241857709,-0.736831532,-1.382833787,-0.925967513
ROA2,-0.116488576,-1.01788049,-0.664137557,-0.429481571,-0.300024462,-0.36226811,-1.065260957,-1.152351426,
Operating Margin,-2.687577794,-17.43455945,-11.52322404,-3.555638351,-5.840652447,-2.874584411,-2.170295044,-1.631058969,-1.445078459
Net Margin,-2.687577794,-17.43455945,-11.52322404,-3.555638351,-5.840652447,-2.874584411,-2.170295044,-1.631058969,-1.445078459
Return On Equity,-0.167899008,-3.738481506,-1.051892314,-1.961658549,-0.884043608,-0.446389062,9.728912467,0.762849049,2.176284307
Current Ratio,5.019955654,4.982480729,7.490504257,4.268652482,16.68967721,15.0773913,1.658975952,0.478520536,2.348331347
Quick ratio,4.416217928,4.668185004,7,4,17,15,2,0,2
ROC,-0.188283634,-2.491684995,-0.767311744,-1.119070813,-0.231759113,-0.140636943,-0.813145353,2.447290553,-2.840803109
D/E ratio,0.1137,0.0157,0,0,1.1319,0.6198,-7.679,-0.8378,-1.4075
EPS,-0.3460745,-3.331541013,-2.823084538,-7.359825017,-8.822221713,-8.127795967,-9.642782215,-6.938028864,-6.504237745
