Year,ALABAMA,ALASKA,ARIZONA ,ARKANSAS ,CALIFORNIA,COLORADO,CONNECTICUT ,DELAWARE ,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA ,KANSAS ,KENTUCKY ,LOUISIANA ,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN ,MINNESOTA,MISSISSIPPI,MISSOURI ,MONTANA,NEBRASKA ,NEVADA ,NEW HAMPSHIRE ,NEW JERSEY ,NEW MEXICO ,NEW YORK ,NORTH CAROLINA,NORTH DAKOTA,OHIO ,OKLAHOMA ,OREGON ,PENNSYLVANIA,PUERTO RICO ,RHODE ISLAND ,SOUTH CAROLINA ,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH ,VERMONT ,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
2002,20557,2176665,700101,15334,506696,926502,1843,1659,50328,160041,3660,84964,96,1691,1045,2672,26342,25942,784,4825,2611,966,62947,16651,4186,111821,427,77927,168,6053,419533,2044,34967,58686,3969,36727,1010952,1965,,213,30945,30679,14993,35044,237427,214,23344,92742,8681,2273,124823
2003,12260,559332,193475,25446,793402,27655,138,22,34366,9794,6465,312932,1346,4344,3417,52864,20931,18147,870,1140,1530,7002,144420,4803,49855,735619,3667,17582,99,1460,82528,704,8636,40498,516,1950,160191,924,0,91,2913,34471,8140,46827,115994,102,3743,200517,8094,6069,94514
2004,40033,6645978,219900,21182,242057,24996,94,0,169789,27500,656,13981,476,3351,585,9066,28247,25575,960,3147,1534,2754,42881,3002,2073,18446,400,39794,289,549,83238,390,20037,21358,3126,58893,30018,3,0,81,23584,1465,15080,24328,76654,244,244,92617,6007,2385,13021
2005,25456,4440149,975456,26317,202754,27390,263,231,35922,19263,4,442391,733,2568,10566,21670,60005,47468,822,4350,2530,4684,24944,5409,0,103267,2670,798,517,1532,1282,656,16801,10195,2920,146594,155331,1100,992,84,14436,15926,22857,158520,313932,574,5337,185748,2762,6311,17920
2006,55901,266266,75506,177427,678919,94483,419,126,199993,40202,9863,933548,1040,3468,827,85746,60534,42712,1794,6396,2821,8128,66540,178973,24308,1047323,7164,1279,472,2514,607802,1349023,24995,90794,3866,324011,545870,6822,472,120,14682,237807,36479,1564170,340572,232,19989,410060,15480,2287,202301
2007,64262,525017,101381,32212,1087110,20739,288,153,584495,837895,21030,1980552,611,5730,684,24260,60917,9341,423,5790,2687,23344,163111,16119,10537,778079,4074,890414,212,20849,97750,855,54658,41647,1578,70324,648046,1047,18913,61,17064,78013,48699,36304,620730,230,15019,214925,7149,4713,78004
2008,32447,62648,85496,10941,1375781,141964,893,36,156102,23081,0,116796,16,1064,2217,64772,38474,17332,535,2421,2918,2675,19712,27399,9765,166840,374,71930,195,3322,487652,3629,95938,38620,1078,196563,136572,7694,457,132,15751,8936,23431,1570586,28490,168,40653,147264,10296,1050,36941
2009,840,2951597,263358,19229,405585,50456,246,44,156102,13714,7800,22681,1155,4706,8565,40278,43741,29272,481,4956,1144,3899,13858,31280,42241,48912,1164,33366,1164,1131,421481,1404,25142,3404,10962,153948,100668,6132,,45,7663,10056,18704,753261,112753,192,8002,77250,13591,3746,23123
2010,24956,1125419,76318,37671,109529,44020,267,32,63091,20137,10172,2722,1330,642997,2722,25055,60287,35448,353,1590,2156,12122,34121,34810,22274,56711,1142,23869,145,18495,233056,2087,21463,3854,4218,85770,93731,3482,,23,7568,12461,22149,210320,64781,86,8369,56820,14701,2224,80382
2011,71311,293018,1016428,54032,126854,161167,244,,299991,149222,2178,384103,2019,530,2145,111128,24961,52763,116,8310,545,1865,135650,42036,55395,168010,29643,424170,48,794,1286487,232,119482,2862,1203,293381,285712,636,13195,27,16141,97230,13812,2722623,62783,14,20114,17480,2680,719,135878
2012,24267,286887,216090,39765,869599,246445,417,,66868,19136,1802,1667654,1848,1846,349,53607,35397,11088,489,838,1027,28377,64682,135,26456,1220655,316015,613126,221,3095,372497,2127,35590,32030,1250,232579,1256049,3157,,41,10202,274606,19948,97,415267,405,46481,259526,6703,2880,357117
2013,25623,1316876,105281,14733,577675,195145,238,17,7660,6736,0,722204,55,806,14704,7137,25084,17883,879,182,,940,22107,33,1660,124209,16116,162907,137,1430,221951,1073,25547,,152,26490,350786,,4716,27,7082,4475,7080,10743,70282,281,4418,152603,8577,9196,44016
2014,40527,233561,515,20164,555044,2494,69,0,101599,19199,0,189430,727,276,11347,31261,43199,1197,1169,1802,158,716,4367,10053,5607,38118,992,59252,45,10400,23440,582,15601,4069,684,157080,984629,,16292,0,8312,13127,156391,131138,28255,91,10146,386972,8286,3268,7836
2015,47380,5111404,160152,26630,893362,22602,159,0,73432,10556,5611,804094,806,868,14945,53936,19207,21036,1763,1078,574,3806,30563,37769,29893,351264,4854,32321,622,2685,44104,3844,,,548,100382,658809,,4477,132,3800,72985,8478,184418,10203,346,6574,1137664,219,2970,35652
2016,3923,572,2288,1513,560815,129495,778,0,74416,52119,15098,361649,133,61,21371,349829,73864,7799,1381,242,946,3666,12268,8128,32134,144597,24498,265156,880,4445,212425,4236,,1657,1116,767780,219509,,486,57,3804,81561,88038,256680,101096,386,41441,293717,443,695,218077
2017,364,1254,2321,1706,1266224,111667,243,6,298831,200785,2098,686262,98,553,7216,476306,28927,11356,844,2178,369,736,5553,40595,8459,1366498,46507,19841,123,5144,141663,191,,,733,502625,2049,,116,30,11041,77386,6949,734682,249829,50,1522,404223,6866,661,90115
2018,15464,41068,165356,24071,1823153,475803,40,0,138820,14236,21979,604481,120,115,8014,59234,8417,10742,678,359,210,3786,17005,21194,6025,97814,122,1001966,61,1347,382345,848,18058,19557,337,745097,897263,3614,389,14,9939,5027,3763,569811,438983,113,15224,438834,6370,1678,279243
2019,22158,2498159,384942,8602,259148,40392,72,0,122500,12407,10710,284026,41,523,2020,21167,11714,3059,142,1498,248,1128,5862,5473,5091,64835,9478,82282,25,11346,79887,221,14548,4454,1038,67142,79732,691,2906,33,5939,2261,5478,215493,92380,22,2643,169742,7653,1198,41857
2020,20557,181169,978568,12552,4092151,625357,383,1356,99413,5677,472,314352,240,313,2168,34581,7950,5880,1032,930,834,1131,8838,22035,17940,369633,7611,2592751,88,11919,109513,1123,12875,3782,1551,102302,1141613,2997,,85,1754,19636,44,256826,329735,126,5596,842370,8196,1785,339783
