Year,Average_temperature_U.S.
1980,11.07056699
1981,11.39253105
1982,10.74659314
1983,11.06425327
1984,11.0799085
1985,10.79574183
1986,11.61405392
1987,11.69271078
1988,11.19832843
1989,10.79261111
1990,11.99040196
1991,11.8412549
1992,11.09153105
1993,10.74338072
1994,11.31936928
1995,11.29153268
1996,10.78132353
1997,11.06745752
1998,12.42311601
1999,12.01627451
2000,11.48387908
2001,11.90172712
2002,11.84943464
2003,11.45333824
2004,11.5582598
2005,11.83835131
2006,12.23848366
2007,11.88225327
2008,11.19365359
2009,11.1563268
2010,11.73287745
2011,11.81109314
2012,12.7618415
2013,13.06522222
