Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District Of Columbia,Florida,Georgia (State),Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1980,17.28683333,-4.29325,15.82425,16.10825,14.66258333,7.66125,9.267666667,12.20808333,12.22033333,21.6735,17.65883333,23.02825,5.915166667,11.11058333,10.83866667,9.42175,13.06141667,12.94458333,19.30883333,4.343666667,12.38158333,7.825,6.4475,5.21075,17.7475,13.02658333,5.82375,9.993083333,10.26475,5.658916667,10.95166667,12.40066667,7.193916667,14.78633333,5.338833333,10.10858333,16.193,8.511416667,9.167416667,9.224583333,17.05191667,8.224,14.24825,18.55366667,9.027416667,5.389,12.89483333,7.781583333,10.80808333,6.297333333,5.81575
1981,17.02808333,-2.72375,16.44958333,15.92916667,15.31866667,8.412916667,9.458333333,12.03133333,12.00033333,21.31316667,17.28725,23.04541667,6.589,11.37983333,10.997,9.955916667,13.38433333,12.83633333,19.32808333,5.571583333,12.14166667,8.267166667,7.115,6.233333333,17.75466667,13.00666667,6.834166667,10.5295,11.072,6.5155,10.91683333,12.80475,7.74625,14.34983333,6.471333333,10.23325,16.16391667,8.974916667,9.294666667,9.423833333,16.70483333,8.910833333,13.96891667,18.54258333,9.854416667,6.281916667,12.49191667,8.411833333,10.60433333,7.023333333,6.782333333
1982,17.72533333,-4.919583333,15.03208333,15.79925,13.70216667,6.740166667,9.307,12.141,12.15625,22.50325,18.17483333,22.73808333,4.695583333,10.75041667,10.91558333,8.349416667,11.9135,13.28766667,19.59425,4.567833333,12.39358333,7.889833333,6.6105,4.261,18.12441667,12.22591667,4.070333333,8.605416667,9.058166667,5.887583333,10.87533333,11.79783333,7.537833333,15.12108333,3.4985,10.6075,15.34416667,7.620083333,9.436833333,9.256,17.50966667,6.447666667,14.45616667,18.3365,7.8415,5.739666667,13.08008333,7.411166667,11.40716667,5.886,4.564666667
1983,16.519,-4.121166667,15.31041667,15.16841667,14.42125,6.910666667,10.12658333,12.69216667,12.47575,21.28533333,17.06475,22.50391667,5.68825,11.43958333,11.52208333,9.186,12.02816667,13.17983333,18.35233333,5.746416667,12.67708333,8.81175,7.499083333,5.569083333,16.98233333,12.49658333,5.642333333,9.091833333,9.861583333,6.890083333,11.52475,11.74141667,8.200583333,14.72516667,5.280916667,11.0025,14.816,8.44525,9.866083333,10.09458333,16.77241667,7.536916667,13.9615,17.62508333,8.59575,6.616416667,12.95775,8.092916667,11.23841667,6.92375,5.23725
1984,17.40183333,-5.036666667,15.39766667,15.85983333,14.69916667,6.57775,9.91225,12.51308333,12.42433333,21.64991667,17.84458333,23.13766667,4.55875,11.34566667,11.26566667,9.263416667,12.44066667,13.30416667,19.37483333,5.3695,12.65925,8.581666667,7.263583333,5.55075,17.87808333,12.75166667,5.511083333,9.257166667,9.385166667,6.64475,11.306,11.70583333,7.989833333,15.14075,5.236,10.65125,15.60533333,7.715833333,9.667083333,9.87725,17.37241667,7.57,14.4235,18.37758333,7.662083333,6.442416667,13.26791667,7.35675,11.46658333,6.829333333,4.624333333
1985,17.43666667,-4.456166667,15.43858333,15.7045,14.18133333,6.695416667,9.713,12.85125,12.78958333,22.06883333,18.10825,22.59441667,3.94775,10.681,11.07966667,8.241333333,11.64508333,13.13183333,19.39225,4.56125,13.00625,8.179916667,6.784,4.12975,17.77275,11.95258333,4.166916667,8.408,9.310083333,6.056,11.467,11.95925,7.743666667,15.46433333,3.68475,10.67466667,15.23208333,7.13625,9.76175,9.65,17.67958333,6.392,14.29633333,18.17458333,8.152083333,5.830166667,13.51958333,6.574916667,11.49625,5.857,4.2645
1986,18.13366667,-4.136666667,15.976,16.65958333,15.04608333,7.921166667,9.614083333,12.663,12.65358333,22.43541667,18.7455,23.46741667,6.290666667,11.84566667,11.84066667,9.715666667,13.67166667,14.0135,19.92541667,4.628583333,12.8895,8.134916667,7.32925,5.655,18.51916667,13.53766667,6.27275,10.31783333,10.85658333,6.186833333,11.3205,12.35216667,7.908416667,15.78991667,5.56175,11.30483333,16.34183333,9.047666667,9.9255,9.5495,18.22333333,8.033,15.18041667,18.78783333,9.3945,6.018083333,13.63408333,8.401333333,11.83633333,6.869166667,6.026416667
1987,17.487,-3.673416667,15.30358333,16.4015,14.73983333,7.328416667,9.677166667,12.55541667,12.77508333,21.68,17.78758333,22.9925,6.468333333,12.55683333,12.32066667,11.12608333,13.29333333,14.008,19.21733333,5.165833333,12.875,8.238083333,8.646666667,7.725166667,17.9595,13.7955,7.128833333,10.72266667,10.35458333,6.445416667,11.36041667,11.45375,8.220583333,15.09008333,7.442583333,11.65683333,15.73275,9.132833333,10.1445,9.608666667,17.25966667,9.530083333,14.91183333,17.85525,8.830333333,6.291333333,13.37166667,8.887916667,11.83291667,8.509833333,6.101916667
1988,16.96941667,-3.8555,15.7705,15.73041667,14.96908333,7.231583333,9.4815,11.9845,12.14133333,21.44058333,17.31616667,23.31483333,6.338416667,11.4705,11.28925,9.79925,12.87341667,13.03175,19.00566667,5.084083333,12.267,8.185666667,7.344583333,5.676916667,17.51275,12.87433333,6.803583333,10.02858333,10.40408333,6.217916667,10.88616667,11.82316667,7.803916667,14.43916667,6.073833333,10.61841667,15.4875,8.90875,9.505333333,9.438916667,16.66483333,8.476916667,14.03733333,18.14883333,8.853666667,6.048083333,12.65283333,8.402916667,11.0435,6.892083333,6.206416667
1989,17.04183333,-4.03975,16.3345,15.27616667,14.60491667,7.335833333,9.231416667,12.1145,11.92175,22.08083333,17.769,22.86675,5.555833333,10.50516667,10.57991667,8.601666667,12.0175,12.742,18.8705,4.225416667,12.23366667,7.807333333,6.299333333,4.34575,17.37141667,12.02383333,4.98275,9.152583333,10.07266667,5.661583333,10.80091667,12.52825,7.24,14.95233333,4.390166667,10.08366667,14.8885,8.187166667,9.117,9.183583333,17.2435,7.159583333,13.91025,18.10216667,8.90175,5.444083333,12.87566667,7.97175,10.88083333,5.675166667,5.300166667
1990,18.5365,-4.8475,15.53125,16.87008333,14.52758333,7.4715,10.83125,13.72383333,13.74533333,22.9015,19.14425,22.99225,5.931166667,12.2955,12.316,10.22925,13.31658333,14.34775,20.16591667,5.939333333,13.93841667,9.448083333,7.98075,6.18325,18.85266667,13.8045,6.092166667,10.27241667,10.05641667,7.46075,12.43966667,12.12833333,9.10025,16.55441667,6.073833333,11.87083333,16.3245,8.605333333,10.89141667,10.767,18.79083333,8.62425,15.48308333,18.83375,8.949,7.28275,14.57375,8.371166667,12.58808333,7.523583333,5.675916667
1991,18.03908333,-3.999416667,15.249,16.55816667,14.5575,7.192666667,10.797,13.63916667,13.75875,22.50566667,18.51183333,23.02691667,5.814583333,12.36166667,12.51858333,9.803833333,13.4205,14.41508333,19.6675,5.567083333,13.91291667,9.345,8.075083333,5.806583333,18.43508333,13.71483333,6.179083333,10.3285,9.98525,7.207,12.41766667,11.71741667,9.0335,16.09516667,5.9965,12.09725,16.12358333,8.716,10.94933333,10.7315,18.11575,8.535333333,15.29433333,18.3825,8.331666667,7.04225,14.35108333,8.30225,12.58966667,7.091416667,5.595333333
1992,17.03858333,-5.104333333,15.42908333,15.79766667,15.27691667,7.28925,9.050166667,11.98416667,11.95658333,21.68633333,17.51541667,23.17691667,6.75275,11.3745,11.20608333,9.371666667,12.57366667,13.153,19.109,4.462583333,12.22591667,7.674,6.69725,5.316583333,17.60758333,12.86016667,6.47575,9.67675,10.8005,5.665333333,10.69291667,11.71883333,7.199416667,14.93333333,5.396333333,10.51333333,15.57075,9.7125,9.2165,9.00425,17.09491667,7.900083333,14.14033333,18.151,9.142916667,5.43825,12.96941667,9.15275,11.1315,6.462166667,6.02675
1993,17.12675,-2.46425,15.55325,15.39291667,14.40708333,6.491083333,9.55275,12.48491667,12.39041667,21.74666667,17.77441667,22.75958333,4.4885,10.79125,10.94116667,8.163083333,11.37241667,13.08608333,18.95925,4.6005,12.63308333,8.10375,6.653083333,4.242916667,17.515,11.96333333,4.393666667,8.080083333,9.273916667,6.059416667,11.17841667,12.00433333,7.442666667,15.23941667,3.817833333,10.60933333,14.90033333,7.580666667,9.51625,9.511166667,17.43933333,6.114666667,14.20208333,17.97716667,7.944166667,5.76675,13.28658333,7.423583333,11.40833333,5.9135,4.09975
1994,17.51758333,-4.560333333,15.98958333,16.01458333,14.56816667,7.988833333,9.621833333,12.49158333,12.45533333,22.41433333,18.01675,23.04308333,6.422916667,11.40866667,11.34791667,9.166416667,13.0095,13.33641667,19.46883333,4.879583333,12.705,8.260666667,6.990083333,5.27825,17.99666667,12.90891667,6.051,9.838583333,10.4605,6.15975,11.15616667,12.741,7.499083333,15.38425,4.76325,10.68633333,15.85366667,8.877416667,9.44275,9.599083333,17.58183333,7.52,14.47891667,18.79741667,9.475666667,5.864916667,13.36883333,8.724583333,11.37966667,6.599833333,6.242166667
1995,17.53641667,-3.55925,16.20375,16.0665,15.09383333,7.518083333,9.803083333,12.57675,12.55308333,22.00691667,17.97975,23.19033333,6.025583333,11.20366667,11.27658333,9.048,12.47458333,13.29866667,19.65958333,5.186916667,12.74416667,8.408666667,7.165333333,4.980083333,18.03366667,12.63775,5.521666667,9.465666667,10.54583333,6.489583333,11.32475,12.64283333,7.999916667,15.11941667,4.533166667,10.60033333,15.62666667,9.0105,9.694416667,9.748583333,17.40475,7.382333333,14.41175,18.60991667,9.204583333,6.326833333,13.20791667,8.561166667,11.28683333,6.4995,5.53675
1996,17.06608333,-4.9125,16.66516667,15.56508333,15.44575,7.524,9.3675,11.9575,11.84716667,21.54808333,17.48566667,23.38341667,5.73875,10.387,10.53458333,7.8765,11.97833333,12.74333333,19.30166667,5.15525,12.09233333,8.167833333,6.22875,3.467,17.6775,11.92491667,4.1225,8.340083333,10.86233333,6.32025,10.80583333,12.83841667,7.594583333,14.72816667,2.81225,10.14966667,15.40491667,8.723,9.217416667,9.332916667,16.99316667,5.746083333,13.91683333,18.69691667,9.450333333,6.103333333,12.703,7.507666667,10.84141667,5.240166667,5.179583333
1997,17.25366667,-3.299833333,15.95366667,15.62141667,15.2005,7.048166667,9.587166667,12.44141667,12.35741667,22.26075,17.80691667,23.17341667,5.815416667,10.89908333,10.81325,8.997583333,12.32791667,12.87708333,19.22125,4.569083333,12.564,8.164333333,6.814416667,5.101916667,17.66283333,12.394,5.805666667,9.49925,10.32783333,5.980666667,11.13808333,11.874,7.53,14.94458333,5.09775,10.36516667,15.25316667,8.838833333,9.402333333,9.5445,17.22591667,7.4785,14.06475,17.90083333,8.70225,5.711833333,13.00591667,8.368666667,11.04733333,6.384,5.321666667
1998,18.78683333,-3.063,15.25808333,17.48791667,13.90558333,7.808333333,11.11716667,13.89033333,14.07358333,22.95525,19.15833333,22.57125,6.432166667,13.22983333,13.24258333,11.05383333,13.78575,14.89791667,20.64341667,6.562083333,14.17566667,9.84825,9.387,7.432416667,19.27508333,14.31075,6.696583333,10.608,9.609583333,8.02075,12.785,12.57741667,9.686416667,16.43566667,6.509083333,12.64408333,17.06383333,8.897083333,11.47241667,11.05433333,18.63875,8.929083333,15.93608333,19.60816667,8.716416667,7.86125,14.63633333,9.123,12.89308333,8.905333333,6.04475
1999,18.27108333,-5.627833333,16.00025,17.021,14.53525,8.016166667,10.84466667,13.329,13.189,22.27191667,18.50291667,22.55708333,6.087,12.33416667,12.305,10.41741667,13.61391667,14.32825,20.25183333,6.7485,13.40633333,9.567333333,8.3525,6.781333333,18.82766667,13.86616667,6.79875,10.80166667,10.32641667,7.667916667,12.17025,12.6245,8.915083333,15.80958333,6.418833333,11.73125,16.69158333,8.541,10.54583333,10.82308333,17.95275,9.10275,15.42075,19.38316667,9.225583333,7.423416667,13.97316667,8.242666667,12.18875,7.84,6.413333333
