name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"251,521,000","369,116,000","403,641,000","207,497,000","257,907,000","254,516,000","340,926,000","291,748,000","292,994,000","247,130,000","242,650,000","234,215,000","242,869,000","223,521,700","222,236,719","199,852,308","162,957,000","150,901,000","133,901,000","145,859,000","85,529,000","73,500,000","70,000,000","73,900,000","53,600,000","44,600,000","42,000,000","29,900,000"
	CurrentAssets,"24,070,000","34,231,000","47,607,000","30,749,000","44,900,000","27,033,000","45,261,000","61,705,000","84,104,000","76,492,000","81,525,000","81,416,000","84,825,000","65,942,993","88,661,463","93,682,986","62,482,000","53,845,000","44,014,000","45,436,000","33,368,000","41,800,000","40,100,000","46,900,000","37,700,000","30,100,000","29,000,000","18,400,000"
		CashCashEquivalentsAndShortTermInvestments,"7,108,000","0","1,503,000","560,000","14,250,000","9,369,000","2,012,000","18,998,000","13,285,000","27,728,000","37,964,000","52,142,000","42,168,000","43,166,154","49,926,608","42,685,196","27,452,000","27,906,000","23,053,000","22,817,000","8,190,000","20,700,000","27,900,000","25,300,000","21,400,000","17,000,000","14,100,000","8,000,000"
			CashAndCashEquivalents,"7,108,000","0","1,503,000","560,000","14,250,000","9,369,000","2,012,000","13,998,000","13,285,000","27,728,000","37,964,000","34,142,000","42,168,000","43,166,154","49,926,608","42,685,196","27,452,000","27,906,000","23,053,000","22,817,000","8,190,000","20,700,000","27,900,000","25,300,000","21,400,000","17,000,000","14,100,000","8,000,000"
				CashFinancial,"7,108,000","0","1,503,000","560,000","5,729,000","9,369,000","2,012,000","13,998,000","13,285,000",,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,"0","8,521,000",,,"5,000,000","0","27,728,000",,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,"0","5,000,000","0",,,"18,000,000",,,,,,,,,,,,,,,,
		Receivables,"15,128,000","32,267,000","43,264,000","30,100,000","30,576,000","17,589,000","42,992,000","42,342,000","70,603,000","48,351,000","33,339,000","28,853,000","41,534,000","22,504,717","38,528,658","50,900,105","34,926,000","25,832,000","20,353,000","22,599,000","24,898,000","20,300,000","11,900,000","20,900,000","15,800,000","12,500,000","13,800,000","9,800,000"
			AccountsReceivable,"15,128,000","32,108,000","42,733,000","16,383,000","8,152,000","14,310,000","39,981,000","42,342,000","66,116,000","48,351,000","33,339,000","28,523,000","41,534,000","22,504,717","38,528,658","50,900,105","34,926,000","25,832,000","20,353,000","22,599,000","24,898,000","20,300,000","11,900,000","20,900,000","15,800,000","12,500,000","13,800,000","9,800,000"
				GrossAccountsReceivable,"15,803,000","32,708,000","43,001,000","16,433,000","8,202,000","14,360,000","40,081,000","42,448,000","66,226,000",,,,,,,,,,,,,,,,,,,
