name,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"1,022,000","918,000","2,203,000","2,310,000","3,030,000","3,559,000","3,112,000","3,457,000","3,300,000","5,900,000","7,200,000","6,900,000","7,600,000","8,600,000","8,100,000","8,700,000","10,600,000","12,900,000","24,400,000"
	CurrentAssets,"928,000","623,000","1,487,000","1,881,000","2,213,000","2,988,000","429,000","894,000","600,000","1,200,000","1,900,000","1,500,000","1,700,000","1,700,000","1,600,000","1,600,000","2,000,000","3,800,000","6,000,000"
		CashCashEquivalentsAndShortTermInvestments,"618,000","429,000","1,453,000","1,787,000","2,128,000","2,928,000","235,000","614,000","300,000","200,000","300,000","800,000","700,000","400,000","700,000","700,000","1,100,000","2,500,000","1,500,000"
			CashAndCashEquivalents,"618,000","429,000","1,453,000","1,787,000","2,128,000","2,928,000","235,000","614,000","300,000","200,000","300,000","800,000","700,000","400,000","700,000","700,000","1,100,000","2,500,000","1,500,000"
		Receivables,"49,000","133,000","0","64,000","54,000","8,000","115,000","183,000","100,000","600,000","1,100,000","500,000","800,000","1,100,000","700,000","700,000","700,000","1,000,000","4,300,000"
			AccountsReceivable,"14,000","33,000","0","64,000","54,000","8,000","115,000","183,000",,,,,,,,,,,
			NotesReceivable,"35,000","100,000",,,,,,,,,,,,,,,,,
		Inventory,,,,,,"0","50,000","61,000","200,000","400,000","300,000","100,000","100,000","100,000","100,000",,,"100,000","100,000"
		PrepaidAssets,"61,000","61,000","34,000","30,000","31,000","52,000","7,000","16,000",,,,,,,,,,,
		OtherCurrentAssets,"200,000","0","0","0",,"0","22,000","20,000","0","0","200,000","100,000","100,000","100,000","100,000","200,000","200,000","200,000","100,000"
	TotalNonCurrentAssets,"94,000","295,000","716,000","429,000","817,000","571,000","2,683,000","2,563,000","2,700,000","4,700,000","5,300,000","5,400,000","5,900,000","6,900,000","6,500,000","7,100,000","8,600,000","9,100,000","18,400,000"
		NetPPE,"0","131,000","436,000","379,000","355,000","129,000","2,198,000","2,062,000","2,200,000","3,700,000","4,200,000","4,400,000","4,900,000","5,800,000","5,500,000","5,900,000","8,200,000","8,600,000","16,200,000"
			GrossPPE,"0","131,000","436,000","379,000","355,000","129,000","2,198,000","2,062,000","23,400,000","14,100,000","14,100,000","14,200,000","14,100,000","8,100,000","14,300,000","20,200,000","23,800,000","17,400,000","24,100,000"
			AccumulatedDepreciation,,,,,,,,,"-21,200,000","-10,400,000","-9,900,000","-9,800,000","-9,200,000","-2,300,000","-8,800,000","-14,300,000","-15,600,000","-8,800,000","-7,900,000"
		NonCurrentNoteReceivables,,,,"25,000","437,000","417,000","445,000","461,000",,,,,,,,,,,
		OtherNonCurrentAssets,"94,000","164,000","280,000","25,000","25,000","25,000","40,000","40,000","500,000","1,000,000","1,100,000","1,000,000","1,000,000","1,100,000","1,000,000","1,200,000",,"500,000","2,200,000"
TotalLiabilitiesNetMinorityInterest,"560,000","640,000","921,000","27,000","620,000","636,000","799,000","1,129,000","1,400,000","2,300,000","3,300,000","900,000","2,400,000","2,500,000","2,300,000","2,700,000","3,400,000","5,000,000","11,200,000"
	CurrentLiabilities,"560,000","640,000","821,000","27,000","172,000","188,000","280,000","601,000","500,000","1,600,000","2,300,000","600,000","800,000","800,000","700,000","1,100,000","1,900,000","2,400,000","3,200,000"
		PayablesAndAccruedExpenses,"560,000","640,000","821,000","27,000","172,000","188,000","272,000","593,000","200,000","700,000","600,000","200,000","400,000","400,000","200,000",,,,
			Payables,"235,000","231,000","87,000","24,000","168,000","144,000","189,000","506,000","200,000","700,000","600,000","200,000","400,000","400,000","200,000",,,,
				AccountsPayable,"235,000","231,000","76,000","13,000","157,000","133,000","160,000","464,000","200,000","700,000","600,000","200,000","400,000","400,000","200,000",,,,
				OtherPayable,"0","0","11,000","11,000","11,000","11,000","29,000","42,000",,,,,,,,,,,
			CurrentAccruedExpenses,"325,000","409,000","734,000","3,000","4,000","44,000","83,000","87,000",,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,,,,,,"0","8,000","8,000","200,000","600,000","1,200,000","200,000","200,000","200,000","200,000","300,000","900,000","1,200,000","900,000"
			CurrentDebt,,,,,,"0","8,000","8,000","200,000","600,000","1,200,000","200,000","200,000","200,000","200,000","300,000","900,000","1,200,000","900,000"
		OtherCurrentLiabilities,"0","0","0","0",,"0",,"0","100,000","300,000","500,000","200,000","200,000","200,000","300,000","800,000","1,000,000","1,200,000","2,300,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"0","0","100,000","0","448,000","448,000","519,000","528,000",,,,,,,,,,,
