Date,High,Low,Open,Close,Volume,Adj Close
1997-04-04,8.75,8.25,8.75,8.40625,2463800.0,7.017340660095215
1997-04-07,8.75,8.375,8.5,8.5,480400.0,7.095597743988037
1997-04-08,8.625,8.1875,8.625,8.25,445400.0,6.886905670166016
1997-04-09,8.3125,8.125,8.25,8.125,263000.0,6.782556533813477
1997-04-10,8.25,8.0625,8.25,8.1875,121600.0,6.834730625152588
1997-04-11,8.25,8.0625,8.0625,8.09375,149800.0,6.756470203399658
1997-04-14,8.25,7.875,8.25,7.9375,180000.0,6.626036167144775
1997-04-15,8.5625,7.875,8.0,8.5625,144400.0,7.147772789001465
1997-04-16,9.0,8.375,8.625,8.6875,206000.0,7.25211763381958
1997-04-17,8.875,8.625,8.875,8.875,40200.0,7.4086384773254395
1997-04-18,8.875,8.5625,8.625,8.625,64400.0,7.199944972991943
1997-04-21,9.375,8.625,8.625,9.125,101200.0,7.617331504821777
1997-04-22,9.75,9.0,9.25,9.5,114200.0,7.930374622344971
1997-04-23,10.0,9.5,9.75,10.0,177200.0,8.347759246826172
1997-04-24,10.8125,10.0,10.0,10.5,313600.0,8.765152931213379
1997-04-25,10.875,10.125,10.75,10.125,146000.0,8.45211124420166
1997-04-28,10.375,9.25,10.0,9.5,293600.0,7.930374622344971
1997-04-29,9.875,9.0,9.875,9.0,157800.0,7.5129852294921875
1997-04-30,10.5625,9.625,9.8125,10.5,438200.0,8.765152931213379
1997-05-01,10.75,9.875,10.5,10.375,148400.0,8.660805702209473
1997-05-02,10.375,9.875,10.375,9.875,59400.0,8.24341869354248
1997-05-05,10.25,9.875,10.125,10.25,39000.0,8.5564546585083
1997-05-06,10.375,10.0,10.0,10.0,89400.0,8.347759246826172
1997-05-07,10.25,10.125,10.25,10.1875,30600.0,8.504283905029297
1997-05-08,10.25,10.0,10.0,10.0625,29000.0,8.399940490722656
1997-05-09,10.25,10.0625,10.1875,10.25,20200.0,8.5564546585083
1997-05-12,10.375,10.125,10.375,10.25,20800.0,8.5564546585083
1997-05-13,10.875,10.25,10.25,10.5,109000.0,8.765152931213379
1997-05-14,11.125,10.5625,10.625,10.875,172400.0,9.078193664550781
1997-05-15,12.125,10.875,11.125,11.75,88200.0,9.808622360229492
1997-05-16,11.875,11.375,11.75,11.625,101200.0,9.704275131225586
1997-05-19,11.625,11.375,11.625,11.5,20200.0,9.599926948547363
1997-05-20,11.625,11.0,11.625,11.25,34800.0,9.391231536865234
