name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"38,084,000","25,602,000","38,136,000","56,522,000","131,731,000","72,472,000","247,045,000","276,138,000","236,532,000","152,227,000","76,262,000","54,963,000"
	OperatingRevenue,"38,084,000","25,602,000","38,136,000","56,522,000","131,731,000","72,472,000","247,045,000","276,138,000","236,532,000","152,227,000","76,262,000","54,963,000"
CostOfRevenue,"33,732,000","33,460,000","36,365,000","41,031,000","43,794,000","52,492,000","106,285,000","80,762,000","75,462,000","74,971,000","57,719,000","15,168,000"
GrossProfit,"4,352,000","-7,858,000","1,771,000","15,491,000","87,937,000","19,980,000","140,760,000","195,376,000","161,070,000","77,256,000","18,543,000","39,795,000"
OperatingExpense,"15,943,000","14,887,000","9,153,000","8,766,000","8,818,000","8,908,000","8,578,000","15,706,000","20,887,000","20,832,000","10,919,000","5,373,000"
	SellingGeneralAndAdministration,"16,074,000","14,887,000","9,153,000","8,766,000","8,818,000","8,908,000","8,578,000","15,706,000","20,887,000","20,832,000","10,919,000","5,373,000"
		GeneralAndAdministrativeExpense,"16,074,000","14,887,000","9,153,000","8,766,000","8,818,000","8,908,000","8,578,000","15,706,000","20,887,000","20,832,000","10,919,000","5,373,000"
OperatingIncome,"-11,591,000","-22,745,000","-7,382,000","6,725,000","79,119,000","11,072,000","132,182,000","179,670,000","140,183,000","56,424,000","7,624,000","34,422,000"
NetNonOperatingInterestIncomeExpense,"-199,000","351,000","934,000","-2,728,000","-6,127,000","-7,027,000","-8,219,000","-11,700,000","-9,387,000","-14,110,000","-13,903,000","-17,139,000"
	InterestIncomeNonOperating,"15,000","386,000","948,000","1,943,000","792,000","631,000","130,000","161,000","120,000","19,000","127,000","511,000"
	InterestExpenseNonOperating,"44,000","35,000","14,000","4,671,000","6,919,000","7,658,000","8,349,000","11,861,000","9,379,000","13,447,000","14,030,000","17,650,000"
	TotalOtherFinanceCost,,,,,,,,,"128,000","682,000",,
PretaxIncome,"-157,092,000","-167,696,000","-30,165,000","-21,170,000","28,810,000","1,566,000","123,518,000","167,790,000","132,477,000","42,076,000","-3,528,000","17,283,000"
