name,ttm,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalRevenue,"1,237,823","785,000","501,000","1,505,000","1,467,000","2,085,000","1,379,000","972,000","593,000","469,000","602,000","782,000","1,503,000","9,246,000","5,808,000","16,683,000","17,000,000","17,500,000","15,800,000"
	OperatingRevenue,"1,237,823","785,000","501,000","1,505,000","1,467,000","2,085,000","1,379,000","972,000","593,000","469,000","602,000","782,000","1,503,000","9,246,000","5,808,000","16,683,000","17,000,000","17,500,000","15,800,000"
CostOfRevenue,"70,886","0","718,000","861,000","939,000","2,290,000","1,976,000","1,677,000","1,519,000","575,000","620,000","1,336,000","1,708,000","5,459,000","4,895,000","12,197,000","12,900,000","12,900,000","12,500,000"
GrossProfit,"1,166,937","785,000","-217,000","644,000","528,000","-205,000","-597,000","-705,000","-926,000","-106,000","-18,000","-554,000","-205,000","3,787,000","913,000","4,486,000","4,100,000","4,600,000","3,300,000"
OperatingExpense,"2,320,958","2,884,000","1,430,000","1,178,000","906,000","1,077,000","1,120,000","995,000","1,212,000","2,951,000","1,354,000","1,812,000","2,269,000","3,600,000","3,065,000","5,388,000","4,900,000","5,300,000","4,300,000"
	SellingGeneralAndAdministration,,,"1,341,000","971,000","732,000","863,000","861,000","870,000","923,000","1,204,000","1,232,000","1,701,000","1,915,000","2,731,000","2,345,000","4,079,000","3,700,000","4,200,000","3,200,000"
	DepreciationAmortizationDepletionIncomeStatement,,,"89,000","207,000","174,000","214,000","187,000","92,000","169,000","144,000","90,000","111,000","354,000","869,000","720,000","1,309,000","1,200,000","1,100,000","1,100,000"
		DepreciationAndAmortizationInIncomeStatement,,,,"207,000","174,000","214,000","187,000","92,000","169,000","144,000","90,000","111,000","354,000",,"435,000",,"1,200,000","1,100,000","1,100,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,"1,200,000","1,100,000","1,100,000"
		DepletionIncomeStatement,,,,,,,,,,,,,"0",,"285,000",,,,
	OtherOperatingExpenses,,,,,,,"72,000","33,000","120,000","1,603,000","32,000",,,,,,,,
OperatingIncome,"-1,154,021","-2,099,000","-1,647,000","-534,000","-378,000","-1,282,000","-1,717,000","-1,700,000","-2,138,000","-3,057,000","-1,372,000","-2,366,000","-2,474,000","187,000","-2,152,000","-902,000","-800,000","-700,000","-1,000,000"
NetNonOperatingInterestIncomeExpense,,,"-269,000",,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,"26,000",,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,"295,000",,,,,,,,,,,,,,,,
OtherIncomeExpense,"-252,581","-573,000","4,850,000","4,575,000","308,000","714,000","316,000","3,294,000","1,046,000","-2,687,000","-156,000","-490,000","121,000","-96,000","-173,000","1,003,000","500,000","1,500,000","500,000"
