Date,High,Low,Open,Close,Volume,Adj Close
1996-11-15,8.21875,8.03125,8.1875,8.09375,2630000.0,3.0693085193634033
1996-11-18,8.15625,8.0625,8.0625,8.125,245200.0,3.0811593532562256
1996-11-19,8.25,8.0625,8.09375,8.25,694400.0,3.1285622119903564
1996-11-20,8.25,8.1875,8.21875,8.21875,205200.0,3.116711139678955
1996-11-21,8.21875,8.15625,8.21875,8.1875,106800.0,3.104860782623291
1996-11-22,8.1875,8.09375,8.15625,8.09375,36400.0,3.0693085193634033
1996-11-25,8.21875,8.125,8.125,8.15625,86400.0,3.093010425567627
1996-11-26,8.125,8.0,8.125,8.03125,92400.0,3.045607328414917
1996-11-27,8.0,7.8125,8.0,7.8125,52800.0,2.962653398513794
1996-11-29,7.9375,7.875,7.875,7.9375,29200.0,3.0100550651550293
1996-12-02,7.9375,7.90625,7.9375,7.90625,24800.0,2.9982047080993652
1996-12-03,7.9375,7.90625,7.9375,7.9375,71200.0,3.0100550651550293
1996-12-04,7.96875,7.84375,7.9375,7.84375,43200.0,2.974503517150879
1996-12-05,7.90625,7.84375,7.84375,7.875,130800.0,2.986353635787964
1996-12-06,7.8125,7.6875,7.8125,7.6875,79600.0,2.915250539779663
1996-12-09,7.78125,7.6875,7.6875,7.6875,36800.0,2.915250539779663
1996-12-10,7.96875,7.75,7.75,7.8125,420000.0,2.962653398513794
1996-12-11,7.875,7.6875,7.84375,7.6875,180000.0,2.915250539779663
1996-12-12,7.71875,7.65625,7.65625,7.6875,83600.0,2.915250539779663
1996-12-13,7.6875,7.6875,7.6875,7.6875,1600.0,2.915250539779663
1996-12-16,7.71875,7.625,7.71875,7.65625,106000.0,2.90339994430542
1996-12-17,7.8125,7.59375,7.65625,7.59375,721200.0,2.8796987533569336
1996-12-18,7.65625,7.59375,7.65625,7.59375,195600.0,2.8796987533569336
1996-12-19,7.65625,7.59375,7.59375,7.625,242800.0,2.8915491104125977
1996-12-20,7.78125,7.65625,7.65625,7.71875,120000.0,2.9271013736724854
1996-12-23,7.96875,7.71875,7.71875,7.9375,422000.0,3.0100550651550293
1996-12-24,8.3125,7.96875,7.96875,8.3125,1444000.0,3.1522629261016846
1996-12-26,8.96875,8.3125,8.3125,8.9375,403200.0,3.389275312423706
1996-12-27,9.0,8.84375,8.96875,8.84375,627600.0,3.3537228107452393
1996-12-30,8.875,8.65625,8.875,8.71875,170800.0,3.306321382522583
1996-12-31,8.71875,8.59375,8.71875,8.6875,28400.0,3.2944703102111816
1997-01-02,8.78125,8.59375,8.6875,8.625,1018000.0,3.270768404006958
1997-01-03,8.78125,8.59375,8.59375,8.75,636400.0,3.318171739578247
1997-01-06,8.9375,8.78125,8.78125,8.9375,189600.0,3.389275312423706
1997-01-07,9.28125,8.96875,9.0,9.28125,382000.0,3.51963210105896
1997-01-08,9.5625,9.3125,9.375,9.53125,304000.0,3.6144378185272217
1997-01-09,10.0,9.5625,9.5625,10.0,1100400.0,3.792196035385132
1997-01-10,10.40625,9.90625,10.0,10.1875,557200.0,3.86329984664917
1997-01-13,10.46875,10.3125,10.4375,10.40625,623600.0,3.946254253387451
1997-01-14,10.40625,10.0,10.40625,10.0625,278800.0,3.81589674949646
1997-01-15,10.0625,9.9375,10.03125,9.96875,276000.0,3.780345916748047
1997-01-16,10.0,9.9375,9.9375,10.0,290000.0,3.792196035385132
1997-01-17,10.125,9.96875,10.03125,10.125,85600.0,3.839597702026367
1997-01-20,10.375,10.15625,10.1875,10.34375,477200.0,3.9225523471832275
1997-01-21,10.40625,10.21875,10.40625,10.3125,459600.0,3.9107015132904053
1997-01-22,10.28125,10.1875,10.25,10.1875,204400.0,3.86329984664917
1997-01-23,10.875,10.15625,10.15625,10.5,891600.0,3.981804132461548
1997-01-24,10.78125,10.4375,10.4375,10.625,361200.0,4.029207229614258
1997-01-27,10.8125,10.71875,10.71875,10.75,269200.0,4.076611042022705
1997-01-28,10.90625,10.75,10.8125,10.75,649600.0,4.076611042022705
1997-01-29,10.71875,10.59375,10.6875,10.65625,591600.0,4.0410590171813965
1997-01-30,10.84375,10.65625,10.65625,10.8125,1386400.0,4.100311756134033
1997-01-31,11.40625,10.875,10.875,11.375,1282400.0,4.313622951507568
1997-02-03,12.25,11.4375,11.46875,12.09375,846400.0,4.586187362670898
1997-02-04,12.5625,12.09375,12.09375,12.46875,588000.0,4.728392601013184
1997-02-05,12.46875,11.65625,12.46875,11.6875,819600.0,4.432128429412842
1997-02-06,11.8125,11.53125,11.625,11.53125,853600.0,4.372876167297363
1997-02-07,11.84375,11.5625,11.59375,11.5625,730400.0,4.384726524353027
1997-02-10,11.59375,10.5625,11.59375,10.5625,944400.0,4.005509376525879
1997-02-11,10.84375,10.1875,10.5625,10.8125,311600.0,4.100311756134033
