name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"18,690,000,000","21,416,000,000","18,033,000,000","18,515,628,000","15,777,546,000","15,503,812,000","9,020,538,000","7,739,481,000","7,085,195,000","6,505,258,000","6,650,994,000","5,937,156,000","5,894,249,000","8,295,422,000","8,269,184,000","7,756,892,000","9,537,187,000","8,755,270,000","3,203,082,000","643,835,000"
	CurrentAssets,"5,634,000,000","7,735,000,000","5,197,000,000","5,539,589,000","3,450,251,000","2,978,761,000","2,924,489,000","2,219,287,000","2,614,502,000","2,274,429,000","1,701,627,000","1,225,049,000","1,198,714,000","1,045,655,000","1,182,685,000","590,244,000","2,245,857,000","1,680,162,000",,
		CashCashEquivalentsAndShortTermInvestments,"3,387,000,000","3,841,000,000","2,471,000,000","3,315,237,000","1,869,124,000","1,710,038,000","1,758,480,000","1,346,543,000","1,938,143,000","1,337,953,000","1,229,959,000","688,393,000","758,174,000","617,386,000","853,274,000","297,416,000","155,957,000","881,959,000",,
			CashAndCashEquivalents,"3,363,000,000","3,315,000,000","2,443,000,000","2,846,729,000","1,796,811,000","1,676,299,000","1,402,700,000","1,021,033,000","1,293,161,000","689,134,000","714,332,000","642,544,000","665,412,000","617,386,000","853,274,000","297,416,000","154,957,000","188,639,000",,
			OtherShortTermInvestments,"24,000,000","526,000,000","28,000,000","468,508,000","72,313,000","33,739,000","355,780,000","325,510,000","644,982,000","648,819,000","515,627,000","45,849,000","92,762,000",,,,"1,000,000","693,320,000",,
		Receivables,"821,000,000","2,594,000,000","2,175,000,000","1,886,628,000","1,362,649,000","1,096,211,000","795,495,000","679,031,000","461,531,000","339,427,000","328,468,000","307,817,000","267,270,000","273,403,000","211,430,000","174,019,000","2,018,650,000","720,471,000",,
			AccountsReceivable,"701,000,000","2,524,000,000","2,151,000,000","1,865,995,000","1,343,247,000","1,082,406,000","778,334,000","614,735,000","461,531,000","339,427,000","328,468,000","307,817,000","267,270,000","268,008,000","211,430,000","174,019,000",,,,
				GrossAccountsReceivable,"802,000,000","2,565,000,000","2,185,000,000","1,896,691,000","1,368,525,000","1,109,441,000","792,094,000","626,290,000","486,809,000","347,386,000",,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-101,000,000","-41,000,000","-34,000,000","-30,696,000","-25,278,000","-27,035,000","-13,760,000","-11,555,000","-25,278,000","-7,959,000",,,,,,,,,,
			TaxesReceivable,"120,000,000","70,000,000","24,000,000","20,633,000","19,402,000","13,805,000","17,161,000","64,296,000",,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,"5,395,000",,,,,,
		PrepaidAssets,"654,000,000","521,000,000","292,000,000","268,669,000","199,745,000","161,188,000","166,357,000","101,541,000","179,729,000","121,541,000","128,985,000","214,767,000","169,914,000","138,211,000","102,021,000","95,224,000",,,,
		RestrictedCash,"772,000,000","779,000,000","259,000,000","69,055,000","18,733,000","11,324,000","34,888,000","26,042,000","21,475,000","19,082,000","14,215,000","14,072,000","3,356,000","16,655,000","11,093,000","23,585,000",,,,
		CurrentDeferredAssets,,,,,,"0","169,269,000","66,130,000",,,,,,,"4,867,000",,"8,696,000","1,417,000",,
			CurrentDeferredTaxesAssets,,,,,,"0","169,269,000","66,130,000",,,,,,,"4,867,000",,"8,696,000","1,417,000",,
		AssetsHeldForSaleCurrent,,,,,,,,,"13,624,000","456,426,000",,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,"62,554,000","76,315,000",,
	TotalNonCurrentAssets,"13,056,000,000","13,681,000,000","12,836,000,000","12,976,039,000","12,327,295,000","12,525,051,000","6,096,049,000","5,520,194,000","4,470,693,000","4,230,829,000","4,949,367,000","4,712,107,000","4,695,535,000","7,249,767,000","7,086,499,000","7,166,648,000","7,291,330,000","7,075,108,000",,
