name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"757,449,000","548,658,000","473,409,000","424,348,000","407,701,000","381,613,000","200,129,715","200,427,482","167,775","172,543"
	CurrentAssets,"229,170,000","146,639,000","150,183,000","131,690,000","171,020,000","234,344,000","129,715","414,082","2,577","34,845"
		CashCashEquivalentsAndShortTermInvestments,"187,531,000","101,579,000","113,396,000","96,443,000","135,416,000","206,903,000","38,632","322,271","2,577","33,589"
			CashAndCashEquivalents,"187,531,000","101,579,000","113,396,000","96,443,000","135,416,000","206,903,000","28,634","312,298","2,577","33,589"
				CashFinancial,,,,,,,"28,634",,"2,577","33,589"
			OtherShortTermInvestments,,"1,575,000","1,402,000","1,341,000","1,414,000","1,197,000","9,998","9,973",,
		Receivables,,,,,,,"6,530","4,333",,
			AccruedInterestReceivable,,,,,,,"6,530","4,333",,
		Inventory,"7,641,000","8,326,000","6,769,000","6,839,000","5,807,000","6,715,000",,,,
			RawMaterials,"5,473,000","6,299,000","5,165,000","5,045,000","4,142,000","4,969,000",,,,
			OtherInventories,"2,168,000","2,027,000","1,604,000","1,794,000","1,665,000","1,746,000",,,,
		PrepaidAssets,"17,014,000","29,055,000","21,263,000","21,351,000","20,782,000","12,266,000","62,132","53,917",,
		RestrictedCash,"16,984,000","7,679,000","8,755,000","7,057,000","9,015,000","8,460,000","22,421","33,561",,
		OtherCurrentAssets,,,,,,,,,,"1,256"
	TotalNonCurrentAssets,"528,279,000","402,019,000","323,226,000","292,658,000","236,681,000","147,269,000","200,000,000","200,013,400","165,198","137,698"
		NetPPE,"487,755,000","363,895,000","285,979,000","250,952,000","186,236,000","125,471,000",,,,
			GrossPPE,"670,480,000","516,134,000","414,027,000","360,051,000","279,566,000","223,778,000",,,,
				Properties,"0","0","0","0","0","0",,,,
				MachineryFurnitureEquipment,"663,973,000","508,604,000","412,602,000","358,626,000","278,141,000","222,339,000",,,,
